year,ressemblant_VERB en_ADP
1800,1.3519907327008696e-07
1801,7.381665767525192e-08
1802,1.0070280609397742e-07
1803,1.6577882888668682e-07
1804,4.943701981119375e-08
1805,1.3361525930122298e-07
1806,2.881669125542885e-08
1807,6.263301344233696e-08
1808,1.6089124699192325e-07
1809,8.358412628695078e-08
1810,8.89248141788812e-08
1811,3.008491944456182e-08
1812,3.467370746079723e-08
1813,4.026038169513413e-08
1814,6.922689976818219e-08
1815,1.8880564667256294e-08
1816,6.721051448721482e-08
1817,9.652615062805125e-08
1818,9.656153565629211e-08
1819,6.93520334493769e-08
1820,6.051905643289501e-08
1821,9.368413600441272e-08
1822,5.012807946513931e-08
1823,5.138997138942614e-08
1824,7.410579172528742e-08
1825,1.2063456722444243e-07
1826,8.367585024871005e-08
1827,6.083400450052068e-08
1828,5.4116576109208836e-08
1829,9.087566610332942e-08
1830,8.140732177253085e-08
1831,7.795603096383275e-08
1832,1.2176973029909277e-07
1833,7.066013552048389e-08
1834,7.747660646373333e-08
1835,7.184933537018878e-08
1836,6.04867480547e-08
1837,1.224588856985065e-07
1838,6.56464820281144e-08
1839,6.50207212515852e-08
1840,5.477932418784803e-08
1841,7.704657889462396e-08
1842,8.117000760421433e-08
1843,7.029224491361674e-08
1844,4.50062032086862e-08
1845,4.185170965342877e-08
1846,6.439951505399222e-08
1847,4.314578916364553e-08
1848,5.229394162142853e-08
1849,6.954914510970411e-08
1850,6.721106160512136e-08
1851,5.546517201082679e-08
1852,6.250123618656289e-08
1853,5.912212586167698e-08
1854,5.0917510208137173e-08
1855,7.005156987816008e-08
1856,6.523258377910679e-08
1857,4.29572786231347e-08
1858,6.410715513993637e-08
1859,7.027199444564758e-08
1860,1.0024032803812588e-07
1861,3.6312922446768425e-08
1862,7.048058847658467e-08
1863,8.640694204586907e-08
1864,8.678457419364349e-08
1865,6.589581857951998e-08
1866,7.833637027943041e-08
1867,9.220342178650753e-08
1868,6.86642493974432e-08
1869,7.42294901101559e-08
1870,5.791389412479475e-08
1871,7.222400455475508e-08
1872,9.8571632634048e-08
1873,1.1493128226902627e-07
1874,1.027632805516987e-07
1875,9.669381029198121e-08
1876,5.501873445723504e-08
1877,9.462768701951063e-08
1878,8.817069385713694e-08
1879,8.553055153015521e-08
1880,8.535735673831368e-08
1881,9.552335455964567e-08
1882,6.189507928411331e-08
1883,1.131161653233903e-07
1884,8.31813835588946e-08
1885,1.2182250941350503e-07
1886,7.486018205327127e-08
1887,8.422312447464719e-08
1888,1.033520220516948e-07
1889,1.2718227537789062e-07
1890,9.962667490981403e-08
1891,9.115134957937698e-08
1892,8.149066133000815e-08
1893,7.88277318974906e-08
1894,8.507078064212692e-08
1895,1.2338159649516456e-07
1896,9.553186686162007e-08
1897,1.0721152676751444e-07
1898,1.1033792191028624e-07
1899,1.0723502441578603e-07
1900,1.1212674877469908e-07
1901,8.606657786458527e-08
1902,9.084025265337914e-08
1903,9.558389990615979e-08
1904,8.384415650652954e-08
1905,1.2024568718516093e-07
1906,1.039125265833718e-07
1907,9.668545430940867e-08
1908,9.871892103774371e-08
1909,1.083693774717176e-07
1910,1.1703689750675039e-07
1911,8.619006308663302e-08
1912,8.126696826593616e-08
1913,7.84842484335968e-08
1914,7.701255100300841e-08
1915,6.950649833470379e-08
1916,8.680095220370276e-08
1917,6.141197417264266e-08
1918,6.202643021424592e-08
1919,8.287063479883727e-08
1920,7.345065000663453e-08
1921,7.799929591101318e-08
1922,1.1214461892450345e-07
1923,9.448194049355152e-08
1924,5.1566498626698376e-08
1925,1.0118323956476161e-07
1926,7.133528612257578e-08
1927,6.355057990958812e-08
1928,6.170062505361784e-08
1929,6.907051641746875e-08
1930,5.566909777598994e-08
1931,6.84321435073798e-08
1932,6.24693612394367e-08
1933,6.882397229901471e-08
1934,8.626737724171107e-08
1935,5.38572777486479e-08
1936,7.1535815493462e-08
1937,7.428759829508635e-08
1938,5.0564334941327616e-08
1939,7.494084997006212e-08
1940,5.325144059042941e-08
1941,1.0330258959356797e-07
1942,7.58552971547033e-08
1943,6.096794180621146e-08
1944,5.7837350908584995e-08
1945,8.714016530575464e-08
1946,6.682130049284751e-08
1947,4.649139739854036e-08
1948,4.783630558335972e-08
1949,3.6322930441201606e-08
1950,6.593923984610228e-08
1951,5.330700858507953e-08
1952,5.377849987553418e-08
1953,4.0940545176226806e-08
1954,5.374894840315392e-08
1955,3.660387193349379e-08
1956,6.192010459926678e-08
1957,3.799066305987253e-08
1958,5.707848060865217e-08
1959,2.2477168570844697e-08
1960,3.944875004435744e-08
1961,4.377340445671507e-08
1962,5.89801949502089e-08
1963,4.7202188824257973e-08
1964,4.1979379972190145e-08
1965,5.034279837445865e-08
1966,5.317511764246774e-08
1967,4.289391952738697e-08
1968,4.042274426296899e-08
1969,2.952142530432411e-08
1970,4.092865424354386e-08
1971,2.8261185391897925e-08
1972,4.360624927812751e-08
1973,4.2451670623222526e-08
1974,2.981553137715309e-08
1975,4.16938057412608e-08
1976,2.628222439682304e-08
1977,2.8796231177352638e-08
