year,devrait_VERB aider_VERB,devrait_VERB céder_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,6.713520406265161e-09
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,1.421438877713399e-08
1806,0.0,0.0
1807,0.0,1.1387820464392462e-08
1808,0.0,9.064295980465431e-09
1809,0.0,1.8072244145628247e-08
1810,0.0,2.3401267590372754e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,1.3336041604361526e-08
1813,0.0,3.738464116054274e-08
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,3.113746815941454e-09
1818,0.0,7.152706427149269e-09
1819,0.0,1.449147024601416e-08
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,0.0,9.861488514673056e-09
1822,5.012807946513931e-09,5.012807946513931e-09
1823,0.0,1.087095569118901e-08
1824,1.6842225392110777e-09,1.3473780313688621e-08
1825,6.163809906922779e-09,1.4969252504215547e-08
1826,0.0,2.1139161532346407e-08
1827,4.608636583469661e-09,1.1982455028203276e-08
1828,9.172301251858528e-10,3.393751413227619e-08
1829,4.286587973467704e-09,3.086343269842473e-08
1830,1.6698937344017395e-08,1.3567886369969528e-08
1831,0.0,4.053713453799901e-08
1832,1.352996914505411e-08,3.2471927369215337e-08
1833,0.0,2.6642345218874652e-08
1834,4.667265685043276e-09,1.120143711119681e-08
1835,0.0,1.5882484660778573e-08
1836,2.016224964762614e-09,1.2097349788575684e-08
1837,4.87052354003481e-09,1.1132625488130543e-08
1838,2.5248647617104325e-09,2.5248647617104325e-08
1839,6.9914751765765e-10,2.027527834513876e-08
1840,1.9109065441114126e-09,3.3759349093998026e-08
1841,1.5409316489467528e-08,2.118781061710706e-08
1842,4.695785538189057e-09,2.5491406319133603e-08
1843,3.5441467538532834e-09,8.269675610961258e-09
1844,1.097712254427563e-09,1.0977122322231025e-08
1845,7.254296274794569e-09,2.17628883802945e-08
