year,profond_ADJ salut_NOUN
1800,2.829747991484055e-08
1801,7.143547975374531e-09
1802,3.1329761895904085e-08
1803,2.5354410126965377e-08
1804,2.4718509905596875e-08
1805,0.0
1806,0.0
1807,4.27043254092041e-08
1808,7.704651494577774e-08
1809,7.228897658251299e-08
1810,3.7442028144596406e-08
1811,3.760615285841595e-08
1812,1.0668832928217853e-08
1813,9.489947672136623e-08
1814,8.810695817373926e-08
1815,2.6972236000233352e-08
1816,5.7940098940889584e-08
1817,7.005930058312515e-08
1818,7.391130196765516e-08
1819,3.415846450138815e-08
1820,6.882559233645225e-08
1821,6.508582117703554e-08
1822,3.0076847679083585e-08
1823,4.348382276475604e-08
1824,4.463189640091514e-08
1825,5.195211372210906e-08
1826,5.813269510213104e-08
1827,8.940754980812926e-08
1828,9.355747465633613e-08
1829,2.3147574523818548e-08
1830,1.5550885734683106e-07
1831,8.107426907599802e-08
1832,7.035583848846727e-08
1833,1.4711207541040494e-07
1834,6.627517024071494e-08
1835,1.2932881077176717e-07
1836,1.384474472843067e-07
1837,1.0088941593267009e-07
1838,7.953323688525415e-08
1839,8.669429263363782e-08
1840,8.853866972913238e-08
1841,7.31942506604355e-08
1842,8.854910049649334e-08
1843,1.2936135362906498e-07
1844,9.934296230085238e-08
1845,1.3169338330953906e-07
1846,8.489026726010707e-08
1847,7.928039025273392e-08
1848,1.1906928421012708e-07
1849,7.457679629396807e-08
1850,7.943125268639051e-08
1851,6.513933215046563e-08
1852,5.989701890030119e-08
1853,6.270528274399112e-08
1854,8.468933287986147e-08
1855,9.021793090369101e-08
1856,7.351608388717068e-08
1857,8.054490052700203e-08
1858,1.3163987944153632e-07
1859,1.2068450416791165e-07
1860,1.0527522675829459e-07
1861,8.535894124861443e-08
1862,1.0888346935189475e-07
1863,1.2886121680821816e-07
1864,1.4096499967308773e-07
1865,1.0590400023602342e-07
1866,9.731225958375944e-08
1867,8.443892340892489e-08
1868,7.014621417056333e-08
1869,9.815873625029781e-08
1870,8.142349372519675e-08
1871,9.665271250014484e-08
1872,1.6811603131827724e-07
1873,8.979007048992571e-08
1874,8.244960270076263e-08
1875,1.1156978274584617e-07
1876,5.8041742079240066e-08
1877,6.741449709579683e-08
1878,6.522216011717319e-08
1879,6.903537297375806e-08
1880,7.187988160239911e-08
1881,1.3456939029765635e-07
1882,8.851662158804174e-08
1883,8.657494277031219e-08
1884,7.12983307948889e-08
1885,8.314869859304963e-08
1886,6.517998230037847e-08
1887,7.508263166755569e-08
1888,5.2627100899371726e-08
1889,7.079604813498008e-08
1890,3.8015443237782165e-08
1891,6.756673087693343e-08
1892,7.334159590755007e-08
1893,7.944357349742859e-08
1894,4.348062176973144e-08
1895,5.838056083007359e-08
1896,4.599682768002822e-08
1897,3.787363667129284e-08
1898,3.904265000187479e-08
1899,4.753717419703207e-08
1900,5.969710770159509e-08
1901,2.9620316865930363e-08
1902,2.6024505217492333e-08
1903,3.564145245604777e-08
1904,3.278521276683932e-08
1905,3.818961857859904e-08
1906,2.9321851613417493e-08
1907,2.4171363577352167e-08
1908,1.7189861978295085e-08
1909,4.34577707153494e-08
1910,3.046165986120286e-08
1911,3.990280461607654e-08
1912,7.60575531444374e-08
1913,4.454511426388308e-08
1914,4.419850796466562e-08
1915,3.062998032987707e-08
1916,3.84561182897869e-08
1917,5.9218692172180454e-08
1918,3.675640414257941e-08
1919,2.6702760891339494e-08
1920,1.1358347151713133e-08
1921,2.499006690470651e-08
1922,4.869437475463201e-08
1923,3.3971033985835675e-08
1924,4.898817351772777e-08
1925,3.629398648286042e-08
1926,5.3501466368288675e-08
1927,4.4596898618465275e-08
1928,3.884854038460617e-08
1929,5.570203143179242e-08
1930,2.941009036305786e-08
1931,3.42160717536899e-08
1932,5.698959171240858e-08
1933,6.652984296806608e-08
1934,3.5944740517379614e-08
1935,4.547948151412129e-08
1936,1.8187071404440758e-08
1937,5.5400921183945684e-08
1938,2.7226949583791793e-08
1939,1.6823456405745674e-08
1940,2.2822046474857416e-08
1941,3.246652724442356e-08
1942,1.517105907566929e-08
1943,3.193558839598154e-08
1944,4.4984606262232774e-08
1945,2.6142048525912287e-08
1946,4.1763314584386535e-08
1947,3.099426493236024e-08
1948,2.8266908813634473e-08
1949,2.1597418964347526e-08
1950,2.4461330738745346e-08
1951,4.477788806411809e-08
1952,2.741649041126948e-08
1953,2.477980309834038e-08
1954,2.6385848173049453e-08
1955,2.815682265122632e-08
1956,1.5698054411927842e-08
1957,3.445664731316356e-08
1958,2.3989505493204888e-08
1959,3.797866554577922e-08
1960,2.4914999841030294e-08
1961,5.419564175213054e-08
1962,2.7904608401740916e-08
1963,4.4615767080813384e-08
1964,1.8251904876365188e-08
1965,2.7360217202954118e-08
1966,3.5450078428311826e-08
1967,3.64844829903177e-08
1968,2.6050212653672133e-08
1969,2.361714024345929e-08
1970,2.2533752641606952e-08
1971,2.363662865434435e-08
1972,2.0007572487656944e-08
1973,1.1026407342740185e-08
1974,3.937900228123681e-09
1975,5.711480177694739e-09
1976,1.4855169538918744e-08
1977,8.815172591880582e-09
1978,2.4356424432880885e-08
1979,1.8141117053005473e-08
1980,1.989802811408481e-08
1981,2.6567308353264707e-08
1982,2.1726258125909226e-08
1983,1.9577479193344516e-08
1984,1.275781880138993e-08
1985,2.2257564680217e-08
1986,1.1389522214244607e-08
1987,1.711028652096047e-08
1988,1.0194141530917022e-08
1989,1.0427432250992297e-08
1990,1.3076762783725826e-08
1991,1.4067516929117119e-08
1992,1.3774860363469088e-08
1993,2.1048988330107932e-08
1994,1.2132331583813993e-08
1995,1.3013881527967897e-08
1996,1.2277611816102763e-08
1997,6.7128524960935465e-09
1998,9.536258005482523e-09
1999,7.769341614505265e-09
2000,9.719669513685858e-09
2001,1.1829271784336015e-08
2002,6.571832411594869e-09
2003,1.12506919336397e-08
2004,7.047666006343434e-09
2005,1.170974872621855e-08
2006,1.6059770402421236e-08
2007,1.5578470069499417e-08
2008,2.0435710013089192e-08
2009,1.8595951445377068e-08
2010,2.172944846279279e-08
