year,laissant_VERB en_ADP,laissant_VERB cent_DET
1800,2.7668647550882497e-07,0.0
1801,2.9526663070100767e-07,0.0
1802,4.520437073551875e-07,0.0
1803,1.8333189188979304e-07,0.0
1804,2.0021992952479195e-07,0.0
1805,2.50173229687789e-07,1.421438877713399e-08
1806,2.4494187300660997e-07,3.7461699520235925e-08
1807,3.1601200589648215e-07,5.693910232196231e-09
1808,2.4246992147425317e-07,0.0
1809,5.037638040050751e-07,6.7770917766551975e-09
1810,2.878355882529604e-07,0.0
1811,4.562879780678486e-07,0.0
1812,2.3204711041557857e-07,0.0
1813,3.5084047489419845e-07,0.0
1814,5.443751547318243e-07,0.0
1815,4.6122523356117995e-07,0.0
1816,3.5691098787538067e-07,0.0
1817,3.4406903637318464e-07,0.0
1818,4.4942838783867955e-07,0.0
1819,3.933398966537993e-07,0.0
1820,2.978486808302705e-07,0.0
1821,5.206865738571764e-07,9.861488514673056e-09
1822,4.6819626220440114e-07,3.0076847679083585e-09
1823,6.789405873064425e-07,0.0
1824,6.391624669532803e-07,3.3684450784221553e-09
1825,4.913437123832409e-07,0.0
1826,5.742805946340468e-07,0.0
1827,4.931240933370162e-07,0.0
1828,4.329326319663096e-07,0.0
1829,3.086343321467844e-07,0.0
1830,4.3625973944472207e-07,0.0
1831,3.289744388013105e-07,0.0
1832,4.708429344191245e-07,0.0
1833,4.4017787459438296e-07,0.0
1834,3.95784114815001e-07,0.0
1835,4.507600408487633e-07,0.0
1836,6.028513066524965e-07,0.0
1837,5.392365327594462e-07,0.0
1838,5.068665815954887e-07,3.787297142565649e-09
1839,5.173691759452481e-07,0.0
1840,4.777266511268863e-07,0.0
1841,6.099521208113856e-07,6.420548537278137e-10
1842,4.796409500684717e-07,0.0
1843,4.11121001464565e-07,0.0
1844,5.186690410496908e-07,0.0
1845,3.710851483873512e-07,0.0
1846,4.039605796535284e-07,0.0
1847,4.141995662010345e-07,3.235934187273415e-09
1848,4.4490074913028366e-07,0.0
1849,3.4188011954761066e-07,0.0
1850,5.254683053124154e-07,0.0
1851,5.862540115586512e-07,1.9348316282474798e-09
1852,4.10164354036624e-07,0.0
1853,4.62227537578741e-07,1.0749477752369785e-08
1854,5.356729930738879e-07,5.195664454227256e-10
1855,4.707253111746468e-07,0.0
1856,4.5714580210187705e-07,0.0
1857,5.052361786717086e-07,0.0
1858,4.1645183479488423e-07,0.0
1859,5.168556000967328e-07,0.0
1860,5.739788626613063e-07,0.0
1861,5.215855995999163e-07,1.4147891747029462e-09
1862,4.992374660339749e-07,0.0
1863,5.014599588903934e-07,0.0
1864,4.895417395900381e-07,0.0
1865,4.622121076991448e-07,0.0
1866,5.318114961738729e-07,0.0
1867,4.6198764636073975e-07,0.0
1868,4.445886592208126e-07,0.0
1869,4.697945295006889e-07,0.0
1870,4.6732497871460055e-07,0.0
1871,8.507562876403085e-07,1.0621177271019633e-09
1872,4.976959964153593e-07,0.0
1873,5.638816453767959e-07,0.0
1874,5.29350396405448e-07,0.0
1875,4.863298199708765e-07,0.0
1876,4.740075532083665e-07,0.0
1877,4.941668034774693e-07,0.0
1878,4.831271009919647e-07,2.4156354694326865e-09
1879,3.934405441441413e-07,0.0
1880,4.511745874680173e-07,0.0
1881,4.901672694401782e-07,0.0
1882,5.75690834558884e-07,6.655385131892899e-10
1883,4.726865467929997e-07,6.319338941018771e-10
1884,4.35051838110212e-07,0.0
1885,4.6988683388704544e-07,0.0
1886,4.556145500878017e-07,0.0
1887,4.6224786220960823e-07,2.6115698492645834e-09
1888,5.078832394644905e-07,0.0
1889,5.456934317749074e-07,0.0
1890,4.266905619942918e-07,1.9663159989136147e-09
1891,5.379841550023912e-07,6.374220040683554e-10
1892,4.920781977446609e-07,6.268512375839919e-10
1893,4.7419806081805405e-07,0.0
