year,traversant_VERB en_ADP,traversant_VERB sans_ADP
1800,1.1633408547595536e-07,0.0
1801,8.810375362600098e-08,2.6193008650921e-08
1802,4.0281122437590966e-08,4.475680270843441e-09
1803,1.3652374342143503e-08,2.7304748684287006e-08
1804,2.2246657849223084e-08,7.4155526164076946e-09
1805,5.1171799242411e-08,2.842877711017877e-09
1806,7.204172902675055e-08,5.76333825108577e-09
1807,3.4163463169534225e-08,0.0
1808,2.039466551195801e-08,2.2660739951163578e-09
1809,3.162642769893864e-08,2.259030518203531e-09
1810,3.510190182964834e-08,4.680253518074551e-09
1811,2.2563691359778204e-08,5.0141535368197765e-09
1812,2.1337665856435706e-08,1.8670457180292033e-08
1813,2.300593315851529e-08,2.8757416448144113e-09
1814,2.2026739543434815e-08,1.8880061958270744e-08
1815,2.6972236000233352e-08,5.394447111228828e-09
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,2.1796228488746294e-08,2.9580593974287694e-08
1818,5.364529886975333e-08,4.887682791832049e-08
1819,3.8298885840504227e-08,1.2421260464634543e-08
1820,4.6279275522920216e-08,1.779972080839798e-08
1821,4.043210211079895e-08,1.97229765852569e-09
1822,4.110502516141423e-08,0.0
1823,4.150728649676694e-08,1.581229902569703e-08
1824,4.0421340941065864e-08,1.2631669044083083e-08
1825,3.258013947515792e-08,1.3208164340028361e-08
1826,6.605988289720699e-08,2.1139161532346407e-08
1827,8.20337291429496e-08,2.7651818612639545e-08
1828,4.035812395386529e-08,1.0089530988466322e-08
1829,3.686465693819585e-08,6.858540846366168e-09
1830,5.3227864116323076e-08,1.7742621594152297e-08
1831,6.080570358335535e-08,2.8064171431196883e-08
1832,8.659180394943178e-08,8.117981842303834e-09
1833,6.02348677603004e-08,2.3167256557599103e-08
1834,7.841006155473451e-08,1.3068342852307069e-08
1835,4.0084366048631637e-08,1.663879345414898e-08
1836,4.838939915430274e-08,8.736974699274924e-09
1837,6.470838798122713e-08,1.3915781860163179e-09
1838,3.787297231383491e-08,1.1361891205652341e-08
1839,3.5656523067473245e-08,1.5381244722334486e-08
1840,3.758116307039927e-08,2.8026629905752998e-08
1841,5.585877183023058e-08,5.778493683550323e-09
1842,4.762868144325694e-08,1.341653010911159e-09
1843,3.603215859016018e-08,2.953455480181333e-09
1844,7.793756706675481e-08,8.781698090931656e-09
1845,3.850357188639464e-08,1.7298706467272496e-08
1846,3.6297908678761814e-08,2.9272506640865004e-09
1847,6.094342808182773e-08,7.550513103637968e-09
1848,2.333114323960217e-08,1.045878850192139e-08
1849,2.9327951622803994e-08,1.0893239199560867e-08
