year,visant_VERB en_ADP
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,0.0
1805,8.528632911009026e-09
1806,0.0
1807,3.131650672116848e-08
1808,2.2660739951163578e-09
1809,1.129515236897305e-08
1810,0.0
1811,0.0
1812,0.0
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,0.0
1818,3.5763532135746345e-09
1819,3.1053151161586356e-09
1820,1.0679833017945839e-08
1821,0.0
1822,2.0051231786055723e-09
1823,2.9648061783404955e-09
1824,0.0
1825,0.0
1826,8.807984341885344e-10
1827,2.7651818612639545e-09
1828,1.8344602503717056e-09
1829,0.0
1830,5.218417697960831e-09
1831,1.5591206548037917e-08
1832,4.058990921151917e-09
1833,9.266902800675325e-09
1834,1.8669061851994684e-09
1835,5.294161553592858e-09
1836,4.032449929525228e-09
1837,1.3915781860163179e-09
1838,6.312161904276081e-10
1839,1.0487212875887053e-08
1840,1.9109065441114126e-09
1841,4.494383976094696e-09
1842,5.366612043644636e-09
1843,1.7720733214154905e-09
1844,3.293136707771538e-09
1845,2.7901139176833567e-09
1846,7.025401593807601e-09
1847,5.393223645455691e-10
1848,1.6090443422100975e-09
1849,5.865590679832167e-09
1850,3.394498016007219e-09
1851,2.579775504329973e-09
1852,0.0
1853,5.3747388761848924e-09
1854,8.313063126763609e-09
1855,1.0613874223963649e-08
1856,2.0708756931497874e-09
1857,5.369659827891837e-09
1858,2.4468380654951716e-09
1859,7.129042689513199e-09
1860,9.154367819341758e-10
1861,9.431927461278633e-10
1862,4.517986262886353e-10
1863,3.496234635136375e-09
1864,1.2945765681671162e-08
1865,4.706844358715045e-10
1866,5.838735717134114e-09
1867,6.79393608038481e-09
1868,5.433861360870651e-09
1869,1.0743741896135361e-08
1870,2.2936195165357276e-09
1871,4.248470908407853e-09
1872,1.0280476914203973e-08
1873,6.584604861359367e-09
1874,1.0156835372754358e-08
1875,1.1443054281912168e-09
1876,4.232210137899983e-09
1877,9.895705588292003e-09
1878,7.850815109122777e-09
1879,1.3440515367335593e-08
1880,1.6044615414045893e-08
1881,1.8825770387032037e-08
1882,7.986462158271479e-09
1883,2.274962085380139e-08
1884,1.5183903023796574e-08
1885,1.0957580620640783e-08
1886,9.034849313138693e-09
1887,2.4809914123125054e-08
1888,1.4583413587843097e-08
1889,9.397704836544563e-09
1890,7.209825181320184e-09
1891,1.1473596295275001e-08
1892,1.0656471260972467e-08
1893,2.0322774574310642e-08
1894,2.2055386850183822e-08
1895,2.9491211250842753e-08
1896,2.1229303870384797e-08
1897,2.2141511402118397e-08
1898,2.2633418694795182e-08
1899,9.949641111006713e-09
1900,2.595526638060619e-08
1901,2.9620316921441514e-08
1902,2.5042448115186744e-08
1903,2.214090244478939e-08
1904,3.278521276683932e-08
1905,1.9610885193532823e-08
1906,1.1317205839134203e-08
1907,2.828563872014911e-08
