year,vivant_VERB en_ADP
1800,5.470846375921212e-07
1801,6.238698251337382e-07
1802,4.184761053238617e-07
1803,7.391785850074939e-07
1804,7.959360210918476e-07
1805,4.3211742273285836e-07
1806,3.8902534349460893e-07
1807,5.75084934784087e-07
1808,7.002168667114006e-07
1809,5.963840727929437e-07
1810,5.195081165254578e-07
1811,5.741205746367939e-07
1812,6.48131620373249e-07
1813,4.831245838943232e-07
1814,1.101336984277168e-06
1815,9.278448835914332e-07
1816,8.830070896692632e-07
1817,1.0866975852508176e-06
1818,8.678616882917822e-07
1819,9.77139142932515e-07
1820,1.2163142741883348e-06
1821,8.520325831540276e-07
1822,9.30377183294695e-07
1823,5.643014007183922e-07
1824,8.370586019879056e-07
1825,1.010864878026041e-06
1826,1.1194947582282566e-06
1827,8.867016609848122e-07
1828,8.787064817994406e-07
1829,1.2225349594885415e-06
1830,7.483211437175896e-07
1831,1.5497659404672959e-06
1832,5.195508205879662e-07
1833,7.900034439956016e-07
1834,6.478164582546242e-07
1835,7.222748692470304e-07
1836,8.038016936495751e-07
1837,7.54931166468964e-07
1838,6.86131995664141e-07
1839,8.599514558227384e-07
1840,7.89204431583812e-07
1841,7.80096673480557e-07
1842,8.633537262880964e-07
1843,9.06120140697908e-07
1844,7.579703265037097e-07
1845,9.78771994120109e-07
1846,9.074477240744727e-07
1847,7.944218376465528e-07
1848,9.485316123658549e-07
1849,8.521865124677674e-07
1850,9.015786623933764e-07
1851,9.80314721843456e-07
1852,9.271016967460355e-07
1853,1.0152283795861194e-06
1854,1.1051178461229938e-06
1855,9.393278830316376e-07
1856,1.0763376891986809e-06
1857,9.626336190393658e-07
1858,1.1201624534606935e-06
1859,9.853355322775315e-07
1860,9.918757779558973e-07
1861,1.018648219996976e-06
1862,1.345456301038439e-06
1863,1.0943213837322219e-06
1864,1.259095547823108e-06
1865,1.3023838558723355e-06
1866,1.5983538830255384e-06
1867,1.3859630101364928e-06
1868,1.357477399821505e-06
1869,1.1779048385562874e-06
1870,1.2534630364768873e-06
1871,8.390730292795467e-07
1872,1.3171105202047784e-06
1873,1.6395666513346896e-06
1874,1.52053803148533e-06
1875,1.1860725486201318e-06
1876,1.3053345711000475e-06
1877,1.2017097255068165e-06
1878,1.1589011403856375e-06
1879,1.0831833510138722e-06
1880,9.78079782498753e-07
1881,1.0075273326748402e-06
1882,1.2745061965802051e-06
1883,1.1039885148278472e-06
1884,1.2602638932435184e-06
1885,1.1756839342069725e-06
1886,1.1325829003538956e-06
1887,1.1477849000129936e-06
1888,1.1019988548355286e-06
1889,1.167194930928872e-06
1890,1.536348175790181e-06
1891,1.1824178098862603e-06
1892,1.200420078006914e-06
1893,1.3228278739063626e-06
1894,1.4260383061071025e-06
1895,1.5834974789186163e-06
1896,1.4595147064255798e-06
1897,1.1938936310684767e-06
1898,1.2465355663238142e-06
1899,1.0856164092132303e-06
1900,1.3008779440326634e-06
1901,1.2339935260285984e-06
1902,1.0989215653012252e-06
1903,1.2539311295967082e-06
1904,1.3764415367489846e-06
1905,1.3237346507821712e-06
1906,1.575149276789034e-06
1907,1.3016536932752842e-06
1908,1.2548599528372506e-06
1909,1.2580749810808811e-06
1910,1.2617540114945314e-06
1911,1.275825749047499e-06
1912,1.3263186069423227e-06
1913,1.3071870164083066e-06
1914,1.2804174023273163e-06
1915,1.2687880399653295e-06
1916,1.2492744225767183e-06
1917,1.413572149999709e-06
1918,1.2244477467504566e-06
1919,1.3231677655767271e-06
1920,1.3743600888460605e-06
1921,1.4108028061343703e-06
1922,1.353851192931188e-06
1923,1.4872943161492458e-06
1924,1.3652230563820922e-06
1925,1.485853825755612e-06
1926,1.3531412008660482e-06
1927,1.487306569458724e-06
1928,1.4568202821862997e-06
1929,1.5618849857901296e-06
1930,1.5576843814812946e-06
1931,1.2922268766146772e-06
1932,1.421451930383455e-06
1933,1.5003626714360507e-06
1934,1.4138264212704144e-06
1935,1.6863311955717109e-06
1936,1.610162076559618e-06
1937,1.5512257540706287e-06
1938,1.8708804994105321e-06
1939,1.7435217145589377e-06
1940,1.559506550563583e-06
1941,1.5229752889922565e-06
1942,1.8296297241704451e-06
1943,1.7680701986932945e-06
1944,1.879713884989087e-06
1945,1.742803270587956e-06
1946,1.7262169080822787e-06
1947,1.727334208112552e-06
1948,1.6938401543598047e-06
1949,1.7032509731507162e-06
1950,1.7388815756191889e-06
