year,changeant_VERB en_ADP,changeant_VERB sans_ADP
1800,1.3582790643340559e-06,1.3834323642214486e-07
1801,4.952859740114945e-07,1.0715321696608271e-07
1802,6.668763603556727e-07,2.6854081625060644e-08
1803,1.5544203506578924e-06,3.90067853572873e-08
1804,7.687456662353043e-07,4.943701981119375e-08
1805,3.980028848715733e-07,6.254331075261632e-08
1806,6.829556014054106e-07,2.305335300434308e-08
1807,3.245528716888657e-07,1.9928686256776018e-08
1808,8.06722368906776e-07,9.064295980465431e-09
1809,3.3207747862640247e-07,8.358412628695078e-08
1810,3.369782461959403e-07,3.510190182964834e-08
1811,3.008492228673276e-07,5.264861258069686e-08
1812,2.4805035536701325e-07,7.468183227388181e-08
1813,3.192073165791953e-07,2.300593315851529e-08
1814,2.517341783914162e-07,1.2586708564299443e-08
1815,2.5623623400861106e-07,8.091670444798638e-09
1816,8.343374222619104e-07,8.1116134253989e-08
1817,1.4805865955480613e-06,3.7364962679475866e-08
1818,9.441572377255625e-07,2.8610825708597076e-08
1819,5.072014346296783e-07,2.380741581653467e-08
1820,3.097151477504667e-07,2.966620282762733e-08
1821,3.5304128687130287e-07,5.818278125957477e-08
1822,3.3786325559503894e-07,3.408709403629473e-08
1823,9.190898726529895e-07,4.4472091786929013e-08
1824,3.9747651925381433e-07,6.821101283804865e-08
1825,4.4291378387129043e-07,5.987701001686219e-08
1826,4.412800080899615e-07,5.460950314173374e-08
1827,3.5302155632077614e-07,5.2538457140371975e-08
1828,5.402485546146529e-07,1.834460228167245e-08
1829,3.540721760231236e-07,7.201467999706779e-08
1830,3.7259502660980104e-07,4.800944353178238e-08
1831,4.6773618045392595e-07,9.042899762334855e-08
1832,4.6813693188596517e-07,2.570694235259907e-08
1833,3.602508478195432e-07,7.181849892567982e-08
1834,4.583254735734954e-07,5.787409307345115e-08
1835,4.2731446825428065e-07,5.8235777089521434e-08
1836,3.662808776283555e-07,5.040562411906535e-08
1837,3.0197245237673087e-07,4.453050272967829e-08
1838,3.288636336584716e-07,7.006499758155371e-08
1839,3.859294432917437e-07,4.544459031308179e-08
1840,2.0383003507262742e-07,5.159447979963261e-08
1841,3.7560207788445155e-07,7.383631128732304e-08
1842,2.435100232567322e-07,6.171603672555648e-08
1843,2.3509506030805483e-07,4.784597962270709e-08
1844,2.62902080772065e-07,5.269018737985576e-08
1845,4.386059244687601e-07,2.9575208060350633e-08
1846,3.114594679942684e-07,3.805426018743674e-08
1847,2.7505441035913236e-07,5.015698079091635e-08
1848,4.103063133698015e-07,3.781254065415851e-08
1849,3.041727723029908e-07,2.5976186535103807e-08
1850,3.5845899493125444e-07,8.893584890756756e-08
1851,2.4894833772215463e-07,4.70809027319774e-08
1852,3.046935355133229e-07,4.6224872818356744e-08
1853,3.021797529978443e-07,5.315019158125267e-08
1854,3.6941173542359707e-07,6.390667484090784e-08
1855,3.0514887328081386e-07,2.7065379271107304e-08
1856,2.9613522656291025e-07,4.970101485923806e-08
1857,2.65554084055708e-07,5.4672900040575456e-08
1858,2.3049213426773463e-07,9.004364187603642e-08
1859,2.3576762853139144e-07,8.962224740116653e-08
1860,2.274860333439932e-07,3.204028783954094e-08
