year,supposant_VERB en_ADP
1800,3.144164395507687e-08
1801,4.5242469104422867e-08
1802,4.923248297927785e-08
1803,3.705644502360883e-08
1804,5.6852570651244605e-08
1805,4.5486043376286034e-08
1806,5.4751712497136396e-08
1807,2.2775640928784924e-08
1808,4.985362878073829e-08
1809,7.454800510231507e-08
1810,9.360507036149102e-09
1811,2.5070767684098882e-08
1812,8.001624962616916e-08
1813,3.163315653864629e-08
1814,8.810695817373926e-08
1815,5.1247248222807684e-08
1816,7.18457204840206e-08
1817,2.4909974194464723e-08
1818,6.914282835168706e-08
1819,4.450951429646466e-08
1820,9.493184904840746e-09
1821,3.155676253641104e-08
1822,6.115625694746996e-08
1823,5.040170170111935e-08
1824,6.315834610859383e-08
1825,3.9624492131906663e-08
1826,4.3159124052394304e-08
1827,6.728609136530395e-08
1828,4.953042775923677e-08
1829,4.1151244023485134e-08
1830,6.99268030146527e-08
1831,8.419251429359065e-08
1832,5.547287251772559e-08
1833,3.475088417026484e-08
1834,2.800359255594742e-08
1835,6.655517381659593e-08
1836,4.2340726480460944e-08
1837,4.453050195252217e-08
1838,5.870310637590137e-08
1839,4.404629294629814e-08
1840,5.3505384289831426e-08
1841,6.29213738889689e-08
1842,3.8237111255057243e-08
1843,3.071593823733565e-08
1844,3.512679142003705e-08
1845,7.365901000255803e-08
1846,2.3418005312692003e-08
1847,5.069630315546192e-08
1848,5.3902985408527115e-08
1849,1.256912263158938e-08
1850,2.7155984128057753e-08
1851,2.9667417633660875e-08
1852,2.539112742283578e-08
1853,3.1651238963092965e-08
1854,2.6497887994914038e-08
1855,2.653468555990912e-08
1856,2.536822796272986e-08
1857,1.9037886378470148e-08
1858,4.306435030798639e-08
1859,2.036869384269835e-08
1860,2.0597327010651867e-08
1861,4.38584630835237e-08
1862,2.5300723516252788e-08
1863,3.396342079797776e-08
1864,3.404256998518207e-08
1865,5.7894185001572396e-08
1866,5.157549765044678e-08
1867,3.785193136707221e-08
1868,3.655506819466581e-08
1869,3.369628176486117e-08
1870,3.555110295039299e-08
1871,4.779529860776677e-08
1872,2.600355952786515e-08
1873,6.883905179222438e-08
1874,2.9873046258899194e-08
1875,4.1767146796711785e-08
1876,2.237025475970711e-08
1877,3.463496867084359e-08
1878,2.4760263062084675e-08
1879,2.8102896787451925e-08
1880,4.492492533536563e-08
1881,2.091752238086997e-08
1882,3.993231145749121e-08
1883,1.7062214752172622e-08
1884,4.423137145437295e-08
1885,2.3848852115371244e-08
1886,2.5168509665274286e-08
1887,3.26446235598965e-08
1888,1.9655905125759432e-08
1889,3.007265586552066e-08
1890,2.425122941351887e-08
1891,2.868399096023211e-08
1892,3.510367041492657e-08
1893,3.6950499771037926e-08
1894,2.1425233365235385e-08
1895,2.04632888411993e-08
1896,2.2408710331767168e-08
1897,3.204692522462693e-08
1898,2.6594268454083192e-08
1899,2.5426860617017155e-08
1900,2.3359738920980533e-08
1901,2.6267072128494107e-08
1902,3.044375934679877e-08
1903,3.9961631781437745e-08
1904,3.0635364467457293e-08
1905,1.393404985838842e-08
1906,2.3663248249761182e-08
1907,2.982849123256415e-08
1908,3.0450612475974026e-08
1909,3.355599886845084e-08
1910,2.5651923030167723e-08
1911,2.926205810993565e-08
1912,2.0316742732617854e-08
1913,2.598464909908671e-08
1914,1.6072185027304897e-08
1915,2.0027295266622502e-08
1916,1.4283700444650549e-08
1917,2.1932848426331475e-08
1918,2.5270026959844927e-08
1919,2.4861191050273845e-08
1920,3.104615009519307e-08
1921,2.120369302360814e-08
1922,2.0658220023506146e-08
1923,3.503262879789304e-08
1924,4.512068541018266e-08
1925,2.1996355181741478e-08
1926,2.11776637337735e-08
1927,4.236705319904388e-08
1928,1.4853853813612261e-08
1929,8.912325100141061e-09
1930,2.520864805788392e-08
1931,2.3951248095954725e-08
1932,2.4110980323399644e-08
1933,2.294132506186486e-08
1934,1.677421224144382e-08
1935,2.5133396697185617e-08
1936,1.091224310911798e-08
1937,3.777335566557127e-08
1938,1.6854778905894818e-08
1939,1.988226472349197e-08
1940,1.7750480196809804e-08
1941,2.3612020783048138e-08
1942,3.3376331032286544e-08
1943,2.9032351855917682e-08
1944,5.1410978585408884e-08
1945,2.6142048081823077e-08
1946,3.062642850437669e-08
1947,3.4570526219468434e-08
1948,3.0441285714388755e-08
1949,3.2396127447320566e-08
1950,3.7223765181337853e-08
1951,1.3859822733941485e-08
1952,3.268889114949047e-08
1953,2.477980309834038e-08
1954,2.9317607896928166e-08
1955,3.848099261460902e-08
1956,1.3953826982771034e-08
1957,3.003912818488885e-08
1958,3.060730108250809e-08
1959,4.107896356408958e-08
1960,4.567749867234738e-08
1961,2.7792636747570043e-08
1962,2.9172999682636203e-08
1963,4.073613624200334e-08
1964,4.8063350355231904e-08
1965,3.50210763722103e-08
1966,3.489617017571334e-08
1967,4.0428752012822144e-08
1968,3.099076947843393e-08
1969,4.178417101208254e-08
1970,2.897196688111947e-08
1971,3.699646100585596e-08
1972,2.5137720349732717e-08
1973,3.5835823475327544e-08
1974,2.6440186262632892e-08
1975,3.198428899509054e-08
1976,1.9997344113953375e-08
1977,1.7042667388444954e-08
1978,1.9009892548993435e-08
1979,3.979342011461995e-08
1980,1.6486937204351904e-08
1981,2.6567308575309312e-08
1982,2.60715092847974e-08
1983,2.6524327068067066e-08
1984,2.3775934943071064e-08
1985,2.4663788567025335e-08
1986,1.618511108469889e-08
1987,1.466596055710312e-08
1988,2.5185526442150774e-08
1989,1.7013178865710188e-08
1990,1.3076762006569709e-08
1991,1.641210245484359e-08
1992,2.424375467047213e-08
1993,1.7725463152817866e-08
1994,1.5824779708850656e-08
1995,2.3316539254913948e-08
1996,2.081855932090093e-08
1997,2.6851408652106556e-08
1998,1.6211639697338853e-08
1999,1.4167623185734612e-08
2000,1.6346716091852898e-08
2001,1.5334240544007116e-08
2002,1.2267420301803611e-08
2003,1.1250691600572793e-08
2004,1.938108185051135e-08
2005,1.6663873836364473e-08
2006,1.6471560115860484e-08
2007,1.4779574009082808e-08
2008,1.4049551022576878e-08
2009,1.430457752249481e-08
2010,1.5116137674908714e-08
2011,1.0707121356201554e-08
2012,1.0893608293205403e-08
2013,8.088462621902437e-09
2014,1.3209215568577015e-08
2015,1.2856137154848568e-08
2016,1.1599504023962481e-08
2017,1.2326495962833306e-08
2018,8.260693129535923e-09
2019,6.632568272380013e-09
