year,grand_ADJ avoir_NOUN,grand_ADJ savoir_NOUN
1800,0.0,1.2576657582030748e-07
1801,0.0,1.452521445344246e-07
1802,0.0,1.2531904758361634e-07
1803,0.0,2.749978307292622e-07
1804,0.0,3.5100282502753544e-07
1805,0.0,3.9231713344634045e-07
1806,0.0,1.988351669979238e-07
1807,0.0,1.4519470425966574e-07
1808,0.0,3.5350754501450865e-07
1809,0.0,2.371982077420398e-07
1810,4.680253518074551e-09,3.1123684607337054e-07
1811,3.259199843341776e-08,5.941772087680874e-07
1812,0.0,3.7340916492212273e-07
1813,0.0,5.003790306545852e-07
1814,0.0,3.2725441201364447e-07
1815,0.0,1.6453063267363177e-07
1816,0.0,4.032630727124342e-07
1817,0.0,2.662253564267303e-07
1818,0.0,2.968373280509695e-07
1819,0.0,3.301985032067023e-07
1820,0.0,2.9191542694206873e-07
1821,0.0,3.431798063502356e-07
1822,0.0,2.9375053145486163e-07
1823,0.0,2.3323140396769304e-07
1824,1.7852758560366055e-07,3.2252862069981347e-07
1825,8.805443041381977e-10,2.9674342272301146e-07
1826,1.7615968683770689e-09,2.219612014187078e-07
1827,2.1199728195142598e-08,2.3504045998379297e-07
1828,0.0,2.4581765956099844e-07
1829,0.0,4.140844112043851e-07
1830,0.0,2.3587249131651333e-07
1831,0.0,3.352109274601389e-07
1832,0.0,3.3419024703107425e-07
1833,0.0,2.258807541011265e-07
1834,9.334530925997342e-10,2.6790104357132805e-07
1835,4.159698363537245e-08,2.8890997327835066e-07
1836,1.0753200108126748e-08,3.689691823183239e-07
1837,2.365682938432201e-08,2.1499883473552472e-07
1838,1.7674054220151447e-08,3.067710565574089e-07
1839,6.9914751765765e-10,2.873496214306215e-07
1840,1.7198159341091923e-08,3.363195730798907e-07
1841,0.0,4.1027305996976793e-07
1842,7.379091560011375e-09,3.7432118915603496e-07
1843,0.0,3.3728463222360006e-07
1844,0.0,2.7552576398193196e-07
1845,1.1160455892778032e-09,2.3269549842552806e-07
1846,0.0,3.0033592679501453e-07
1847,5.393223645455691e-10,3.063350959564559e-07
1848,1.6090443422100975e-09,2.598606556603045e-07
1849,0.0,2.4551684418838704e-07
1850,6.788996032014438e-10,3.014314131633e-07
1851,1.9348316282474798e-09,2.5862249231067835e-07
1852,1.1718981340891332e-08,2.9102139365022595e-07
1853,1.970737528722566e-08,3.7145414921724296e-07
1854,3.63696517347023e-09,3.460312427705503e-07
1855,1.0613874223963649e-09,3.12047916395386e-07
1856,5.177189232874468e-10,3.794879717133881e-07
1857,3.4170564155999728e-09,3.607435132835235e-07
1858,0.0,3.322805923744454e-07
1859,0.0,2.948368376110011e-07
1860,5.492620580582752e-09,3.121639338132809e-07
1861,4.715963619617014e-09,3.876522214341094e-07
