year,frappant_VERB en_ADP
1800,1.2576657582030748e-07
1801,1.2858386355674156e-07
1802,7.832440473976021e-08
1803,4.8758479920252285e-08
1804,1.7797326279378467e-07
1805,1.02343598484822e-07
1806,8.35684019762084e-08
1807,6.263301344233696e-08
1808,4.5321478125970316e-08
1809,5.873479480555943e-08
1810,7.956430891908894e-08
1811,6.016983888912364e-08
1812,7.734903562095496e-08
1813,6.614205716459765e-08
1814,5.034683425719777e-08
1815,5.933891955578474e-08
1816,1.0660977523002657e-07
1817,7.628679554727569e-08
1818,9.536941547594324e-08
1819,1.0351050150347874e-07
1820,7.594547923872597e-08
1821,8.57949515875589e-08
1822,6.616906489398389e-08
1823,8.696764552951208e-08
1824,1.0779024250950897e-07
1825,8.453225319726698e-08
1826,7.751026487312629e-08
1827,1.0968555130830282e-07
1828,6.604057034564903e-08
1829,1.0459275046059702e-07
1830,9.810625556383457e-08
1831,9.666548095310645e-08
1832,8.929779937716376e-08
1833,5.79181431703546e-08
1834,1.1388127774125678e-07
1835,7.714349692378164e-08
1836,6.653542783396915e-08
1837,9.53231023004264e-08
1838,6.754013526233393e-08
1839,6.362242288560083e-08
1840,1.0382592563473736e-07
1841,9.823439484080154e-08
1842,9.39157089874243e-08
1843,9.391988697871057e-08
1844,8.836583731408609e-08
1845,7.031087534414837e-08
1846,8.489026726010707e-08
1847,7.981971350545791e-08
1848,3.781254065415851e-08
1849,9.971503800443315e-08
1850,4.955967014552698e-08
1851,6.707416133622246e-08
1852,1.40627776090696e-07
1853,8.480143520728234e-08
1854,8.313062949127925e-08
1855,5.519214596461097e-08
1856,7.506924504241397e-08
1857,1.1081025519388277e-07
1858,4.991549573674092e-08
1859,5.8050776630125256e-08
1860,7.781212474355925e-08
1861,8.771692705522582e-08
1862,7.273958146924997e-08
1863,5.893652499366908e-08
1864,4.650886253898534e-08
1865,6.966129717511649e-08
1866,1.0023162388961282e-07
1867,9.123285593659602e-08
1868,6.668830110356794e-08
1869,1.3478512528308784e-07
1870,5.676708170199163e-08
1871,7.965883241922711e-08
1872,1.0280476914203973e-07
1873,6.524744833313889e-08
1874,6.572069821686455e-08
1875,6.694186538425129e-08
1876,9.492243435715864e-08
1877,1.1751150452710135e-07
1878,6.099479321619583e-08
1879,4.887460391955756e-08
1880,6.161132404258751e-08
1881,5.996356833293248e-08
1882,1.211280107327184e-07
1883,8.404720830412771e-08
1884,6.46966284989503e-08
1885,6.574548194748786e-08
1886,9.099384357114104e-08
1887,8.814048158001242e-08
1888,7.03808211710566e-08
1889,6.891650627949275e-08
1890,8.192983358412675e-08
1891,8.541454832311501e-08
1892,6.080456671497814e-08
1893,6.959010789842068e-08
1894,9.263262512604342e-08
1895,8.726991040930443e-08
1896,6.545702291305133e-08
1897,5.360576338375722e-08
1898,7.525611778191887e-08
1899,8.623022296205818e-08
1900,9.707269299497057e-08
1901,8.886095059779109e-08
1902,7.807351209976332e-08
1903,5.6702312178913417e-08
1904,5.750849041419315e-08
1905,8.153999431215198e-08
1906,7.356183573392627e-08
1907,7.714265137792609e-08
1908,6.188350454294778e-08
1909,7.371318133664317e-08
1910,8.123109296320763e-08
1911,8.672209617088811e-08
1912,6.355493553655833e-08
1913,6.893886705938712e-08
1914,6.964613419313537e-08
1915,6.125996065975414e-08
1916,8.899844061716067e-08
1917,7.23783983858084e-08
1918,1.0337738842736144e-07
1919,9.392005040353979e-08
1920,9.010955892563288e-08
1921,6.588290091258386e-08
1922,8.779743154718744e-08
1923,9.235874642854469e-08
1924,6.445812061883771e-08
1925,8.35861513337477e-08
1926,7.57937428375044e-08
1927,1.0368778902147824e-07
1928,9.255093402771308e-08
1929,8.243900850857244e-08
1930,8.297846676441623e-08
1931,9.124285327288817e-08
1932,8.000461804158476e-08
1933,1.0208889023033407e-07
1934,1.0903237779302799e-07
1935,8.377799076697556e-08
1936,9.699771652549316e-08
1937,1.0198805711070236e-07
1938,8.297737252860315e-08
1939,7.647025057622159e-08
1940,5.832300686847702e-08
1941,5.017554371988808e-08
1942,1.2136847260535433e-07
1943,1.1612940653549231e-07
1944,8.675602458652065e-08
1945,7.189063211399116e-08
1946,6.960551957035932e-08
1947,7.748565877818692e-08
1948,8.914948068650119e-08
1949,8.246286853363927e-08
1950,8.720996191868835e-08
1951,1.5032576072826487e-07
1952,7.27591498161928e-08
1953,7.97263197682696e-08
1954,7.427127712844594e-08
1955,9.291751723594643e-08
