year,est_VERB avant_ADV,est_VERB savant_ADJ
1800,2.2009152278457123e-08,2.138031902632065e-07
1801,2.8574191901498125e-08,1.976381582835529e-07
1802,6.937304419807333e-08,3.065840985527757e-07
1803,9.751696339321825e-09,1.618781624301846e-07
1804,6.673997887673977e-08,2.3235398316501232e-07
1805,8.528632911009026e-09,2.5870187414511747e-07
1806,5.187004337159351e-08,2.7664023605211696e-07
1807,1.7081731584767113e-08,2.306033621835013e-07
1808,5.4385777215060216e-08,1.5182695278781466e-07
1809,2.9367397402779716e-08,2.7560173521123943e-07
1810,1.4040760554223652e-08,2.340126741273707e-07
1811,2.5070768572277302e-08,3.911039812010131e-07
1812,2.1337665856435706e-08,1.440292436427626e-07
1813,8.627225156487839e-09,2.875741529351217e-07
1814,2.2026740431613234e-08,2.4229413497778296e-07
1815,2.6972236000233352e-08,1.1598061178119679e-07
1816,1.1588019432906549e-08,2.3407798721564177e-07
1817,3.736496234640896e-08,1.5724421587037796e-07
1818,9.536941902865692e-09,2.515368464628409e-07
1819,6.521161743933135e-08,1.9770504877669737e-07
1820,1.6613074471649725e-08,1.9342364510066545e-07
1821,2.2681422962023134e-08,2.7316323780723906e-07
1822,3.8097340393505874e-08,2.3560197348615475e-07
1823,2.2730180404550993e-08,2.431141012948501e-07
1824,2.6947561515555662e-08,1.3473780313688621e-07
1825,2.905796181451592e-08,2.148528039924713e-07
1826,1.937756521908085e-08,2.2724599091361597e-07
1827,2.0278000945062047e-08,1.2996355280847638e-07
1828,2.2013522837927013e-08,2.008734014680158e-07
1829,1.0287811047504647e-08,2.417635585061362e-07
1830,1.982998831806526e-08,1.4402833414806082e-07
1831,1.870944643656003e-08,2.4945930476860667e-07
1832,1.6235963684607668e-08,1.8536057666551642e-07
1833,3.3592521875291936e-08,2.108220371610514e-07
1834,3.173740381612333e-08,2.473650795309368e-07
1835,2.7983425354705105e-08,3.047924508337019e-07
1836,1.4113575197427508e-08,1.969179805882959e-07
1837,2.9223142017364978e-08,1.0784730619661786e-07
1838,2.209256688701089e-08,2.0388283417105413e-07
1839,1.5381245721535208e-08,1.2444826325008762e-07
1840,2.2293911050574877e-08,4.2740612116176635e-07
1841,1.6115577050612728e-07,3.1524893984169466e-07
1842,1.6770663080478698e-08,2.7839300287269e-07
1843,3.1306630177141415e-08,2.746713789747446e-07
1844,1.3172546831086152e-08,1.7124311568750272e-07
1845,1.841475172348339e-08,1.6684882098161324e-07
1846,3.981060747726417e-08,3.10874014530782e-07
1847,2.3730183151826623e-08,1.8552688629824843e-07
1848,3.539897619475596e-08,1.6975417338471743e-07
1849,1.2569122853633985e-08,1.1396004140351579e-07
1850,2.4440385715251978e-08,1.2695421958142106e-07
1851,4.8370788929830155e-08,1.5027193001060368e-07
1852,2.8646400807019745e-08,3.248762254770554e-07
1853,3.404001280848945e-08,1.7199164403791656e-07
1854,2.9095721221228388e-08,1.6781996237114072e-07
1855,2.2819829581521844e-08,1.7672100227628107e-07
1856,2.640366475459288e-08,2.112293202571891e-07
1857,1.757343293107283e-08,2.260138671772438e-07
1858,3.621320299185271e-08,2.6181166390415456e-07
1859,1.0693563812225193e-08,2.347491943055502e-07
1860,2.425907394409954e-08,1.5837056821510487e-07
1861,1.2733102572326516e-08,2.2683785516619537e-07
1862,2.8011514996428843e-08,2.507482292912755e-07
1863,2.946826249683454e-08,2.247579402592237e-07
1864,2.445311331200628e-08,1.91309638353232e-07
1865,4.6127074160295933e-08,2.772331413325446e-07
1866,2.7733993435141713e-08,1.5618617510426702e-07
1867,2.91168689159349e-08,1.4849602791855432e-07
1868,2.1735445887571814e-08,1.60051925490734e-07
1869,4.053320823427242e-08,1.767833879284808e-07
1870,9.747882945276842e-09,1.8119594358267932e-07
1871,2.124235431999466e-08,1.1683295042530517e-07
1872,1.2094678591978436e-08,1.3122726727488043e-07
1873,3.232442358225285e-08,1.2869909937762714e-07
1874,2.6288280330355462e-08,1.171023384927139e-07
1875,2.6891177951071654e-08,1.458989373759323e-07
1876,2.6602465563740907e-08,1.831942455510216e-07
1877,2.7831671411959746e-08,1.6884547449080856e-07
1878,2.0532901379155533e-08,2.7175897798770166e-07
1879,1.7106110083986437e-08,1.6617364906323928e-07
1880,3.016387717380553e-08,1.3220763150911807e-07
1881,7.669758383954672e-09,1.520006662758533e-07
1882,1.9300615994310988e-08,1.024929332515967e-07
1883,2.08538187829177e-08,1.4344900023388618e-07
1884,2.178560087884307e-08,1.8022632275460637e-07
1885,1.4180398411056672e-08,1.205333859388702e-07
1886,2.323246994784256e-08,1.264878903839417e-07
1887,1.8933881240634776e-08,1.3906608842262358e-07
1888,2.2192150783695297e-08,1.242760419017941e-07
1889,2.3181005281980305e-08,8.959145247899869e-08
1890,2.1629475988049762e-08,9.37277278012516e-08
1891,1.2111018299343357e-08,9.943783396693107e-08
1892,2.7581454897784852e-08,1.4856374264127226e-07
1893,1.970693308539495e-08,1.2316833419845352e-07
1894,2.835692614056029e-08,1.0271509154335945e-07
1895,2.527818110387159e-08,8.66680522904062e-08
1896,1.8870493168066105e-08,1.3563166589847242e-07
1897,1.68974689795931e-08,9.614077356445705e-08
1898,2.037007762467624e-08,8.883617397259513e-08
1899,2.8743407654019393e-08,7.40695469403363e-08
1900,2.2840633051579573e-08,1.2458527010039688e-07
1901,1.9001712259214543e-08,7.936009183140413e-08
1902,1.4239823209472036e-08,9.6732591714499e-08
1903,2.5381035051452727e-08,8.69435439199151e-08
1904,1.9886113200584532e-08,6.933266405440008e-08
1905,2.167518753370956e-08,1.0476340861487188e-07
1906,2.417766653550757e-08,1.1883066264317677e-07
1907,2.2628511286981734e-08,7.662836765121028e-08
1908,1.3260750719723546e-08,1.1247080777820884e-07
1909,1.705304847332556e-08,1.1387035669940815e-07
1910,1.068830179917768e-08,1.2238105284723133e-07
1911,2.5005758019780444e-08,1.244967506863759e-07
1912,2.8651816474933867e-08,1.0575124775868971e-07
1913,2.0151361079800978e-08,1.4795341485296376e-07
1914,2.0759905794420774e-08,1.151839938984267e-07
1915,9.424609315189514e-09,8.010918151057922e-08
1916,2.9666147094431494e-08,7.251725264723063e-08
1917,1.644963654179321e-08,7.128176093829097e-08
1918,9.189101035644853e-09,8.614782132099208e-08
1919,1.9336481860143806e-08,8.01082791213048e-08
1920,2.7260033341747203e-08,1.4841573658941343e-07
1921,1.8931869016913794e-08,1.1434848801172848e-07
1922,1.9920425642361295e-08,7.968170478989123e-08
1923,2.0170301429089932e-08,1.9321025490626198e-07
1924,2.965073686578279e-08,1.353620575628156e-07
1925,2.1996356736053713e-08,1.1658068643782826e-07
1926,1.7833821530643945e-08,1.1814906741847153e-07
1927,1.5608915271414503e-08,1.2821608663671213e-07
1928,3.6563331695660395e-08,1.1311780667710991e-07
1929,1.67106100068537e-08,1.3145680100024038e-07
1930,1.8906486598524452e-08,1.3024468614730722e-07
1931,2.8513390759599133e-08,1.0264820815564235e-07
1932,2.1919072779041926e-08,1.0521155502374313e-07
1933,1.261772819560747e-08,1.1126542176498333e-07
1934,1.1981580172459871e-08,9.106000931069502e-08
1935,1.3165112555668657e-08,1.041240693666623e-07
1936,1.6974600836050513e-08,1.1033490210365926e-07
1937,5.0364472592434595e-09,7.051026074123001e-08
1938,2.7226950471970213e-08,1.0242519721259669e-07
1939,1.5294050470515685e-08,1.330582364289512e-07
1940,1.5214697057785997e-08,7.353770570261986e-08
1941,1.7709016475464523e-08,1.121570960549434e-07
1942,6.068423408223111e-08,6.978687139280737e-08
1943,1.7419411024732767e-08,7.83873517207212e-08
1944,1.927911696952833e-08,9.639558129492798e-08
1945,2.6142048525912287e-08,1.0892519952676594e-07
1946,2.227376771912759e-08,9.048717686255259e-08
1947,2.622591654954931e-08,1.1682453759931377e-07
1948,2.8266909257723682e-08,1.2502671609126992e-07
1949,2.84693233432165e-08,9.522498345404529e-08
1950,2.020718614659245e-08,9.465471606517895e-08
1951,1.7058242041123606e-08,8.955577612823618e-08
1952,1.898064760919027e-08,7.27591498161928e-08
1953,1.8315506444821494e-08,1.2713115893348004e-07
1954,1.6613311615287785e-08,1.280202184261725e-07
1955,2.0648338150408563e-08,9.291751723594643e-08
1956,2.5291310157271596e-08,2.2849390290957672e-07
1957,1.9437083775830644e-08,8.923387895265478e-08
1958,1.4062813691317899e-08,8.437688592266568e-08
1959,2.8677767716089875e-08,7.828255377262394e-08
1960,2.4915000840231016e-08,1.0519666915342896e-07
1961,2.6403005282116254e-08,8.754680891343014e-08
1962,1.77574772664002e-08,1.2430234619387193e-07
1963,2.0044764514892677e-08,1.1056950910415253e-07
1964,2.372747665013719e-08,1.02210670149816e-07
1965,2.6265808195091722e-08,1.0998807198348004e-07
1966,2.714146618565394e-08,6.702280330728172e-08
1967,1.7995724665986756e-07,9.860671212891248e-08
1968,2.605021209856062e-08,1.1857337511855803e-07
1969,2.40713160237771e-08,7.5393181475647e-08
1970,2.713247804209118e-08,1.3060379444596038e-07
1971,2.6205827285963323e-08,9.917107490764465e-08
1972,3.539801196605907e-08,1.862243266259611e-07
1973,2.425809575434812e-08,7.222296716236087e-08
1974,2.756530048664274e-08,7.932055723358644e-08
1975,2.513051367003527e-08,7.367809473635134e-08
1976,2.913898622391997e-08,5.027903782206522e-08
1977,3.349765764770751e-08,8.345030266809772e-08
