year,trouvant_VERB en_ADP
1800,9.526818303129403e-07
1801,1.5072886299094534e-06
1802,9.533198976896529e-07
1803,8.288941444334341e-07
1804,8.082952831500734e-07
1805,8.557062187719566e-07
1806,9.394241260451963e-07
1807,8.683213081894792e-07
1808,6.526292963826563e-07
1809,9.442747455068456e-07
1810,7.862826123528066e-07
1811,9.276184300688328e-07
1812,8.881803523763665e-07
1813,9.576219781592954e-07
1814,8.433094649262785e-07
1815,9.602115369489184e-07
1816,1.2190596407890553e-06
1817,1.111607616621768e-06
1818,1.169467509498645e-06
1819,8.705233085493091e-07
1820,1.047810314958042e-06
1821,1.0926529512289562e-06
1822,1.2973147249795147e-06
1823,1.2768431361109833e-06
1824,1.217692897625966e-06
1825,1.1543935443114606e-06
1826,1.0366997003075085e-06
1827,1.106994545807538e-06
1828,1.0520629984966945e-06
1829,1.0382116215623682e-06
1830,1.1031735311917146e-06
1831,1.1272442179688369e-06
1832,1.0336896139051532e-06
1833,1.0297845847162534e-06
1834,9.735915682540508e-07
1835,1.0890846624533879e-06
1836,1.1559690165086067e-06
1837,1.2760772278852528e-06
1838,1.2030980087729404e-06
1839,1.175966076516488e-06
1840,1.0573683084658114e-06
1841,1.1274482858425472e-06
1842,1.0800306426972384e-06
1843,9.456964562559733e-07
1844,1.1438161209298414e-06
1845,1.04908281173266e-06
1846,1.246423380507622e-06
1847,1.1137007049910608e-06
1848,9.847351520875236e-07
1849,1.0625097957017715e-06
1850,1.1025329058611533e-06
1851,1.0390045872554765e-06
1852,9.850455171545036e-07
1853,9.746192972670542e-07
1854,9.77304466687201e-07
1855,1.105434989767673e-06
1856,1.1410525075916667e-06
1857,1.2106143003620673e-06
1858,1.2278233043616638e-06
1859,1.1503219639052986e-06
1860,1.167639652521757e-06
1861,1.258219072042266e-06
1862,9.573612942403997e-07
1863,1.070347252607462e-06
1864,1.1248431519561564e-06
1865,1.0392711828899337e-06
1866,1.026644326884707e-06
1867,1.204953036904044e-06
1868,1.0823264346981887e-06
1869,1.1945087408093968e-06
1870,1.208164121635491e-06
1871,1.2267460078874137e-06
1872,1.3406951211436535e-06
1873,1.195405047837994e-06
1874,1.097535687222262e-06
1875,1.1866446811836795e-06
1876,1.1021885484296945e-06
1877,1.0656438007572433e-06
1878,1.0483857977305888e-06
1879,1.067910034180386e-06
1880,1.0236465186608257e-06
1881,1.0493623676666175e-06
1882,1.0874899771806668e-06
1883,1.2044660024912446e-06
1884,1.0034578963313834e-06
1885,1.102848273148993e-06
1886,1.0622401305226958e-06
1887,1.0380990715930238e-06
1888,1.1324337947371532e-06
1889,1.107049683923833e-06
1890,1.1050696002712357e-06
1891,1.2805808182747569e-06
1892,1.117675765271997e-06
1893,1.0383090511822957e-06
1894,1.1708259535225807e-06
1895,1.1321013744236552e-06
1896,1.1853028354380513e-06
1897,1.2655622185775428e-06
1898,1.239745529346692e-06
1899,1.1674245570247876e-06
1900,1.2536393114714883e-06
1901,1.1333962675053044e-06
1902,1.5118763485588715e-06
1903,1.1048850865336135e-06
1904,1.0953485798381735e-06
1905,1.0749861303338548e-06
1906,1.036038725032995e-06
1907,1.0949113402602961e-06
1908,1.0151841252081795e-06
1909,1.069391259989061e-06
1910,1.1142553830723045e-06
1911,1.125791186495917e-06
1912,1.1158580264236662e-06
1913,1.080219021787343e-06
1914,1.2596574379131198e-06
1915,1.6693339830453624e-06
1916,2.0304830741224578e-06
1917,1.744758151289716e-06
1918,1.7516723573862691e-06
1919,1.7052934708772227e-06
1920,1.3531578133552102e-06
1921,1.5107631270439015e-06
1922,1.297778908337932e-06
1923,1.563729142617376e-06
1924,1.428392010893731e-06
1925,1.4682567552881665e-06
1926,1.4133303238850203e-06
1927,1.43490524351364e-06
1928,1.526519099570578e-06
1929,1.6387538153139758e-06
1930,1.3528641602533753e-06
1931,1.5283177390301717e-06
1932,1.3644622640640591e-06
1933,1.4280974482971942e-06
1934,1.4401858834389714e-06
1935,1.4266195194068132e-06
1936,1.3907047105021775e-06
1937,1.3333993820197065e-06
1938,1.4637727190347505e-06
1939,1.6792866972537013e-06
1940,2.561140718171373e-06
1941,1.5672478639316978e-06
1942,1.3320189964360907e-06
1943,1.3441979263006942e-06
1944,1.7801050944399321e-06
1945,1.620806983737566e-06
1946,1.445010639145039e-06
1947,1.5246794191625668e-06
1948,1.2285232742215157e-06
1949,1.277192836823815e-06
1950,1.3475003015628317e-06
1951,1.3188154071031022e-06
1952,1.338135575679189e-06
1953,1.2357579635136062e-06
1954,1.3056107945885742e-06
1955,1.1900950767085305e-06
1956,1.2009012380076456e-06
1957,1.1989145605184603e-06
1958,1.1920302540602279e-06
1959,1.1416851748435874e-06
1960,1.092107481781568e-06
1961,1.1561736528165056e-06
1962,1.05276478734595e-06
1963,1.0856502967726556e-06
1964,1.1480448165457346e-06
1965,1.0621236015140312e-06
1966,1.035253035297501e-06
1967,9.949417290044948e-07
1968,9.310705308962497e-07
1969,1.0237122296530288e-06
1970,1.13634496301529e-06
1971,1.0055844086309662e-06
1972,1.0193601838182076e-06
1973,9.201536954606127e-07
1974,9.147179298452102e-07
1975,8.567220106669993e-07
1976,8.421738471042772e-07
1977,7.963039365677105e-07
1978,8.423758686149085e-07
1979,7.818236440471082e-07
1980,8.027432727431005e-07
1981,7.388242124761746e-07
1982,7.871112757129595e-07
1983,7.092099849614897e-07
1984,7.898249805293744e-07
1985,9.10755488803261e-07
1986,7.894737450442335e-07
1987,6.831893415437662e-07
1988,7.795520104991738e-07
1989,6.871129016872146e-07
1990,6.718186682519445e-07
1991,6.717239102727035e-07
1992,7.427404966620088e-07
1993,6.924009312569979e-07
1994,6.767730837964336e-07
1995,6.66419225581194e-07
1996,6.587205803043616e-07
1997,6.382004471561231e-07
1998,6.556177822858444e-07
1999,6.137780133030901e-07
2000,6.644719405812793e-07
2001,6.111790185059363e-07
2002,5.86207420383289e-07
2003,6.46289720407367e-07
2004,6.179922138471738e-07
2005,6.102580982769723e-07
2006,5.61268393539649e-07
2007,5.38056383447838e-07
2008,5.866751848770946e-07
2009,5.616930707219581e-07
2010,5.380400125432061e-07
2011,4.493167011787591e-07
2012,4.80680455439142e-07
2013,5.062261720922834e-07
2014,4.7185051244014176e-07
2015,5.497107053997752e-07
2016,5.559476790040208e-07
2017,4.2161644842053647e-07
2018,4.595010807406652e-07
2019,4.607083781138499e-07
