year,tout_ADV avant_ADV,tout_ADV savant_ADJ
1800,0.0,1.8864986905953174e-08
1801,3.095537337571841e-08,3.333655484993869e-08
1802,4.475680270843441e-09,4.923248297927785e-08
1803,7.801356671777171e-09,1.755305278905439e-08
1804,1.7302956178966156e-08,1.730295684509997e-08
1805,8.528632911009026e-09,2.5585899399160894e-08
1806,2.881669125542885e-09,8.645007376628655e-09
1807,2.8469551160981155e-09,3.131650672116848e-08
1808,6.571614363792833e-08,1.8128591960930862e-08
1809,1.3554183553310395e-08,1.8072244145628247e-08
1810,2.3401267590372754e-09,3.978215445954447e-08
1811,3.008491944456182e-08,1.504246105454854e-08
1812,0.0,1.8670456736202823e-08
1813,5.751483289628823e-09,6.326631307729258e-08
1814,2.2026739543434815e-08,2.5173417128598885e-08
1815,2.4275012222574333e-08,1.6183341333686485e-08
1816,2.3176038865813098e-09,1.3905623319487859e-08
1817,1.556873407970727e-09,2.3353100786493997e-08
1818,1.1921177378582115e-09,2.5034472050933232e-08
1819,9.315945015409e-09,2.898294049202832e-08
1820,2.0173017034608165e-08,9.493184904840746e-09
1821,7.88919063410276e-09,2.859831527146639e-08
1822,1.0025615893027862e-08,3.709477880420309e-08
1823,0.0,2.9648060451137326e-08
1824,9.263223965660927e-09,2.105278174013847e-08
1825,1.8491430608946757e-08,1.937197424695114e-08
1826,1.76159691278599e-08,2.9947146096276356e-08
1827,0.0,2.1199728195142598e-08
1828,4.769596628761974e-08,9.172301251858528e-09
1829,5.143905745796928e-09,5.829759874842466e-08
1830,5.218417697960831e-09,2.922314035203044e-08
1831,3.1182412207897414e-09,5.14509785887185e-08
1832,6.764984572527055e-09,7.170883886686852e-08
1833,4.6334514003376626e-09,1.6217079790159517e-08
1834,1.8669061851994684e-09,3.2670858240990697e-08
1835,6.050470346963266e-09,2.4958190181223472e-08
1836,1.6129800772812786e-08,3.293167427642629e-08
1837,3.270208637218275e-08,3.5485243188304594e-08
1838,1.2624323808552163e-09,9.468242634369517e-09
1839,3.49573756608379e-08,2.7965900262216792e-08
1840,3.567025697037707e-08,4.7772664046874525e-08
1841,2.760835826620678e-08,3.788123548176259e-08
1842,3.957876337778998e-08,1.677066263638949e-08
1843,7.088293119128508e-09,3.721353847296882e-08
1844,3.841992946007622e-09,3.128479986180821e-08
1845,1.674068439427856e-09,2.511102525915021e-08
1846,3.5127007969038004e-09,6.966856602730331e-08
1847,4.314578916364553e-09,2.588747438636574e-08
1848,8.045221711050488e-10,4.50532402496151e-08
1849,2.0110596077316245e-08,4.77626631578687e-08
1850,2.5119284430275002e-08,3.53027802546535e-08
1851,3.8696632564949596e-09,2.644269958551604e-08
1852,6.510545436100301e-10,3.6459055330340107e-08
1853,4.777545470346922e-09,2.149895461656115e-08
1854,3.117398617025202e-09,2.7017454939937124e-08
1855,1.5920811335945473e-09,4.9354515141430966e-08
1856,8.283502495043393e-09,5.332504926514048e-08
1857,3.4170563045776703e-09,6.10188628513697e-08
1858,1.3212924865335651e-08,5.089423105175683e-08
1859,4.073738679721828e-09,7.078120933812215e-08
1860,5.034902272882391e-09,7.735441087675099e-08
1861,1.2733101961703852e-08,5.046081330561947e-08
1862,3.6143890103090826e-09,2.0782737752966796e-08
1863,3.146611149418277e-08,3.646073265528571e-08
1864,9.589455562952764e-09,2.9727313943794798e-08
1865,2.3534221793575227e-09,4.8009813902183396e-08
1866,5.352174092809747e-09,4.7683006876297895e-08
1867,1.067618526917613e-08,2.717574432153924e-08
1868,1.5807597009143137e-08,5.236266620300967e-08
1869,1.3185501579471293e-08,4.346332183047252e-08
1870,1.204150290590178e-08,5.447346396181274e-08
1871,2.7615060460561835e-08,1.6993883855676017e-08
1872,1.3304146673220885e-08,4.4145576971743594e-08
1873,1.316921005578564e-08,3.292302519497525e-08
1874,5.377148226681783e-09,5.257655910639869e-08
1875,1.2587359599081083e-08,6.122033968658513e-08
1876,1.5115037221846706e-08,2.5997864305793428e-08
1877,1.36065949618569e-08,2.9068635498674666e-08
1878,3.321498698305447e-08,1.690944850807341e-08
1879,2.016077393918181e-08,5.009646741882534e-08
1880,5.776061851037184e-09,3.529815550962212e-08
1881,3.486253841167297e-09,1.9523021421719022e-08
1882,1.1979693681496428e-08,2.9283694580328756e-08
1883,1.579834707499117e-08,3.222862865470688e-08
1884,8.582206056928499e-09,4.819238874631537e-08
1885,1.4180398411056672e-08,2.8360796822113343e-08
1886,2.2587123282846733e-08,4.323820945728585e-08
1887,1.3710741986194819e-08,2.2851235348397836e-08
1888,9.510921605837552e-09,1.9021843655764314e-08
1889,1.2530273707511697e-08,3.5084766203397066e-08
1890,1.310877323357218e-08,2.6217546800211267e-08
1891,8.28648560879941e-09,2.677172439291553e-08
1892,6.8953636134239105e-09,5.767031296954883e-08
