year,devaient_VERB ôter_VERB,devaient_VERB sauter_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,8.540865792383556e-09
1808,6.798221985349073e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.8880564667256294e-08,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,8.306536791735653e-09,1.1866481131050932e-09
1821,5.9168927535324656e-09,1.97229765852569e-09
1822,0.0,5.012807946513931e-09
1823,6.917880934764753e-09,0.0
1824,8.421112696055388e-10,2.5263338088166165e-09
1825,3.522177216552791e-09,2.641632912414593e-09
1826,9.688783109140786e-09,0.0
1827,7.373818444733615e-09,9.217273055917019e-10
1828,2.7516904310687096e-09,9.172301251858528e-10
1829,0.0,0.0
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,9.266902800675325e-09,2.3167257001688313e-09
1834,9.334530925997342e-10,0.0
1835,0.0,5.294161553592858e-09
1836,4.032449929525228e-09,6.72075017860152e-09
1837,2.5048407792382932e-08,7.653680356156656e-09
1838,1.4517972601879592e-08,3.1560809521380406e-09
1839,4.194885327990505e-09,2.7965900706306e-09
1840,4.458782232319436e-09,2.5478754661634184e-09
1841,4.494383976094696e-09,1.2841097074556274e-09
1842,8.049918065466954e-09,6.708265054555795e-10
1843,5.31621990873532e-09,6.497602011990011e-09
1844,3.2931368743049916e-09,5.488561272137815e-10
1845,3.9061593959388574e-09,7.812318791877715e-09
1846,5.854501328173001e-10,5.854501328173001e-09
1847,9.707802561820245e-09,0.0
1848,8.045221711050488e-10,8.04522137798358e-09
1849,1.0893239199560867e-08,3.3517659758786067e-09
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,3.2247193804124663e-09,1.2898877521649865e-09
1852,5.208436348880241e-09,4.557382027314816e-09
1853,1.0749477752369785e-08,2.388772735173461e-09
1854,4.676098175337984e-09,3.117398783558656e-09
1855,1.0613874223963649e-09,3.1841622671890946e-09
1856,4.504154560436291e-08,9.318940286107136e-09
1857,1.513267733344037e-08,4.881509085841174e-10
1858,2.936205500958522e-09,7.34051397444091e-09
1859,3.5645213447565993e-09,6.110608019582742e-09
1860,4.57718396518203e-09,5.950338888283113e-09
1861,1.4147891747029462e-09,1.4147890858851042e-08
1862,9.035972525772706e-10,4.066187830886747e-09
1863,1.4983863039219614e-09,9.989241656072068e-10
1864,2.8768367688059016e-09,1.4384183844029508e-09
1865,5.177528628053096e-09,0.0
1866,4.379051787850585e-09,6.3252967308358166e-09
1867,7.279217228983725e-09,9.7056229719783e-10
1868,1.0867722721741302e-08,4.939874287401835e-09
1869,4.883519144627257e-10,1.2697149998075474e-08
