year,soient_VERB avant_ADP,soient_VERB savants_ADJ
1800,9.432493897065797e-09,0.0
1801,0.0,4.7623651688866175e-09
1802,1.3427040812530322e-08,0.0
1803,3.315576790896557e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,0.0,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,3.259199843341776e-08
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,1.6183340889597275e-08,0.0
1816,1.622322720606917e-08,0.0
1817,1.2454987263765815e-08,4.670620334934483e-09
1818,1.1921177378582115e-09,0.0
1819,2.5877625375869684e-08,0.0
1820,7.119888678630559e-09,1.1866481131050932e-09
1821,1.2819934447350079e-08,7.88919063410276e-09
1822,1.604098542884458e-08,9.023054303725075e-09
1823,5.929612356680991e-09,9.882686891060644e-10
1824,5.894778887238772e-09,2.863178316658832e-08
1825,3.522177216552791e-09,7.044354433105582e-09
1826,1.5854372037438225e-08,9.688783109140786e-09
1827,1.6591091167583727e-08,7.373818444733615e-09
1828,1.834460228167245e-08,4.586150570418113e-09
1829,2.1432940755516938e-08,1.2002446148073886e-08
1830,2.6092090266160994e-08,1.0436835840010872e-09
1831,1.4032085715598441e-08,4.677361609140007e-09
1832,1.352996914505411e-08,1.352996914505411e-08
1833,1.6217079235048004e-08,2.3167257001688313e-09
1834,1.0267983796552471e-08,1.8669061851994684e-09
1835,1.739510224751939e-08,7.563087933704082e-09
1836,8.064899859050456e-09,0.0
1837,1.0436836284100082e-08,4.174734336004349e-09
1838,3.1560809521380406e-09,1.7674054220151447e-08
1839,8.38977065598101e-09,6.9914749545318955e-09
1840,1.0191501864653674e-08,9.554533164646273e-09
1841,2.3113974734201292e-08,8.988767952189392e-09
1842,9.391571076378114e-09,5.366612043644636e-09
1843,7.678984559333912e-09,1.063243981747064e-08
1844,1.975882035765153e-08,6.586273748609983e-09
1845,1.5066614622583074e-08,1.674068439427856e-09
1846,1.5807152919933287e-08,1.0538101946622191e-08
1847,2.2112217834546755e-08,1.294373674909366e-08
1848,3.057184372323718e-08,6.43617736884039e-09
1849,1.8434713311421547e-08,4.1897072478036534e-09
1850,2.2403686017469226e-08,2.0366988096043315e-09
1851,5.159551008659946e-09,3.8696632564949596e-09
1852,1.4323200403509873e-08,6.510545436100301e-09
1853,1.851298847554972e-08,1.0749477752369785e-08
1854,6.754363734984281e-09,2.5978321716024766e-09
1855,1.2205955357558196e-08,1.1144567935161831e-08
1856,6.212626857404757e-09,9.318940286107136e-09
1857,1.6597130780837688e-08,8.78671624349181e-09
1858,8.808616946964776e-09,9.787352039936081e-10
1859,3.5645213447565993e-09,5.092173349652285e-09
1860,6.865775947773045e-09,7.323494255473406e-09
1861,1.4147890858851042e-08,2.8295783494058924e-09
1862,3.162590411776023e-09,1.0843167252971853e-08
1863,2.9967726078439227e-09,7.491931519609807e-09
1864,1.3904711160250827e-08,4.794727948009836e-10
1865,5.177528628053096e-09,1.882737743486018e-09
1866,6.811858188626729e-09,7.784980660119345e-09
1867,1.8925964795357686e-08,3.88224918879132e-09
1868,7.903798504571569e-09,2.4699371437009177e-09
1869,1.660396442559886e-08,5.860222973552709e-09
1870,4.013834153937523e-09,4.013834153937523e-09
1871,0.0,3.18635318130589e-09
1872,1.4513614310374123e-08,1.3304146229131675e-08
1873,5.387403856360606e-09,1.0176207432266438e-08
1874,3.5847653734322193e-09,2.9873046258899194e-09
1875,1.2015206607429718e-08,1.1443054281912168e-09
1876,4.836811839936672e-09,1.5115036333668286e-08
1877,8.658742167710898e-09,1.8554447978047506e-09
1878,1.872117572077059e-08,1.268208649207736e-08
1879,1.7717043832021773e-08,4.27652757650776e-09
1880,1.6044616302224313e-08,6.417846254436199e-10
1881,4.322954794133693e-08,6.2752567586699115e-09
1882,5.989846840748214e-09,8.652000893505374e-09
1883,1.64302811356265e-08,5.0554711528150165e-09
1884,1.5844072720483382e-08,4.621187876807653e-09
