year,devront_VERB avoir_VERB,devront_VERB savoir_VERB
1800,3.8673223912155663e-07,9.432493897065797e-09
1801,1.9287578822968499e-07,4.7623651688866175e-09
1802,2.3273537408385891e-07,8.951360541686881e-09
1803,2.8474951818679983e-07,7.801356893821776e-09
1804,2.3729768372504623e-07,4.943701892301533e-09
1805,3.3830244206001225e-07,2.842877711017877e-09
1806,6.33967204066721e-07,5.187004603612877e-08
1807,4.868293217441533e-07,3.131650672116848e-08
1808,4.826737836083339e-07,1.1330369531492579e-08
1809,6.799681955271808e-07,1.129515236897305e-08
1810,3.5803938658318657e-07,4.680253518074551e-09
1811,7.01981491602055e-07,1.2535384286138651e-08
1812,4.320877451391425e-07,1.600324850414836e-08
1813,6.614205858568312e-07,2.8757416448144113e-09
1814,4.782949076798104e-07,8.181360300341112e-08
1815,4.801057684744592e-07,2.966945977789237e-08
1816,7.393156238322263e-07,2.7811246638975717e-08
1817,3.565239978797763e-07,4.670620334934483e-09
1818,4.4108355723437853e-07,2.2650237241350624e-08
1819,4.740780923384591e-07,1.6561680027393777e-08
1820,3.5124784858453495e-07,2.1359666035891678e-08
1821,4.092517542630958e-07,4.930744257336528e-09
1822,2.686865059331467e-07,3.0076847679083585e-09
1823,4.1803764361247886e-07,2.075364236020505e-08
1824,3.418971630253509e-07,3.3684450784221553e-08
1825,2.8705744625767693e-07,3.522177216552791e-09
1826,3.5320016422701883e-07,7.927186018719112e-09
1827,4.931241051053803e-07,2.488663675137559e-08
1828,3.9349171743197076e-07,1.559291185060374e-08
1829,4.646661295737431e-07,1.628903412154159e-08
1830,4.43565511432098e-07,1.5655253093882493e-08
1831,6.376803298735467e-07,2.0268567268999504e-08
1832,6.345555902953492e-07,2.976593194148336e-08
1833,6.509999366244301e-07,4.6334514003376626e-09
1834,6.412822699530807e-07,1.7735608537350345e-08
1835,4.916007014799106e-07,2.193295500774184e-08
1836,6.035233468537626e-07,1.344150035720304e-08
1837,6.359512099152198e-07,9.74104708006962e-09
1838,5.188597356209357e-07,1.199310784016916e-08
1839,5.96372842665005e-07,8.38977065598101e-09
1840,5.235884259491286e-07,2.293087852933695e-08
1841,5.277690888760844e-07,1.6693427085101575e-08
1842,5.628234589494241e-07,1.2745703159566801e-08
1843,7.395452712444239e-07,2.9534556134080958e-08
1844,5.219621925789397e-07,1.756339607084101e-08
1845,5.50768504581356e-07,5.245414413934668e-08
1846,6.668277023891278e-07,4.27378594736183e-08
1847,6.342431220218714e-07,3.66739207890987e-08
1848,5.591429044216056e-07,2.574470947536156e-08
1849,7.66716482303309e-07,1.1731181359664333e-08
1850,5.600921895165811e-07,1.0862393651223101e-08
1851,6.99119141245319e-07,1.3543821175687754e-08
1852,6.315228802122874e-07,2.799534470909748e-08
1853,5.571812380367192e-07,1.1346670270029335e-08
1854,5.377512479753932e-07,1.2989160858012383e-08
1855,4.1712524989634403e-07,9.021793090369101e-09
1856,4.255649628248648e-07,1.7602443946884705e-08
