year,pensant_VERB en_ADP
1800,4.087413785214267e-08
1801,7.381666233818862e-08
1802,9.622712582313397e-08
1803,7.80135707145746e-08
1804,1.730295728918918e-08
1805,3.4114531644036106e-08
1806,1.729001475325731e-08
1807,0.0
1808,2.4926814390369145e-08
1809,1.3554183553310395e-08
1810,7.020380365929668e-08
1811,7.019815262410134e-08
1812,2.1337665856435706e-08
1813,4.3136125782439194e-08
1814,4.090680150170556e-08
1815,2.966945977789237e-08
1816,3.244645441213834e-08
1817,4.514932783195036e-08
1818,5.722165230537257e-08
1819,4.968504185853817e-08
1820,6.40789963313182e-08
1821,3.8459806006585495e-08
1822,6.316138012607553e-08
1823,1.0969782771041992e-07
1824,7.073734664686526e-08
1825,7.836844129194276e-08
1826,4.051672775062798e-08
1827,4.8851547418404806e-08
1828,2.0179061976932644e-08
1829,4.8009784592295546e-08
1830,5.4271545479878114e-08
1831,3.274153215215847e-08
1832,6.764985016616265e-08
1833,3.938433579264711e-08
1834,4.2005389389032644e-08
1835,5.7479468296151026e-08
1836,6.384712597506947e-08
1837,7.862416895321189e-08
1838,5.302215910774066e-08
1839,2.9364196407755117e-08
1840,4.395085184683012e-08
1841,6.420548714913821e-08
1842,3.8907935984155984e-08
1843,5.84784181079101e-08
1844,4.281077631285157e-08
1845,7.254296008341043e-08
1846,6.439951505399222e-08
1847,1.77976389181822e-08
1848,2.815827571112095e-08
1849,1.256912263158938e-08
1850,2.987158254086353e-08
1851,4.837079004005318e-08
1852,2.408901877970493e-08
1853,2.9859658745579054e-08
1854,4.1565314745639625e-08
1855,4.6701046585440054e-08
1856,4.555926391702769e-08
1857,6.882927872098321e-08
1858,6.508588845655083e-08
1859,5.601390640208592e-08
1860,4.256780980482766e-08
1861,3.3954938694069625e-08
1862,4.4276266236709105e-08
1863,5.194405616748554e-08
1864,8.246932026167997e-08
1865,3.812544080439295e-08
1866,6.617233216932306e-08
1867,4.416058452250127e-08
1868,3.951899252285784e-08
1869,5.616047005219116e-08
1870,8.085008929015203e-08
1871,3.186353225714811e-08
1872,4.5959779981785687e-08
1873,5.566984029314881e-08
1874,2.8080663128093875e-08
1875,5.492665877682157e-08
1876,7.19475758970134e-08
1877,2.040989244278535e-08
1878,6.703388777395958e-08
1879,5.864952079548402e-08
1880,2.9522093214495726e-08
1881,2.649552932609822e-08
1882,3.128031078603044e-08
1883,4.044376833434171e-08
1884,2.3105939384038265e-08
1885,1.9981470700258797e-08
1886,3.743009102663564e-08
1887,2.8074375491016212e-08
1888,3.4873380627686856e-08
1889,3.4458252695657166e-08
1890,2.2284914580339432e-08
1891,3.1233678310371715e-08
1892,3.13425623232888e-08
1893,1.9091091374434654e-08
1894,3.969969686323793e-08
1895,2.347259631108045e-08
1896,2.5357224264777045e-08
1897,2.097616802476665e-08
1898,4.5832672879164704e-08
1899,3.4823743888523495e-08
1900,2.491705419771506e-08
1901,3.0179190924073396e-08
1902,2.0132164380015638e-08
1903,2.754112315983548e-08
1904,2.9022976910653142e-08
1905,2.580379598882132e-08
1906,2.7264178192876187e-08
1907,3.548561799959771e-08
1908,4.911389206441186e-08
1909,2.9705311987981986e-08
1910,4.1149959661979096e-08
1911,2.287760891839241e-08
1912,2.8651816919023076e-08
1913,3.234823742204185e-08
1914,3.415339178136634e-08
1915,3.534228554258334e-08
1916,2.307367008569372e-08
1917,4.0575770299255964e-08
1918,5.7431879696423493e-08
1919,2.762354434082681e-08
1920,4.0132826839567315e-08
1921,2.9533714807072897e-08
1922,2.6560568577860266e-08
1923,5.201814623490009e-08
1924,3.222906019839655e-08
1925,4.6192349056894955e-08
1926,6.241837446907539e-08
1927,3.6792443314226375e-08
1928,3.542072923856665e-08
1929,3.5649300400564243e-08
1930,2.7309369543537798e-08
1931,3.877821441733431e-08
1932,2.7398842306070037e-08
1933,2.5235456169170334e-08
1934,2.6359476379411717e-08
1935,5.984142159576322e-08
1936,1.2124715009775855e-08
1937,4.784624962894668e-08
1938,5.0564334941327616e-08
1939,3.5176316082186077e-08
1940,3.296517858686343e-08
1941,3.836953510472085e-08
1942,6.978687139280737e-08
1943,3.774205836748479e-08
1944,7.711646432539965e-08
1945,3.485606514530559e-08
1946,5.986074569364064e-08
1947,4.410722120873345e-08
1948,3.9138794649673514e-08
1949,3.435952833363842e-08
1950,7.232045895477768e-08
1951,3.944718607318265e-08
1952,2.636201035244312e-08
1953,5.710128458957797e-08
1954,3.713563678786613e-08
1955,5.7252207863456306e-08
1956,7.412970326470258e-08
1957,4.240818274325875e-08
1958,2.8125627604680403e-08
1959,3.797866376942238e-08
1960,3.460416753142681e-08
1961,5.350082465938044e-08
1962,6.912732430919277e-08
1963,5.560805682591763e-08
1964,4.623815774706941e-08
1965,5.581484430194905e-08
1966,5.3729026561200044e-08
1967,5.275458914155706e-08
1968,5.165128236228611e-08
1969,4.632593059161749e-08
1970,3.5410182785966526e-08
1971,5.3953173484444505e-08
1972,5.2840511688412306e-08
1973,3.859242658776907e-08
1974,2.7565300708687346e-08
1975,4.7976432160368176e-08
1976,3.485251331980521e-08
1977,3.702372586289471e-08
1978,2.6138601616487733e-08
1979,3.8623022780015503e-08
1980,3.922754143736995e-08
1981,5.3134614930172575e-08
1982,4.966001743156312e-08
1983,4.483874249672226e-08
1984,3.595385433818876e-08
1985,4.692135435746536e-08
1986,4.5558089079023034e-08
1987,4.766437133874035e-08
1988,2.6984492806914062e-08
1989,4.335616565764866e-08
1990,2.50637938181697e-08
1991,4.161640332345229e-08
1992,4.077358739529302e-08
1993,4.3759737611281935e-08
1994,4.74743404588196e-08
1995,3.633042044981494e-08
1996,4.056950153596972e-08
1997,5.130537061859286e-08
1998,4.9111731126316727e-08
