year,levant_VERB en_ADP
1800,1.8864987794131594e-08
1801,4.524246932646747e-08
1802,4.0281122437590966e-08
1803,5.851017803593095e-08
1804,4.2021465418429216e-08
1805,3.1271653710973624e-08
1806,2.881669125542885e-08
1807,2.562259560079383e-08
1808,5.211970233176544e-08
1809,3.840352036377226e-08
1810,3.2761775514700275e-08
1811,4.512738271955641e-08
1812,8.00162425207418e-09
1813,2.300593315851529e-08
1814,1.5733386149463513e-08
1815,2.966945977789237e-08
1816,7.184571870766376e-08
1817,6.227493543065066e-08
1818,5.126106117359086e-08
1819,7.24573512300708e-09
1820,5.3399165977907614e-08
1821,5.325203744632745e-08
1822,4.0102463572111446e-08
1823,6.917881023582595e-08
1824,5.5579342017608724e-08
1825,4.0505039322624725e-08
1826,6.253669226907732e-08
1827,2.5808365222701468e-08
1828,6.420610532131832e-08
1829,6.601345603485242e-08
1830,5.322786122974321e-08
1831,4.989185953263586e-08
1832,6.494385473843067e-08
1833,4.170106393530659e-08
1834,6.067445212920575e-08
1835,6.050470346963266e-08
1836,8.468145296092189e-08
1837,3.6181031504156635e-08
1838,4.292270006089893e-08
1839,6.152497888933794e-08
1840,8.025807574085775e-08
1841,5.521671653241356e-08
1842,4.092041550052272e-08
1843,6.202256486176339e-08
1844,8.452384037127558e-08
1845,6.194053270291988e-08
1846,4.6836010625384006e-08
1847,6.25613978399997e-08
1848,5.470750608083108e-08
1849,4.776266493422554e-08
1850,4.412847331991543e-08
1851,4.1921353499674296e-08
1852,5.078225484567156e-08
1853,4.837264810930719e-08
1854,4.624141425324524e-08
1855,4.2455496895854594e-08
1856,7.351608388717068e-08
1857,5.516105261449411e-08
1858,1.0570339981086363e-07
1859,6.670747154657874e-08
1860,6.04188272745887e-08
1861,6.649509032286005e-08
1862,7.138418567365079e-08
1863,4.04564275413577e-08
1864,5.034464223285795e-08
1865,4.706844336510585e-08
1866,5.741423336758089e-08
1867,5.871901720411188e-08
1868,5.08807040944248e-08
1869,4.3463320054115684e-08
1870,3.1537268796455464e-08
1871,4.0360472297606975e-08
1872,4.7169248063028135e-08
1873,3.8909028887701425e-08
1874,5.436894312538243e-08
1875,4.405575992905142e-08
1876,4.0508300713781864e-08
1877,4.7004601100297805e-08
1878,2.0532901601200138e-08
1879,4.3376211067425174e-08
1880,3.786529134686134e-08
1881,3.765154232837631e-08
1882,5.0580926114207614e-08
1883,1.8326083761621703e-08
1884,2.5746619058963915e-08
1885,3.287274097374393e-08
1886,4.840097744818195e-08
1887,3.7867764035581786e-08
1888,3.867775077992519e-08
1889,2.4434033463194282e-08
1890,2.818386235503567e-08
1891,2.039750413018737e-08
1892,3.949162774574688e-08
1893,4.618812354806323e-08
1894,3.843938856107343e-08
1895,2.2268872967856623e-08
1896,1.3563166589847242e-08
1897,3.1464253424928756e-08
1898,1.810673566637888e-08
1899,2.1004797901014172e-08
1900,2.803168719367477e-08
1901,2.1237207548097103e-08
1902,1.0311596021495006e-08
1903,3.456140973412403e-08
1904,2.6873125946735854e-08
1905,3.560923644840841e-08
1906,1.9033482345776065e-08
1907,3.239991386294605e-08
1908,1.1296195090437777e-08
1909,1.7603147384193107e-08
1910,2.2979847358328698e-08
1911,1.8621308939259507e-08
1912,1.4586379215586476e-08
1913,1.3257474229533273e-08
1914,2.678697441638178e-08
1915,2.3561524287174507e-08
1916,0.0
1917,8.773139548168274e-09
1918,1.378365155346728e-08
1919,4.4197673076951105e-08
1920,1.741613253614105e-08
1921,3.0290991048786964e-08
1922,2.7298360905092522e-08
1923,1.4862327368803108e-08
1924,2.5783249313349188e-08
1925,1.9796720707176974e-08
1926,2.1177662290483568e-08
1927,4.0137209111890115e-08
1928,2.5137291359556002e-08
1929,2.6736975300423182e-08
1930,1.1553964007759987e-08
1931,1.1405356659111021e-08
1932,6.575722188983946e-09
1933,8.02946331646126e-09
1934,2.3963160344919743e-08
1935,1.196828414151696e-08
1936,1.9399543305098632e-08
1937,1.3850230295986421e-08
1938,9.075650453382877e-09
1939,2.2941076593951948e-08
1940,1.5214697057785997e-08
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,2.2492303131116387e-08
1945,1.3071024262956144e-08
1946,2.0881657292193267e-08
1947,8.344609447874518e-09
1948,2.717971980814582e-08
1949,1.1780409536754632e-08
1950,5.317680518146517e-09
1951,1.9190522948520083e-08
1952,1.0544804140977249e-08
1953,1.0773827163745864e-08
1954,1.6613311615287785e-08
1955,1.407841132561316e-08
1956,1.3081712602058815e-08
1957,1.8553580005686854e-08
1958,9.099467845885556e-09
1959,1.4726420971555854e-08
1960,1.5225833038812198e-08
1961,1.528595028332802e-08
1962,2.029426049432459e-08
1963,1.4871922360271128e-08
1964,2.1293889318485526e-08
1965,1.4227312661319047e-08
1966,2.7141465963609335e-08
1967,8.874604162656397e-09
1968,1.3474247495537384e-08
1969,1.7712855182594467e-08
1970,1.5635665207014426e-08
1971,1.5929032315398217e-08
1972,1.6416469961200164e-08
1973,1.3783009400469837e-08
1974,1.012602890426706e-08
1975,6.8537762132336866e-09
1976,1.2569759455516305e-08
1977,6.464460078348111e-09
1978,1.0099005187669263e-08
1979,3.5111840102075575e-09
1980,9.096241093686785e-09
1981,1.0120879245789638e-08
1982,1.924325765401136e-08
1983,9.47297440490047e-09
1984,6.958810416790584e-09
1985,7.820225356169885e-09
1986,7.1933827783254856e-09
1987,1.0388388815840699e-08
1988,8.994830658082265e-09
1989,7.683371272548811e-09
1990,5.993515905799995e-09
1991,1.0550637696837839e-08
1992,1.0468894195980738e-08
1993,1.0524494165053966e-08
1994,1.0549853435293244e-08
1995,7.591431483433553e-09
1996,1.2277611816102763e-08
1997,8.630809844589749e-09
1998,9.059445638115449e-09
1999,6.8553016596695215e-09
2000,1.0603275590881367e-08
2001,1.4019877703219663e-08
2002,9.63868718173444e-09
2003,9.58392298855415e-09
2004,3.0833537945085254e-09
2005,9.457874483587148e-09
2006,1.317724773741702e-08
2007,1.3181781888249589e-08
2008,1.7881246705542253e-08
2009,1.5258216023994464e-08
2010,1.7005655550406118e-08
2011,2.7532598423363197e-08
2012,2.144679278615058e-08
2013,3.8489925913154366e-08
2014,3.269822101970021e-08
2015,4.4109849994811157e-08
2016,4.494807726018735e-08
2017,3.018733707449428e-08
2018,3.407535942301365e-08
2019,3.877501342230971e-08
