year,ignorant_VERB en_ADP
1800,1.2262241000371432e-07
1801,1.3096504858367553e-07
1802,1.9469209178168967e-07
1803,1.1897069529531734e-07
1804,1.2359254242255702e-07
1805,1.2792949632967066e-07
1806,8.068673462702236e-08
1807,1.7366426163789583e-07
1808,1.540930298915555e-07
1809,1.265057028021488e-07
1810,1.5210824244604737e-07
1811,1.178326058948187e-07
1812,5.601137331723294e-08
1813,1.1502966401621961e-07
1814,1.4160046646338742e-07
1815,1.0249449644561537e-07
1816,1.1356259221884102e-07
1817,8.718491395498518e-08
1818,9.894577068791932e-08
1819,6.003609342997152e-08
1820,1.198514629763281e-07
1821,1.6665914948088556e-07
1822,9.023054303725075e-08
1823,1.7887663583682212e-07
1824,9.600068207049617e-08
1825,1.0214314016820936e-07
1826,1.1802698773877296e-07
1827,1.0968555086421361e-07
1828,9.906085313149404e-08
1829,1.1830982815652646e-07
1830,5.4271546368056534e-08
1831,7.327866624606827e-08
1832,1.1635773633500435e-07
1833,1.0193593225071851e-07
1834,5.040646566811802e-08
1835,1.096647750387092e-07
1836,1.1022030177443298e-07
1837,1.1410941169742728e-07
1838,7.069621688060579e-08
1839,1.3074058013984313e-07
1840,9.745623968937522e-08
1841,8.539329554579922e-08
1842,8.586579269831418e-08
1843,1.0514301518327329e-07
1844,8.17795653973441e-08
1845,9.93280602767932e-08
1846,1.1533367505478509e-07
1847,9.653870236547846e-08
1848,1.25505458470343e-07
1849,5.362825450383468e-08
1850,8.146795238417326e-08
1851,9.029214553812892e-08
1852,8.984553012680863e-08
1853,7.763511344904828e-08
1854,9.3521959954046e-08
1855,1.1887539130839286e-07
1856,8.283502950234833e-08
1857,1.3082444022538553e-07
1858,9.787351684664714e-08
1859,1.3086885175539464e-07
1860,9.840945514039134e-08
1861,7.734180640373012e-08
1862,7.002879032214082e-08
1863,7.841554661158767e-08
1864,1.2274503813358706e-07
1865,9.649031174063794e-08
1866,8.904071480131392e-08
1867,7.618913855367282e-08
1868,9.08936854671083e-08
1869,1.1280929523849181e-07
1870,9.002456735629494e-08
1871,1.0302542108320267e-07
1872,1.0461896726710052e-07
1873,5.4472640398373073e-08
1874,8.483944746728866e-08
1875,7.895707687666231e-08
1876,5.501873290292281e-08
1877,8.349501534610226e-08
1878,6.642997307793053e-08
1879,1.0508039771650601e-07
1880,9.626769470472141e-08
1881,8.576184257202968e-08
1882,7.520584843767608e-08
1883,6.698499355195509e-08
1884,6.931781548757954e-08
1885,6.896830484492966e-08
1886,6.066255919812136e-08
1887,7.442974236937516e-08
1888,8.242798932300843e-08
1889,7.455512418541588e-08
1890,7.340913149578299e-08
1891,8.668939388556396e-08
1892,6.707308464193318e-08
1893,6.712674194275792e-08
1894,5.356308463433379e-08
1895,6.680662067992671e-08
1896,5.6021776551062885e-08
1897,5.710179351581246e-08
1898,4.1871825340322744e-08
1899,6.85419703216894e-08
1900,7.630848042339267e-08
1901,1.0562716257211946e-07
1902,3.780918406137701e-08
1903,5.400220270956879e-08
1904,5.589610108103216e-08
1905,6.554164233563142e-08
1906,6.790323681116206e-08
1907,7.457122686016504e-08
1908,5.942780800793912e-08
1909,6.05108185780523e-08
1910,5.451033757708501e-08
1911,7.288912540204251e-08
1912,3.959160110866833e-08
1913,5.090870036639217e-08
1914,7.36641796450499e-08
