year,devant_VERB avoir_VERB,devant_VERB savoir_VERB
1800,3.521464293498866e-07,9.432493897065797e-09
1801,3.405091035801888e-07,0.0
1802,2.842056971985585e-07,0.0
1803,3.588624224448722e-07,0.0
1804,3.287561867182376e-07,9.887403784603066e-09
1805,4.975036063115112e-07,0.0
1806,4.437770542153885e-07,0.0
1807,6.348710144266079e-07,5.693910232196231e-09
1808,5.030684064877278e-07,2.2660739951163578e-09
1809,4.992457434127573e-07,2.259030518203531e-09
1810,5.5695016953905e-07,1.6380887757350138e-08
1811,5.71613497868384e-07,0.0
1812,3.440698606027581e-07,0.0
1813,3.565919541870244e-07,5.751483289628823e-09
1814,3.7445457223839185e-07,6.922689976818219e-08
1815,4.2076686668224283e-07,2.697223555614414e-09
1816,3.1519414278591285e-07,2.3176038865813098e-09
1817,3.0981780696492933e-07,0.0
1818,4.4704415813612286e-07,2.1458118837358597e-08
1819,3.353740112288506e-07,0.0
1820,3.643009733877989e-07,4.746592452420373e-09
1821,4.3094703983115323e-07,4.930744257336528e-09
1822,3.2182225595533964e-07,7.017931125119503e-09
1823,3.893778739438858e-07,4.941343334508019e-09
1824,4.0758186514722183e-07,8.421112696055388e-09
1825,3.4341226751166687e-07,1.4969252504215547e-08
1826,6.024661161063705e-07,4.403992281964975e-09
1827,4.949675371790363e-07,1.566936447261469e-08
1828,4.7695965577077e-07,4.586150570418113e-09
1829,4.843844294555311e-07,6.858540846366168e-09
1830,4.800944566341059e-07,3.1310507520032616e-09
1831,5.394557547333534e-07,1.2472964883158966e-08
1832,4.924908694192709e-07,5.411987746839486e-09
1833,5.34005266672466e-07,5.791814139399776e-09
1834,6.142121264929301e-07,1.3068342852307069e-08
1835,4.583231429933221e-07,5.294161553592858e-09
1836,4.072774402175128e-07,4.032449929525228e-09
1837,4.056450393363775e-07,5.5663127440652715e-09
1838,4.1975877707045584e-07,6.943378316748294e-09
1839,4.6073822090875183e-07,1.3283802502428443e-08
1840,4.172146077507932e-07,3.821813088222825e-09
1841,4.898878387393779e-07,4.494383976094696e-09
1842,5.01778231409844e-07,1.9453969102301016e-08
1843,4.406555547120661e-07,4.134837805480629e-09
1844,4.906773938273545e-07,6.586273748609983e-09
