year,volant_VERB en_ADP
1800,6.288328791015374e-08
1801,2.1430642593855964e-08
1802,4.2518962573012686e-08
1803,2.7304748240197796e-08
1804,1.2359254508709228e-08
1805,3.1271654599152043e-08
1806,8.645007376628655e-09
1807,2.2775640928784924e-08
1808,9.064295980465431e-09
1809,6.7770917766551975e-09
1810,2.3401266702194334e-08
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,9.270415546325239e-09
1817,8.251428984529241e-08
1818,4.2916237230627985e-08
1819,3.2088255608186955e-08
1820,2.8479554714522237e-08
1821,1.97229765852569e-09
1822,2.3058916553964082e-08
1823,1.581229902569703e-08
1824,2.189489300974401e-08
1825,3.610231757988913e-08
1826,1.2331177745572575e-08
1827,3.410390991831491e-08
1828,1.834460228167245e-08
1829,4.286587973467704e-09
1830,1.2524203008013046e-08
1831,4.677361609140007e-09
1832,2.841293600397421e-08
1833,2.7800708068959068e-08
1834,2.98704991852361e-08
1835,1.2100940693926532e-08
1836,2.688299982622766e-08
1837,1.2524203896191466e-08
1838,2.398621568033832e-08
1839,2.7965899818127582e-08
1840,1.0828470564661075e-08
1841,2.1829865470834875e-08
1842,1.9453968214122597e-08
1843,1.7720733547221812e-08
1844,1.3721403568922597e-08
1845,2.0088820607000457e-08
1846,3.4541559612577544e-08
1847,1.4561703842730367e-08
1848,4.02261068899179e-09
1849,1.8434713311421547e-08
1850,4.0055077477063605e-08
1851,1.6768540334055615e-08
1852,3.190167419120371e-08
1853,2.9859659633757474e-08
1854,1.8184825922862302e-08
1855,3.237231638308913e-08
1856,2.588594649743925e-08
1857,2.880090299584026e-08
1858,3.81706745655741e-08
1859,2.8516170758052795e-08
1860,2.6089947979812678e-08
1861,1.9807047113573617e-08
1862,2.6656119145318513e-08
1863,3.745965782009364e-08
1864,1.6781548595190543e-08
1865,2.588764314026548e-08
1866,3.113992264047738e-08
1867,1.94112459439566e-08
1868,1.877152122631287e-08
1869,1.9045723886890187e-08
1870,1.3761717099214366e-08
1871,2.0180236148803488e-08
1872,2.53988243770209e-08
1873,1.9155215191801744e-08
1874,2.8080663128093875e-08
1875,2.460256709468922e-08
1876,2.1765654167893445e-08
1877,1.793596560162314e-08
