year,souriant_VERB en_ADP
1800,1.8864986461863964e-08
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,7.801356893821776e-09
1804,2.4718509461507665e-09
1805,3.127165504324125e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,6.22749374290521e-09
1818,2.384235475716423e-09
1819,7.245734900962475e-09
1820,0.0
1821,9.86148829262845e-10
1822,1.804610860745015e-08
1823,2.075364324838347e-08
1824,3.3684450784221553e-09
1825,1.0566531649658373e-08
1826,7.927186018719112e-09
1827,1.843454577876713e-08
1828,9.172301418391982e-09
1829,2.1432940755516938e-08
1830,1.7742621594152297e-08
1831,2.0268568157177924e-08
1832,1.2176972319366541e-08
1833,1.621708034527103e-08
1834,1.3068343740485489e-08
1835,2.2689263801112247e-08
1836,1.3441500523736494e-08
1837,2.0177884252348122e-08
1838,1.51491887923072e-08
1839,2.0974425751774106e-08
1840,1.8472096352528666e-08
1841,1.6051371343195342e-08
1842,1.8112316535479067e-08
1843,1.4767278067040479e-08
1844,1.0428266250528395e-08
1845,2.120486702894553e-08
1846,1.5807152919933287e-08
1847,1.6179671824545494e-08
1848,9.654266108771736e-09
1849,2.178647862116634e-08
1850,4.752297222410107e-09
1851,3.8696632564949596e-09
1852,2.408901877970493e-08
1853,2.0304568471019024e-08
1854,1.7665259477439577e-08
1855,1.6451505047143655e-08
1856,2.1744194333983557e-08
1857,1.8549735136819123e-08
1858,2.0553439394888073e-08
1859,1.8331824502837435e-08
1860,1.5562426014525954e-08
1861,1.084671669149273e-08
1862,8.58417428806213e-09
1863,1.5982786927271064e-08
1864,1.726102105692462e-08
1865,1.1296426905005319e-08
1866,1.265059373922739e-08
1867,2.038180824115443e-08
1868,2.8157282727647726e-08
1869,2.0510780629479086e-08
1870,9.17447806614291e-09
1871,6.37270636261178e-09
1872,1.5118347462816928e-08
1873,2.095101514498765e-08
1874,1.792382703369455e-08
1875,2.40304138254821e-08
1876,1.3301232115736639e-08
1877,9.277223989023753e-09
1878,9.058632954861423e-09
1879,1.710611108318716e-08
1880,1.6044615636090498e-08
1881,1.6734017338482232e-08
1882,1.0648616211028639e-08
1883,1.3270612164717477e-08
1884,2.1125430293977843e-08
1885,1.4180398411056672e-08
1886,3.872078380151578e-09
1887,1.8280989055874386e-08
1888,8.876860135842435e-09
1889,9.397704836544563e-09
1890,1.1797895382859025e-08
1891,1.0198752065093686e-08
1892,2.3193496456741514e-08
1893,2.0938616229759788e-08
1894,9.452309157609307e-09
1895,1.805584326497467e-08
1896,1.2973464080801023e-08
1897,2.2724182424660455e-08
1898,6.790025985914383e-09
1899,1.2160672469008205e-08
1900,1.0382106396811253e-08
1901,1.5648469187112823e-08
1902,6.874397495693074e-09
1903,1.5120616536634657e-08
1904,3.7622376325430196e-09
1905,1.8062657147766004e-08
1906,2.829301504192472e-08
1907,1.5428530231176296e-08
1908,7.367083609821634e-09
1909,1.5402754627302784e-08
1910,1.2291546447329438e-08
1911,1.9685384544665396e-08
1912,9.89790061023399e-09
1913,9.015082735874813e-09
1914,5.357394972094198e-09
1915,2.3561523843085297e-09
1916,5.493730803607377e-09
1917,1.2063067211798284e-08
1918,1.1486376294556067e-09
1919,1.2890987832747669e-08
1920,1.817335615328375e-08
1921,1.9689142760626055e-08
1922,1.0329110011753073e-08
1923,1.0615948120573648e-08
1924,9.024136882196387e-09
1925,2.7495444365754906e-08
1926,2.5636119005412183e-08
1927,3.6792440538668814e-08
1928,1.3711249802206282e-08
1929,1.1140406375176326e-08
1930,8.402882945013346e-09
1931,1.4826963656844327e-08
1932,6.575722188983946e-09
1933,5.735331320977366e-09
1934,9.585264137967897e-09
1935,1.196828414151696e-08
1936,2.0612015205756506e-08
1937,2.0145789036973838e-08
1938,1.0372171899142302e-08
1939,9.176430282309411e-09
1940,1.2678914806940611e-08
1941,1.1806010391524069e-08
1942,2.123948195098535e-08
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,1.5249527862692958e-08
1946,2.9234318965620787e-08
1947,1.1920871401116528e-08
