year,laissant_VERB en_ADP
1800,2.7668647550882497e-07
1801,2.9526663070100767e-07
1802,4.520437073551875e-07
1803,1.8333189188979304e-07
1804,2.0021992952479195e-07
1805,2.50173229687789e-07
1806,2.4494187300660997e-07
1807,3.1601200589648215e-07
1808,2.4246992147425317e-07
1809,5.037638040050751e-07
1810,2.878355882529604e-07
1811,4.562879780678486e-07
1812,2.3204711041557857e-07
1813,3.5084047489419845e-07
1814,5.443751547318243e-07
1815,4.6122523356117995e-07
1816,3.5691098787538067e-07
1817,3.4406903637318464e-07
1818,4.4942838783867955e-07
1819,3.933398966537993e-07
1820,2.978486808302705e-07
1821,5.206865738571764e-07
1822,4.6819626220440114e-07
1823,6.789405873064425e-07
1824,6.391624669532803e-07
1825,4.913437123832409e-07
1826,5.742805946340468e-07
1827,4.931240933370162e-07
1828,4.329326319663096e-07
1829,3.086343321467844e-07
1830,4.3625973944472207e-07
1831,3.289744388013105e-07
1832,4.708429344191245e-07
1833,4.4017787459438296e-07
1834,3.95784114815001e-07
1835,4.507600408487633e-07
1836,6.028513066524965e-07
1837,5.392365327594462e-07
1838,5.068665815954887e-07
1839,5.173691759452481e-07
1840,4.777266511268863e-07
1841,6.099521208113856e-07
1842,4.796409500684717e-07
1843,4.11121001464565e-07
1844,5.186690410496908e-07
1845,3.710851483873512e-07
1846,4.039605796535284e-07
1847,4.141995662010345e-07
1848,4.4490074913028366e-07
1849,3.4188011954761066e-07
1850,5.254683053124154e-07
1851,5.862540115586512e-07
1852,4.10164354036624e-07
1853,4.62227537578741e-07
1854,5.356729930738879e-07
1855,4.707253111746468e-07
1856,4.5714580210187705e-07
1857,5.052361786717086e-07
1858,4.1645183479488423e-07
1859,5.168556000967328e-07
1860,5.739788626613063e-07
1861,5.215855995999163e-07
1862,4.992374660339749e-07
1863,5.014599588903934e-07
1864,4.895417395900381e-07
1865,4.622121076991448e-07
1866,5.318114961738729e-07
1867,4.6198764636073975e-07
1868,4.445886592208126e-07
1869,4.697945295006889e-07
1870,4.6732497871460055e-07
1871,8.507562876403085e-07
1872,4.976959964153593e-07
1873,5.638816453767959e-07
1874,5.29350396405448e-07
1875,4.863298199708765e-07
1876,4.740075532083665e-07
1877,4.941668034774693e-07
1878,4.831271009919647e-07
1879,3.934405441441413e-07
1880,4.511745874680173e-07
1881,4.901672694401782e-07
1882,5.75690834558884e-07
1883,4.726865467929997e-07
1884,4.35051838110212e-07
1885,4.6988683388704544e-07
1886,4.556145500878017e-07
1887,4.6224786220960823e-07
1888,5.078832394644905e-07
1889,5.456934317749074e-07
1890,4.266905619942918e-07
1891,5.379841550023912e-07
1892,4.920781977446609e-07
1893,4.7419806081805405e-07
1894,5.028628518033429e-07
1895,5.200083066370098e-07
1896,5.672941636447604e-07
1897,5.9374212746377e-07
1898,4.996327400696998e-07
1899,4.311511201393614e-07
1900,5.237772864319368e-07
1901,5.21988193113998e-07
1902,5.106695319945231e-07
1903,5.09780820223682e-07
1904,4.4609388005767414e-07
1905,4.587914759213163e-07
1906,4.830389208621e-07
1907,4.1091317726227317e-07
1908,5.063642234404142e-07
1909,4.444794603486457e-07
1910,4.980748391503198e-07
1911,4.623405018833182e-07
1912,4.469683325680762e-07
1913,4.051484103761993e-07
1914,4.935499990921244e-07
1915,4.22929344878753e-07
1916,4.416959811237575e-07
1917,4.3427041251931087e-07
1918,4.0661772082728476e-07
1919,4.935406803241449e-07
1920,4.1874440270817104e-07
1921,4.7556854898545e-07
1922,4.721878674729396e-07
1923,4.649785285693042e-07
1924,4.035078502440115e-07
1925,4.630232979252469e-07
1926,4.380432558903635e-07
1927,5.295882097300364e-07
1928,6.238618794895956e-07
1929,3.9659845896267143e-07
1930,3.592232502569459e-07
1931,4.562142592590135e-07
1932,4.09886676155935e-07
1933,3.8426717363648777e-07
1934,3.858068868822784e-07
1935,4.320550486269781e-07
1936,4.4618949690544696e-07
1937,3.4751486754913685e-07
1938,4.2785207909901146e-07
1939,4.312922090576876e-07
1940,3.2458020937653487e-07
1941,3.21713779172228e-07
1942,3.7927646712176966e-07
1943,4.848402728185874e-07
1944,4.016482613167227e-07
1945,3.943092306002427e-07
1946,3.8561459447805646e-07
1947,4.0173335991156023e-07
1948,4.04434233658435e-07
1949,4.3194835486204397e-07
1950,4.1265203165608e-07
1951,4.019348329720174e-07
1952,3.8910327848640236e-07
1953,4.029411471151434e-07
1954,3.674473560977276e-07
1955,3.219263469134148e-07
1956,3.418687564149536e-07
1957,3.4279946847792786e-07
1958,3.1682693268919593e-07
1959,3.456833539416948e-07
1960,3.495020766131063e-07
1961,3.1961531865576376e-07
1962,3.4056306219554244e-07
1963,3.0131806827427e-07
1964,3.0054804778245625e-07
1965,3.135480852733963e-07
1966,3.1960462010260926e-07
1967,3.1307630532495523e-07
1968,3.355087567769033e-07
1969,3.170146953834774e-07
1970,2.9753750352412567e-07
1971,2.707935546908402e-07
1972,2.990875742625576e-07
1973,2.5801793901436554e-07
1974,2.8352881775717265e-07
1975,2.598723618518761e-07
1976,2.742492823948339e-07
1977,2.3272056814960251e-07
1978,2.631681859099899e-07
1979,2.487088808234006e-07
1980,3.3712944969011005e-07
1981,2.606126541238041e-07
1982,3.2030713192909843e-07
1983,2.488234605024786e-07
1984,2.7023380422264154e-07
1985,2.749109917488113e-07
1986,2.799424594357447e-07
1987,2.493213364651581e-07
1988,2.548535453783529e-07
1989,2.486119452527191e-07
1990,2.735222679461913e-07
1991,2.684550954867859e-07
1992,2.7164024629655614e-07
1993,2.9080839825113003e-07
1994,2.437016202172515e-07
1995,2.6895355187406267e-07
1996,2.733103237062551e-07
1997,2.8625520975822383e-07
1998,2.7035293781452197e-07
1999,2.6872782421527575e-07
2000,2.7833599558491073e-07
2001,2.773307183900897e-07
2002,2.808362871142833e-07
2003,2.800172138606172e-07
2004,2.9512102317497124e-07
2005,2.8328585477410684e-07
2006,2.861933472431133e-07
2007,2.8720307554408464e-07
2008,3.1930798449764097e-07
2009,3.170847993061443e-07
2010,3.443645026912634e-07
2011,3.2694961449308835e-07
2012,3.6187207230753415e-07
2013,3.653753788412928e-07
2014,3.82201085891154e-07
2015,3.6351835230874485e-07
2016,4.1302520248365227e-07
2017,3.609902305967694e-07
2018,4.099369093069072e-07
2019,3.877501413285245e-07
