year,quand_ADV ont_VERB,quand_ADV sont_VERB
1800,3.144164484325529e-09,2.515331631869344e-08
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,1.5664880947952042e-08,2.6854081625060644e-08
1803,1.950339223455444e-09,4.095712391460893e-08
1804,2.4718509905596875e-08,2.397695393341337e-07
1805,1.9900143755080535e-08,1.8194417350514414e-07
1806,5.76333825108577e-09,1.8154515579738018e-07
1807,1.1387820908481672e-08,2.93236389836693e-07
1808,2.2660739951163578e-09,2.152770299801432e-07
1809,2.0331274441787173e-08,8.358412983966446e-08
1810,0.0,2.410330566249286e-07
1811,0.0,6.518399242594342e-08
1812,1.0668832928217853e-08,2.400487364440096e-08
1813,2.0130190847567064e-08,2.5881674803329702e-08
1814,0.0,5.97868634599763e-08
1815,0.0,5.394447111228828e-09
1816,1.1588019432906549e-08,3.476405652236281e-08
1817,3.113746815941454e-09,2.6466847380390846e-08
1818,1.4305412632253933e-08,2.5034473161156257e-08
1819,1.4491469912947252e-08,5.175525075173937e-08
1820,3.5599443393152796e-09,7.475883023744245e-08
1821,5.9168927535324656e-09,4.43766960955827e-08
1822,2.4061478143266868e-08,1.604098542884458e-08
1823,6.917880934764753e-09,4.5460360809101985e-08
1824,5.894778887238772e-09,4.6316121604661475e-08
1825,1.8491430608946757e-08,5.2832659136470284e-08
1826,1.6735169694470642e-08,4.051672686244956e-08
1827,1.8434546944501307e-08,4.7008093417844066e-08
1828,1.4675682002973645e-08,1.7427372434042354e-08
1829,3.429270423183084e-09,3.6864656216550884e-08
1830,4.174734336004349e-09,2.2961039292113128e-08
1831,3.1182412207897414e-09,2.6505050598757407e-08
1832,2.705993873419743e-09,2.705993873419743e-08
1833,3.475088550253247e-09,1.9692168340412763e-08
1834,1.8669062740173104e-08,5.3206827388407874e-08
1835,1.5882484660778573e-08,5.899208588289184e-08
1836,6.720749901045764e-09,4.8389400930659576e-08
1837,8.349469116097907e-09,1.1132625488130543e-08
1838,1.2624323808552163e-08,2.209256688701089e-08
1839,4.194884994923598e-09,1.67795404237836e-08
1840,1.4013315396965709e-08,2.4204816817530173e-08
1841,6.420548537278137e-09,3.980740093112445e-08
1842,6.708265054555795e-10,3.219967226186782e-08
1843,5.906910960362666e-09,5.0208742052859634e-08
1844,4.390849128732555e-09,3.1833655711466236e-08
1845,7.812319069433471e-09,3.348136701220028e-08
1846,1.1123552745573306e-08,2.4003455223464698e-08
1847,5.3932236454556914e-09,2.9662730050006303e-08
1848,4.82713291560799e-09,2.252662145707518e-08
1849,4.1897072478036534e-09,2.4300303991253713e-08
1850,6.788996032014438e-10,2.104588769924476e-08
1851,1.9348316282474798e-09,2.4507866847045534e-08
1852,1.4323200403509873e-08,3.3854836267721566e-08
1853,4.777545470346922e-09,2.448492075757258e-08
1854,1.558699391779328e-09,2.338048954442229e-08
1855,8.491099379170919e-09,3.078023524949458e-08
1856,3.1063134287023786e-09,4.97010166355949e-08
1857,2.4407544874094356e-09,3.3194261561675376e-08
1858,1.468102750479261e-09,2.0064072181469328e-08
1859,9.165912473463322e-09,6.008764508180775e-08
1860,1.4646988510946812e-08,2.3572496843371482e-07
1861,2.8295783494058924e-09,5.847794781743687e-08
1862,6.325180823552046e-09,2.2589931703009825e-08
1863,4.495158800743582e-09,5.244351974909023e-08
1864,3.835782358407869e-09,4.4590971803870616e-08
1865,1.6003271596787272e-08,3.247722535348885e-08
1866,1.216403244796993e-08,3.162648276600066e-08
1867,2.91168689159349e-09,3.3484399253325137e-08
1868,9.87974813071446e-10,3.3591144088518377e-08
1869,5.860222973552709e-09,2.246418784324078e-08
1870,1.1468097582678638e-09,3.383088831299119e-08
1871,0.0,3.611200227737754e-08
1872,1.69325495846806e-08,3.93077046467738e-08
1873,5.986004303348835e-09,4.0106229448610975e-08
1874,4.779687312606029e-09,4.779687223788187e-08
1875,1.1443053948845261e-08,2.5174720086340585e-08
1876,3.627608879952504e-09,2.0556450541775462e-08
1877,8.658742167710898e-09,4.205674919433022e-08
1878,2.4156354139215352e-09,3.865016884319061e-08
1879,7.331190321480108e-09,4.948553478101303e-08
1880,0.0,3.5939939024842715e-08
1881,1.394501542018034e-08,4.392679642251096e-08
1882,1.1979693681496428e-08,1.6638462163598433e-08
1883,2.5277355764075082e-09,3.2860562271253e-08
1884,1.9805090900604227e-09,4.621188054443337e-08
1885,5.8010721781798225e-09,3.9962940512339173e-08
1886,6.453463929911862e-09,3.743009102663564e-08
1887,5.223139754040318e-09,5.223139520893483e-08
1888,1.268122939990235e-09,4.057993407968752e-08
1889,8.771191550849267e-09,3.3205225236088154e-08
1890,6.5543866445416654e-09,3.342737109335303e-08
1891,3.824532135432435e-09,3.1871099537283953e-08
1892,6.8953633913793055e-09,3.322311670217459e-08
1893,6.158416498980301e-09,5.727327412330396e-08
1894,6.301539290376468e-10,4.285046717455998e-08
1895,1.2037228547256973e-08,3.2500517832545484e-08
1896,5.897029087265082e-09,2.8305739974143762e-08
1897,3.496028022631492e-09,4.5448365071365515e-08
1898,5.09251940616906e-09,1.4145887128336199e-08
1899,1.6582735185011188e-09,5.030096339453394e-08
1900,3.114631885736685e-09,3.010810711856493e-08
1901,6.706486588292648e-09,4.191554170418499e-08
1902,4.910283957215711e-09,2.553347533407191e-08
1903,4.860198465905796e-09,4.5361851164216205e-08
1904,1.6123875568041512e-09,4.08471514390385e-08
1905,6.708986810544104e-09,6.605771574186292e-08
1906,1.18316245689698e-08,3.395161840558103e-08
1907,2.5714217422034835e-09,3.599990350267035e-08
1908,8.349361202419914e-09,2.89771957540097e-08
1909,1.1552065526387878e-08,3.850688479190012e-08
1910,3.7409054742809644e-09,4.382203577790733e-08
1911,3.1922244847493175e-09,3.085817024128801e-08
1912,4.688479049441696e-09,4.011254439717504e-08
1913,6.36358749028787e-09,4.666630903926716e-08
1914,6.69674382614005e-09,6.094036741899345e-08
1915,2.3561523843085297e-09,6.125996065975414e-08
1916,6.592477230782379e-09,3.735737053034427e-08
1917,0.0,5.3735478289240746e-08
1918,1.4932289182922887e-08,8.729645628591243e-08
1919,7.366278809151083e-09,7.734592699648601e-08
1920,1.0601124422748853e-08,6.209229930220772e-08
1921,8.330022005509363e-09,4.392193542201994e-08
1922,7.377935595798135e-09,4.574320122685549e-08
1923,6.369568872344189e-09,5.6264525483129546e-08
1924,1.5469949543600592e-08,5.414482284749056e-08
