year,serait_VERB en_ADP,serait_VERB sans_ADP
1800,1.7607320614843047e-06,1.2545216350190458e-06
1801,1.8096988014804083e-06,1.1786853519879514e-06
1802,2.1975590698275482e-06,1.1144443305965979e-06
1803,1.5875760936978622e-06,1.2443164223441272e-06
1804,2.9093685043335427e-06,1.6610838429187424e-06
1805,1.7000409116008086e-06,1.1968514854743262e-06
1806,1.9508900095388526e-06,1.1353776017131167e-06
1807,3.154426167384372e-06,1.2583541320054792e-06
1808,2.4224329990829574e-06,1.502407030784525e-06
1809,2.2748438368580537e-06,1.3509002201317344e-06
1810,2.461813437548699e-06,1.4649193644800107e-06
1811,2.5296403691754676e-06,1.3086940953144222e-06
1812,2.8245735848031472e-06,2.4138234948622994e-06
1813,3.3732449082890525e-06,2.565161594247911e-06
1814,2.5267818273277953e-06,2.0453401248232694e-06
1815,2.7754431357607245e-06,2.3843456347094616e-06
1816,2.8437000310077565e-06,1.5991466852938174e-06
1817,2.6357865863246843e-06,1.7670513443590607e-06
1818,2.3162847355706617e-06,1.9503045223245863e-06
1819,3.126017190879793e-06,1.8901017710959422e-06
1820,3.183776925652637e-06,2.132406734745018e-06
1821,3.295709348094533e-06,1.8273337900609476e-06
1822,3.537037173373392e-06,2.3279480956261978e-06
1823,3.1407178084918996e-06,1.919217766044312e-06
1824,3.079600901401136e-06,1.9267506559117464e-06
1825,3.2870718769117957e-06,2.05166816158453e-06
1826,3.61127354153723e-06,2.076041937471018e-06
1827,4.133025413466385e-06,2.6674788387026638e-06
1828,3.945924163417658e-06,2.7718695037037833e-06
1829,4.537781933322549e-06,2.772565039776964e-06
1830,4.062016614625463e-06,2.897265630963375e-06
1831,3.698234195326222e-06,2.634913926158333e-06
1832,4.000812168669654e-06,2.754701654339442e-06
1833,4.07975403504679e-06,2.5715655738167698e-06
1834,3.970909347117413e-06,2.4820517410262255e-06
1835,3.758854745683493e-06,2.291615601279773e-06
1836,3.7649642763426527e-06,2.197013145632809e-06
1837,4.036968221043935e-06,2.2536607957590604e-06
1838,4.005697974207578e-06,2.360117377975257e-06
1839,3.846010713459691e-06,2.4519104044884443e-06
1840,4.1721459638210945e-06,2.2637873371422756e-06
1841,4.6831482904963195e-06,2.619583710838924e-06
1842,4.722618541563861e-06,2.6464106213097693e-06
1843,4.475666628422914e-06,2.5677343273855513e-06
1844,4.583497684507165e-06,2.4972953269752907e-06
1845,4.41563452113769e-06,2.564672740845708e-06
1846,4.643790362024447e-06,2.4343016775674187e-06
1847,4.6333184400282335e-06,2.604926976346178e-06
1848,4.436135441210354e-06,2.3580544166179607e-06
1849,4.762859589391155e-06,2.676385065569775e-06
1850,4.49295748694567e-06,2.2817814624431776e-06
1851,4.210193765175063e-06,2.212157596659381e-06
1852,3.936926987080369e-06,2.355515334784286e-06
1853,3.841743819066323e-06,2.30636010201124e-06
1854,3.855182967527071e-06,2.283494495713967e-06
1855,3.861327513732249e-06,2.1763748918601777e-06
1856,3.91964977097814e-06,2.1386968001024798e-06
1857,3.819292487605708e-06,2.255745357615524e-06
1858,3.7911308936600108e-06,2.0925358512613457e-06
1859,4.045731657242868e-06,2.267544687128975e-06
1860,4.083305611857213e-06,2.1618038772430737e-06
1861,4.1939065340557136e-06,2.0542738639051095e-06
1862,4.128084128751652e-06,1.9766189325309824e-06
1863,3.896803264069604e-06,1.909443653858034e-06
1864,3.916333753295476e-06,2.052143599939882e-06
1865,3.88926537198131e-06,2.0672459868364967e-06
1866,3.7961513044137973e-06,2.0659392703237245e-06
1867,3.852646841551177e-06,2.0891352505714167e-06
1868,3.959803052566713e-06,2.0090467387490207e-06
1869,4.1207135836884845e-06,2.493036618034239e-06
1870,4.188149432593491e-06,2.0963682345609413e-06
1871,4.423720383783802e-06,2.233633495052345e-06
1872,4.155731403443497e-06,2.1764374196209246e-06
1873,4.202175205136882e-06,2.1759126411780016e-06
1874,4.004183210781775e-06,2.074384383377037e-06
1875,4.0588515730632935e-06,2.1793296127725625e-06
1876,3.866426595777739e-06,2.1523812847590307e-06
1877,3.739958174264757e-06,1.963679096661508e-06
1878,3.994857252109796e-06,1.7851546090241754e-06
1879,3.873923105857102e-06,2.0014149413327686e-06
1880,3.891781943821115e-06,2.1679484234482516e-06
1881,3.8007137845852412e-06,1.9767057892750017e-06
