year,craignant_VERB en_ADP,craignant_VERB sans_ADP
1800,4.7162467708972144e-08,1.3834323553396644e-07
1801,4.7623651688866175e-09,1.0000966632617292e-07
1802,4.699464284385613e-08,1.5217312920867698e-07
1803,3.900678446910888e-09,1.1507001573818343e-07
1804,9.887403784603066e-09,9.14584823430431e-08
1805,5.685755422035754e-09,1.02343598484822e-07
1806,5.76333825108577e-09,1.556101283384237e-07
1807,5.693910232196231e-09,1.537355744929414e-07
1808,3.852325791697808e-08,1.608912580941535e-07
1809,2.4849335922283444e-08,1.51355046718038e-07
1810,2.574139390532082e-08,1.2402671245581587e-07
1811,0.0,1.27860910303923e-07
1812,2.9339290108509886e-08,4.800974728880192e-08
1813,8.627225156487839e-09,1.4666282233122274e-07
1814,9.440030979135372e-09,8.496028414128887e-08
1815,5.394447111228828e-09,9.170560089089008e-08
1816,9.270415546325239e-09,9.965696889935316e-08
1817,4.826307709038247e-08,1.058673948506339e-07
1818,3.5763532135746345e-09,1.9193095113223535e-07
1819,1.7596785362172795e-08,1.2524771020316905e-07
1820,3.9159388620646496e-08,1.8393045664311103e-07
1821,3.8459806006585495e-08,1.2721320130637537e-07
1822,1.604098542884458e-08,1.1529458276982041e-07
1823,4.15072847204101e-08,1.719587476856077e-07
1824,4.968456313036995e-08,1.583169186858413e-07
1825,7.9248987816527e-08,8.189062006280778e-08
1826,3.787433300317389e-08,1.3652375741024514e-07
1827,2.5808364778612258e-08,9.309445780925074e-08
1828,3.6689203342099574e-08,1.3758451200551747e-07
1829,4.458051672262542e-08,1.4660130887023115e-07
1830,2.400472176589119e-08,1.2315466069168224e-07
1831,1.2472964883158966e-08,1.2784789227282545e-07
1832,5.0060886991332154e-08,1.0959275087429887e-07
1833,2.89590715851773e-08,1.3437009194205984e-07
1834,1.4001796166951408e-08,2.0162586622518575e-07
1835,3.025235173481633e-08,1.2630356849285818e-07
1836,3.629205203026231e-08,1.5188895652329393e-07
1837,3.2006298833486824e-08,1.4472413223387548e-07
1838,1.2624324030596767e-08,1.325553995457085e-07
1839,2.307186797168015e-08,1.3703291124045336e-07
1840,1.9109066329292546e-08,1.2866770848773967e-07
1841,3.467096298948036e-08,1.3354740424631473e-07
1842,2.95163662400455e-08,1.361777783870366e-07
1843,3.6622847421341476e-08,1.3940309706583776e-07
1844,2.6893951121653714e-08,1.6794997570457326e-07
1845,3.459741454436838e-08,1.3615755456442002e-07
1846,2.7516156908546918e-08,1.656823815920916e-07
1847,3.182001950818858e-08,1.3752720828819065e-07
