year,devait_VERB avoir_VERB,devait_VERB savoir_VERB
1800,2.5058991468540626e-06,6.917161954334006e-08
1801,1.9859062376781367e-06,5.476719877606229e-08
1802,1.7119476751759066e-06,1.1860552717735118e-07
1803,2.090763700834941e-06,6.631153581793114e-08
1804,3.448232064329204e-06,8.898663139689234e-08
1805,2.376645852564252e-06,1.6204403152642044e-07
1806,2.244820279884152e-06,8.35684019762084e-08
1807,4.014206751890015e-06,2.1921555060089304e-07
1808,2.9187033305788646e-06,1.6089124699192325e-07
1809,3.4450215480319457e-06,9.487928309681593e-08
1810,3.4563672670628875e-06,2.0593115834799391e-07
1811,4.206875019008294e-06,2.4820059252306237e-07
1812,3.5180476061213994e-06,1.5469807124190993e-07
1813,4.172701210336527e-06,2.8182267897136626e-07
1814,3.763425866054604e-06,2.2656075771010364e-07
1815,4.169907697360031e-06,1.1598061178119679e-07
1816,3.8078230772953248e-06,1.321034233114915e-07
1817,4.060325863974867e-06,3.409552675748273e-07
1818,4.595613972924184e-06,3.123348335520859e-07
1819,3.957206445193151e-06,4.1300688735645963e-07
1820,4.478410119190812e-06,2.1122336590906343e-07
1821,4.733514288091101e-06,3.1359533636532433e-07
1822,5.277483978716191e-06,2.3359685030754918e-07
1823,4.857340627495432e-06,2.5596159503038507e-07
1824,4.727612576971296e-06,2.484228218690987e-07
1825,4.847396212426247e-06,2.4126913444888487e-07
1826,5.206399691815022e-06,2.589547420939198e-07
1827,5.793977834400721e-06,4.47959479288329e-07
1828,5.2722389227710664e-06,3.1094100449990947e-07
1829,6.2644198806083295e-06,4.5180638608144363e-07
1830,6.255839252844453e-06,2.9223139108580654e-07
1831,5.508373305929126e-06,2.977920416924462e-07
1832,6.429441327782115e-06,2.624813930651726e-07
1833,5.9018589126935694e-06,2.6526510055191466e-07
1834,5.729535132559249e-06,2.5669959313745494e-07
1835,5.913578661420615e-06,2.4882558591343695e-07
1836,5.53588188267895e-06,2.7891113063560624e-07
1837,5.626846359518822e-06,2.9988510164002946e-07
1838,5.809082722407766e-06,2.6889810555985605e-07
1839,5.870042514288798e-06,2.803581651278364e-07
1840,6.658872734988108e-06,2.981014404213056e-07
1841,6.546391432493692e-06,2.600322090984264e-07
1842,6.885363291075919e-06,2.4351001570721564e-07
1843,6.396003300324082e-06,2.4277403554151533e-07
1844,7.304177415790036e-06,2.8430747534002876e-07
1845,6.9401294240378775e-06,2.711990703119227e-07
1846,6.615586698899278e-06,2.3827820427868573e-07
1847,6.6795073507819325e-06,2.53481516665488e-07
