year,furent_VERB en_PRON,furent_VERB sans_ADP
1800,1.6349655140857067e-07,6.445537223953579e-07
1801,1.4287095950749062e-07,6.333945634651172e-07
1802,2.1259481286506343e-07,8.436657026322791e-07
1803,1.7553053055507917e-07,6.416615860871389e-07
1804,7.909923027682453e-08,5.092012997920392e-07
1805,1.7341554325867037e-07,8.358060199498141e-07
1806,2.3341519295172475e-07,8.990807600639528e-07
1807,1.537355700520493e-07,6.234831744222902e-07
1808,1.3369836437959748e-07,8.950992196332663e-07
1809,1.7394535234416253e-07,8.900580041881767e-07
1810,9.126494404654295e-08,7.488405344702187e-07
1811,2.1560860830049933e-07,9.57703377935104e-07
1812,9.868670503010435e-08,6.241266987672134e-07
1813,1.8117172828624462e-07,8.253378496192454e-07
1814,2.7690759907272877e-07,9.912032510328572e-07
1815,1.0519171667056071e-07,1.3620979188999627e-06
1816,1.1356259221884102e-07,9.84981625151704e-07
1817,2.1017791596023017e-07,7.971191848810122e-07
1818,2.0504424469436344e-07,1.1480093462523655e-06
1819,1.8631889986409078e-07,7.701181061747775e-07
1820,3.263282337684359e-07,8.982926260614477e-07
1821,1.85395975904612e-07,8.431572382505692e-07
1822,1.6542266223495972e-07,7.388878771052987e-07
1823,2.174191138237802e-07,8.370635669052717e-07
1824,3.0147583629513974e-07,9.120064987655496e-07
1825,4.966269671058399e-07,8.277116307908727e-07
1826,3.5320016422701883e-07,8.658248589199502e-07
1827,2.1844937236892292e-07,8.470673833471665e-07
1828,2.1004569816795993e-07,7.411219371533662e-07
1829,2.280464883597233e-07,9.276176342609688e-07
1830,1.3672254794983019e-07,8.787815772848262e-07
1831,1.886535869743966e-07,7.468187845915963e-07
1832,1.3800568865462992e-07,6.737924991284672e-07
1833,1.7259606011066353e-07,8.583468797951355e-07
1834,2.735017687882646e-07,8.298397915496025e-07
1835,3.5622144878288964e-07,8.281581358460244e-07
1836,2.4665152409397706e-07,8.568956104682002e-07
1837,2.5952934379347425e-07,7.952869509608718e-07
1838,3.118207985153276e-07,9.594485845809686e-07
1839,2.391084592545667e-07,8.837224640956265e-07
1840,2.4332211978617124e-07,9.000369800560293e-07
1841,2.41412635659799e-07,7.935797725622251e-07
1842,2.5826821570262837e-07,7.73462943470804e-07
