year,traversant_VERB en_ADP
1800,1.1633408547595536e-07
1801,8.810375362600098e-08
1802,4.0281122437590966e-08
1803,1.3652374342143503e-08
1804,2.2246657849223084e-08
1805,5.1171799242411e-08
1806,7.204172902675055e-08
1807,3.4163463169534225e-08
1808,2.039466551195801e-08
1809,3.162642769893864e-08
1810,3.510190182964834e-08
1811,2.2563691359778204e-08
1812,2.1337665856435706e-08
1813,2.300593315851529e-08
1814,2.2026739543434815e-08
1815,2.6972236000233352e-08
1816,4.6352077731626196e-09
1817,2.1796228488746294e-08
1818,5.364529886975333e-08
1819,3.8298885840504227e-08
1820,4.6279275522920216e-08
1821,4.043210211079895e-08
1822,4.110502516141423e-08
1823,4.150728649676694e-08
1824,4.0421340941065864e-08
1825,3.258013947515792e-08
1826,6.605988289720699e-08
1827,8.20337291429496e-08
1828,4.035812395386529e-08
1829,3.686465693819585e-08
1830,5.3227864116323076e-08
1831,6.080570358335535e-08
1832,8.659180394943178e-08
1833,6.02348677603004e-08
1834,7.841006155473451e-08
1835,4.0084366048631637e-08
1836,4.838939915430274e-08
1837,6.470838798122713e-08
1838,3.787297231383491e-08
1839,3.5656523067473245e-08
1840,3.758116307039927e-08
1841,5.585877183023058e-08
1842,4.762868144325694e-08
1843,3.603215859016018e-08
1844,7.793756706675481e-08
1845,3.850357188639464e-08
1846,3.6297908678761814e-08
1847,6.094342808182773e-08
1848,2.333114323960217e-08
1849,2.9327951622803994e-08
1850,2.9192683825840504e-08
1851,3.998652076120379e-08
1852,4.7526983237844433e-08
1853,5.6733352238325097e-08
1854,4.676098053213451e-08
1855,5.7845614520601885e-08
1856,4.245295315286057e-08
1857,4.393358032928063e-08
1858,5.431980554249094e-08
1859,5.9069209523698873e-08
1860,5.9503392213500206e-08
1861,6.602348912032596e-08
1862,4.021007882215599e-08
1863,3.945750420841776e-08
1864,6.568777022319949e-08
1865,7.013197977912e-08
1866,6.325296553200133e-08
1867,5.774845668327089e-08
1868,5.1374691167893616e-08
1869,5.323035745519178e-08
1870,3.096386169687548e-08
1871,2.7615060460561835e-08
1872,3.1446163006876304e-08
