year,aurait_VERB eu_VERB,aurait_VERB su_VERB
1800,3.53718496626243e-06,1.5091990235305275e-07
1801,2.471667585268733e-06,6.429193177837078e-08
1802,2.9651382646989077e-06,1.1412984690650774e-07
1803,2.5939511942851823e-06,7.021220937986072e-08
1804,4.884377631242387e-06,3.1392505661642645e-07
1805,2.948064093288849e-06,1.7341554325867037e-07
1806,2.6972422801918583e-06,1.3255677799861587e-07
1807,5.3892858886683825e-06,2.1067468480850948e-07
1808,4.2171636778221e-06,2.1754310353117035e-07
1809,3.969116733060218e-06,1.6942729530455836e-07
1810,5.131897978571942e-06,1.7550951270095538e-07
1811,4.926405836158665e-06,2.557218294896302e-07
1812,5.355754183256067e-06,6.934741492159446e-08
1813,5.9154003793082666e-06,2.70319702622146e-07
1814,4.4399612306733616e-06,2.73760917934851e-07
1815,5.09775236423593e-06,1.9420009778059466e-07
1816,4.4822459130955394e-06,2.1785476178592944e-07
1817,5.403907380241435e-06,3.2850027764652623e-07
1818,5.50519962416729e-06,2.968373280509695e-07
1819,5.575075647357153e-06,3.146719222968386e-07
1820,5.8976411310140975e-06,3.678609061807947e-07
1821,7.275806183315581e-06,3.1753992857375124e-07
1822,6.234930424398044e-06,3.0678384632665257e-07
1823,5.98890846958966e-06,3.330465574435948e-07
1824,6.224886419659015e-06,3.587394132864574e-07
1825,6.570621735590976e-06,2.94101795361712e-07
1826,5.636229161609663e-06,2.809746888488007e-07
1827,8.250381142715923e-06,2.562401846262219e-07
1828,8.260574759333394e-06,4.10919085425121e-07
1829,8.75321256899042e-06,4.012246392903762e-07
1830,7.963305506564211e-06,2.901440439018188e-07
1831,8.020116183615755e-06,3.3053356673917733e-07
1832,8.709241228643805e-06,2.3677446847614192e-07
1833,7.476073733414523e-06,2.8032380328113504e-07
1834,7.4246859185223e-06,3.323092983009701e-07
1835,7.616785751451971e-06,2.374809611183082e-07
1836,7.358549282798776e-06,2.768948945686134e-07
1837,7.2487309807911515e-06,2.1986934939377534e-07
1838,7.16051636118209e-06,2.3796850712187734e-07
1839,7.069779712765012e-06,2.3001953763923666e-07
1840,7.965933036757633e-06,4.2422126966812357e-07
1841,8.280581823782995e-06,3.717497634170286e-07
1842,8.053943020058796e-06,3.1193431482279266e-07
1843,7.586836545669939e-06,2.7526206736183667e-07
1844,7.66806897445349e-06,3.04615156210275e-07
1845,7.73810188547941e-06,2.3771771395786345e-07
1846,7.709207238804083e-06,2.1486019363692321e-07
1847,8.27913754619658e-06,2.6588591595100297e-07
1848,7.916498361737467e-06,2.6307876055398083e-07
1849,8.578845154261217e-06,2.32109798048441e-07
1850,7.881345482019242e-06,2.4644054974487517e-07
1851,8.248187441495247e-06,2.2960001899718918e-07
1852,7.470850960089592e-06,2.4805177645248477e-07
1853,7.129292043828173e-06,3.571215358988411e-07
1854,7.1861236392578576e-06,2.1250266968309006e-07
1855,7.843122148187831e-06,2.1705372432734293e-07
1856,7.891071618360002e-06,2.6610752001943183e-07
1857,8.0046984294313e-06,2.504214080545353e-07
