year,errant_VERB en_ADP,errant_VERB sans_ADP
1800,6.917161954334006e-08,7.545995117652637e-08
1801,3.095537337571841e-08,1.666827853519237e-08
1802,4.4756802708434407e-08,7.384872446891677e-08
1803,4.095712213825209e-08,2.145373123596528e-08
1804,7.168367766041683e-08,6.179627121127851e-08
1805,3.980028662198265e-08,4.8328921309348516e-08
1806,4.3225035994964855e-08,5.187004603612877e-08
1807,5.693910143378389e-08,6.547997077888112e-08
1808,4.985362700438145e-08,5.891792298484688e-08
1809,3.840351725514779e-08,4.743964154840796e-08
1810,6.786367556799178e-08,1.2168659146993832e-07
1811,1.2535384286138651e-08,3.5099073869560016e-08
1812,2.400487364440096e-08,2.6672083208723052e-08
1813,1.1502966579257645e-08,5.176334849643638e-08
1814,1.8880062846449164e-08,3.776012391654149e-08
1815,1.3486118000116676e-08,5.3944472000466703e-08
1816,1.8540831092650478e-08,1.622322720606917e-08
1817,3.892183464415666e-08,2.6466848268569265e-08
1818,4.2916237674717195e-08,4.649259222055946e-08
1819,5.072014630513877e-08,6.417650855183865e-08
1820,7.357218212433736e-08,6.526564444442329e-08
1821,3.9445952282335384e-08,6.705811883556123e-08
1822,4.210758675071702e-08,5.3135764233047666e-08
1823,2.174191138237802e-08,6.127266127808895e-08
1824,5.221089960372183e-08,5.894779064874456e-08
1825,4.9310479255382234e-08,1.0654586102276653e-07
1826,2.2019960965735663e-08,4.668231534665779e-08
1827,1.566936447261469e-08,5.1616730445402936e-08
1828,1.6510142586412258e-08,3.8523666034961934e-08
1829,5.572564276690173e-08,5.1439055681612444e-08
1830,5.635891398014792e-08,6.470838354033503e-08
1831,4.5214498367585065e-08,3.897801548191637e-08
1832,2.4353944860777688e-08,1.0823975715723577e-07
1833,3.4750885724577074e-08,5.6759779099024854e-08
1834,4.200539027721106e-08,4.387229446400909e-08
1835,4.9160071569076536e-08,5.8235777089521434e-08
1836,4.9061474882705625e-08,7.258410156252282e-08
1837,4.244313345225237e-08,6.679574982015879e-08
1838,4.292270205930038e-08,6.059675472513959e-08
1839,4.474544024191118e-08,4.824117860735555e-08
1840,4.1402977046800515e-08,6.879263736436769e-08
1841,3.338685417020315e-08,2.6966304300657384e-08
1842,2.0124794275488966e-08,4.561620414733625e-08
1843,4.134837727765017e-08,5.788773027592953e-08
1844,4.061535296973062e-08,8.177956400956532e-08
1845,2.2320911341466854e-08,5.524425683578471e-08
1846,4.742145964797828e-08,3.3956107259314194e-08
1847,3.020205241455187e-08,4.853901458545806e-08
1848,3.9421587549881565e-08,3.620349886546137e-08
1849,3.603148490682884e-08,3.351765798242923e-08
1850,2.851378244628222e-08,5.023856974872842e-08
1851,2.6442698919382224e-08,3.805168802273329e-08
