year,tout_ADV allemand_ADJ
1884,1.5844072720483382e-08
1885,2.320428871271929e-08
1886,1.9360391623202133e-08
1887,4.047933255257874e-08
1888,2.282621336391344e-08
1889,1.8168896720460737e-08
1890,5.8989478302073906e-09
1891,1.0836173958139739e-08
1892,1.504442992406041e-08
1893,2.340198285155637e-08
1894,2.961723422068019e-08
1895,2.407445864882618e-08
1896,1.0614652268259306e-08
1897,6.4093849116986235e-09
1898,1.7540900287826844e-08
1899,3.8693048765026106e-09
1900,1.0901211600078398e-08
1901,3.017919025793958e-08
1902,1.4239823542538943e-08
1903,1.3500550677392198e-08
1904,9.13686282189019e-09
1905,6.708986699521802e-09
1906,1.131720617220111e-08
1907,1.6457098794830927e-08
1908,1.0805055739027125e-08
1909,2.3654229241998337e-08
1910,1.3894791539570406e-08
1911,1.4365010292394231e-08
1912,1.3544495081063701e-08
1913,2.1742257327872494e-08
1914,2.276892852037804e-08
1915,5.772573263840286e-08
1916,5.493730959038601e-08
1917,6.470190605512016e-08
1918,6.547234310261274e-08
1919,4.511845674848303e-08
1920,3.104614920701465e-08
1921,1.893186885038034e-08
1922,3.8365264742878935e-08
1923,2.3355086309351236e-08
1924,9.024137215263295e-09
1925,2.74954441437103e-08
1926,1.1146138345630163e-08
1927,1.4493992006592293e-08
1928,9.140832757381645e-09
1929,1.4482528065684619e-08
1930,9.453243299262226e-09
1931,1.3686427990933225e-08
1932,9.863582839386709e-09
1933,1.3764794415394022e-08
1934,2.156684431042777e-08
1935,2.154291145473053e-08
1936,2.424942913137329e-08
1937,5.0364472592434595e-09
1938,9.075650009293668e-09
1939,1.6823455517567254e-08
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,0.0
1945,2.178504088234945e-08
1946,1.1136883415474585e-08
1947,1.1920870957027319e-08
1948,9.784699050996437e-09
1949,5.890204990421921e-09
1950,7.444752814222966e-09
1951,1.2793682335754397e-08
1952,5.272401848444019e-09
1953,8.619062019654677e-09
1954,1.9545072227344917e-09
1955,8.447047061821422e-09
1956,6.976913269340912e-09
1957,5.3010225653515874e-09
1958,8.272243445794913e-10
1959,6.200598257066758e-09
1960,6.228750071279876e-09
1961,7.642975197175161e-09
1962,6.341956293454132e-09
1963,4.526237384894216e-09
1964,6.083968273618012e-09
1965,1.258569987117042e-08
1966,3.877352328096606e-09
1967,3.944268356370628e-09
1968,1.1228539376073599e-08
1969,3.633406214786916e-09
1970,5.978342515478019e-09
1971,8.221435865429783e-09
1972,8.208234703044326e-09
1973,4.410563081425067e-09
1974,6.188128787165681e-09
1975,2.2845920710778955e-09
1976,2.8567633814091664e-09
1977,1.7630345516828072e-09
1978,5.940591463193812e-09
1979,6.43717057435822e-09
1980,2.8425753972882717e-09
1981,2.5302198669585607e-09
1982,3.724501262958313e-09
1983,1.8945948143667124e-09
1984,2.899504303321976e-09
1985,2.4062232206745193e-09
1986,4.795588315342769e-09
1987,7.33298027855156e-09
1988,2.398621523624911e-09
1989,5.488122178931576e-09
1990,1.089730194969718e-09
1991,5.861465146583811e-09
1992,3.856960861803316e-09
1993,7.754890507527534e-09
1994,2.1099705871385765e-09
1995,6.506941097050856e-09
1996,8.540947726842774e-09
1997,4.79489448146353e-10
1998,3.337690346327804e-09
1999,4.570201078690772e-09
2000,3.976228346580513e-09
2001,4.819332877215032e-09
2002,6.133709873346049e-09
2003,5.416999959706459e-09
2004,8.809582507929292e-10
2005,3.602999676388663e-09
2006,2.0589449589714093e-09
2007,1.5977918155218873e-09
2008,2.9802078027607593e-09
2009,8.105927484791664e-09
2010,7.558068837454357e-09
2011,1.91198598620268e-09
2012,6.808505426114664e-10
2013,5.578250028559495e-09
2014,3.8978013316981475e-09
2015,3.1032055675117576e-09
2016,6.628288279353356e-09
2017,2.7671724633915318e-09
2018,1.5488800242380307e-09
2019,2.295888978931515e-09
