year,était_VERB avant_ADP,était_VERB savant_ADJ,etait_VERB avant_ADP
1800,7.640319950041885e-07,7.860410988769218e-08,3.144164484325529e-09
1801,6.429193035728531e-07,1.2858386355674156e-07,4.7623651688866175e-09
1802,6.086925168347079e-07,1.2531904758361634e-07,0.0
1803,4.797834662895184e-07,7.996391104825307e-08,1.950339223455444e-09
1804,6.500968083855696e-07,7.662737999680758e-08,2.4718509461507665e-09
1805,3.354595605742361e-07,8.812921237222326e-08,2.842877711017877e-09
1806,3.9478865687669895e-07,3.1698359492793315e-08,0.0
1807,6.43411851797282e-07,5.4092147649953404e-08,0.0
1808,5.61986325919861e-07,7.251436784372345e-08,9.064295980465431e-09
1809,5.10540871800913e-07,5.6475762733043666e-08,4.518061036407062e-09
1810,6.622558998969907e-07,5.148278958699848e-08,7.020380277111826e-09
1811,7.546300935246109e-07,4.888799480795569e-07,0.0
1812,7.441511229444586e-07,2.6938803898701735e-07,5.3344164641089264e-09
1813,6.642962944169994e-07,4.5149144511924533e-07,2.5881674803329702e-08
1814,6.167487072161748e-07,1.6992056828257773e-07,3.1466771410748606e-09
1815,5.77205867102748e-07,5.1247248222807684e-08,0.0
1816,6.605171165574575e-07,1.0660977523002657e-07,0.0
1817,7.270598985087418e-07,1.7748357095115352e-07,3.113746815941454e-09
1818,6.735465376550565e-07,3.159111940931325e-07,3.5763532135746345e-09
1819,7.711532248322328e-07,3.333038023356494e-07,4.140420006848444e-09
1820,7.808144459886535e-07,2.0054352489751182e-07,7.119888678630559e-09
1821,7.534176802437287e-07,2.0018821089706762e-07,2.9584463767662328e-09
1822,8.561876256862888e-07,2.807172450047801e-07,1.5038423839541792e-08
1823,8.637468340566556e-07,8.795591099897138e-08,9.882686891060644e-10
1824,8.968485190052888e-07,1.532642528445649e-07,8.421112696055388e-10
1825,8.418003289989429e-07,1.40887095767539e-07,2.641632912414593e-09
1826,8.931295951697393e-07,9.864942285275902e-08,1.2331177856594877e-08
1827,9.64126797953213e-07,1.2996355280847638e-07,1.8434546333878643e-08
1828,7.897351110841555e-07,9.906085551847355e-08,1.6510142586412258e-08
1829,1.1496629213070264e-06,2.280464883597233e-07,1.1145129263923081e-08
1830,1.0092420552609838e-06,9.706257486641334e-08,2.0873671680021744e-09
1831,9.027308465192618e-07,1.4032085005055706e-07,1.5591206103948707e-09
1832,7.7391422337314e-07,1.4747666909897816e-07,0.0
1833,1.077277488548134e-06,7.992703388026712e-08,4.6334514003376626e-09
1834,7.934351060612244e-07,6.534171603789218e-08,1.8669061851994684e-09
1835,8.689988248988811e-07,9.907645193152348e-08,2.2689263801112247e-09
1836,8.212756483771955e-07,1.518889547469371e-07,6.720750067579218e-10
1837,9.845415434028837e-07,1.349830824892706e-07,4.174734336004349e-09
1838,9.461930972065602e-07,1.04781889831429e-07,1.2624323808552163e-09
1839,1.149398485722486e-06,9.088918062616358e-08,0.0
1840,9.33796343360882e-07,1.707076506818339e-07,3.1848443882154243e-09
1841,1.1967902082687942e-06,1.3932590547938162e-07,2.5682194149112547e-09
1842,1.1357092262187507e-06,9.19032316915036e-08,3.3541325272778977e-09
1843,1.3018832305533579e-06,1.3822172206801042e-07,3.5441467538532834e-09
1844,9.533630986879871e-07,1.0318495213823553e-07,1.6465684371524958e-09
1845,9.55893028731225e-07,1.389476693702818e-07,1.1160455892778032e-09
1846,1.1012316463165917e-06,1.2060272069902567e-07,2.3418005312692003e-09
1847,1.0160833880945574e-06,1.6395399882185302e-07,1.0786447290911383e-09
1848,1.1062179510190617e-06,1.761903547503607e-07,6.43617736884039e-09
1849,9.611188716007746e-07,1.5250535057020898e-07,7.54147322368226e-09
1850,1.0529732890063315e-06,1.3442212321024272e-07,2.7155984128057753e-09
1851,1.16541355055233e-06,1.7864945789369813e-07,3.2247193804124663e-09
1852,1.070984694706567e-06,1.263045845689703e-07,1.3021090872200602e-09
1853,1.1036130445063463e-06,1.606449728797088e-07,1.7915795513800958e-09
1854,1.098363441087713e-06,1.8652436040156317e-07,6.234797567117312e-09
1855,1.055019083651132e-06,1.8308932681065926e-07,2.653468555990912e-09
1856,9.629571877667331e-07,1.646346134975829e-07,3.1063134287023786e-09
1857,9.987567182179191e-07,1.732935714926498e-07,1.4644527812635033e-09
1858,9.527987003821181e-07,1.0961834107092727e-07,3.4255731584664773e-09
1859,1.0016304941018461e-06,9.929738098435337e-08,1.5276520048956854e-09
1860,9.80890490609454e-07,1.556242494871185e-07,4.577183909670879e-10
1861,9.347040190732514e-07,8.724532563064713e-08,9.431927461278633e-10
1862,1.1724174555638456e-06,1.296662048844155e-07,4.517986262886353e-10
1863,1.103311774386384e-06,1.2686336958722677e-07,5.494082966350788e-09
1864,1.1066232445955393e-06,1.2082713851668814e-07,1.9178911792039344e-09
1865,9.183053180095158e-07,6.165966226490127e-08,4.706844358715045e-10
1866,1.12979535060731e-06,9.779881793292589e-08,9.731225825149181e-10
1867,1.0875151019718032e-06,9.365925990323376e-08,9.7056229719783e-10
1868,1.082820404008089e-06,7.607405905218911e-08,9.87974813071446e-10
1869,1.2159962352598086e-06,8.204312251791634e-08,7.325278605918584e-09
1870,1.0785745416797e-06,9.518520727169744e-08,2.8670243956696595e-09
1871,1.0621176897984697e-06,8.390730243945654e-08,0.0
1872,9.506417200100259e-07,1.0824737017856023e-07,2.4189357183956872e-09
1873,1.0810723551912815e-06,6.584605216630735e-08,1.1972008939764578e-09
1874,1.0300226449544425e-06,6.751308490038355e-08,5.974609140757536e-10
1875,9.984064490708988e-07,5.034943839632433e-08,5.721527140956084e-10
1876,1.0580525895420578e-06,9.855003924030825e-08,0.0
1877,9.864781986834714e-07,9.029831460338755e-08,1.8554447978047506e-09
1878,1.0357036899222294e-06,1.3285995237311e-07,1.2078177347163432e-09
1879,1.1204502925465931e-06,7.331190232662266e-08,6.10932526790009e-10
1880,1.1109291335742455e-06,1.180883728579829e-07,6.417846254436199e-10
1881,9.384995109940064e-07,6.135806529528054e-08,0.0
1882,9.763449497768306e-07,7.853354588860384e-08,6.655385131892899e-10
1883,9.497966289018223e-07,5.9401784824331116e-08,2.5277355764075082e-09
1884,9.704494914331008e-07,6.733731083841121e-08,0.0
1885,8.804738627077313e-07,5.02759576193057e-08,2.5782542767416317e-09
1886,9.989962563849986e-07,4.646494033977433e-08,6.453463874400711e-10
1887,9.277601975554717e-07,3.264462478114183e-08,6.528924623161458e-10
1888,8.623235885352187e-07,3.7409627395845746e-08,2.53624587998047e-09
1889,1.0024218681792263e-06,3.947036120166558e-08,3.759081934617825e-09
1890,9.130260423262371e-07,5.767860145056147e-08,1.3108772956016423e-09
1891,9.860918908088934e-07,3.250852387282066e-08,0.0
1892,9.152028042080929e-07,4.2625885043889866e-08,1.2537024751679837e-09
1893,1.0229130111838458e-06,4.434059874824925e-08,6.158416554491453e-10
1894,9.200247177432175e-07,3.465846631911518e-08,6.301539290376468e-10
1895,9.756173540154123e-07,4.69451926221609e-08,0.0
1896,8.933998856264225e-07,4.1279204054944785e-08,1.7691086373616827e-09
1897,8.238973236984748e-07,3.729096675897381e-08,5.826713556089658e-10
1898,9.879487379294005e-07,4.2437662273187016e-08,2.8291773368493978e-09
1899,9.872254622678156e-07,4.09040801230276e-08,0.0
1900,8.144762659867411e-07,4.049021384844309e-08,0.0
1901,8.724021540729154e-07,3.800342440740678e-08,2.794369402536745e-09
1902,9.27552605389792e-07,2.1114219705964388e-08,9.820567692386817e-10
1903,9.515188139630482e-07,2.1060859722865644e-08,0.0
1904,9.77644276645151e-07,3.0635362691100454e-08,1.6123875568041512e-09
1905,9.279044661525404e-07,3.973784501454247e-08,2.0643036724443675e-09
1906,9.238955271939631e-07,2.82930141537463e-08,3.086510713679047e-09
1907,9.179975677398033e-07,3.599990350267035e-08,1.028568674676933e-09
1908,9.930828355209087e-07,5.009616899087632e-08,4.911389073214423e-10
1909,9.049118148141133e-07,4.290767208203761e-08,1.1001967115120692e-09
1910,9.079711844606209e-07,4.5959694716657395e-08,2.137660271017694e-09
1911,9.475586466578534e-07,5.001151848205154e-08,1.5961122423746588e-09
1912,8.470518650938175e-07,2.9693701719679666e-08,5.209421227725386e-10
1913,9.37568586323323e-07,3.977242357677824e-08,5.3029897140177695e-09
1914,1.0259411737933988e-06,4.3528835647066444e-08,1.3393487430235496e-09
1915,1.279390744457487e-06,2.4739600590351074e-08,2.3561523843085297e-09
1916,1.590984538779594e-06,2.7468654906215306e-08,2.197492410260793e-09
1917,1.8500358009987394e-06,1.973956464951243e-08,0.0
1918,2.0181562376819784e-06,3.2161853624756986e-08,4.594550517822427e-09
1919,1.7807979020290077e-06,5.340552178267899e-08,3.6831393490643904e-09
1920,1.6128853985719616e-06,4.543338860685253e-08,1.514446346106979e-09
1921,1.4774429928365862e-06,4.1650110915725236e-08,1.5145494858259667e-09
1922,1.404758904754999e-06,4.648099505288883e-08,0.0
1923,1.3747652474194183e-06,5.520293200333981e-08,1.0615948120573648e-09
1924,1.3407288861344568e-06,6.059063650809549e-08,2.578324886925998e-09
1925,1.2075998938598786e-06,6.268961527666761e-08,2.1996355847875293e-09
1926,1.3107859331284999e-06,4.0126099776216506e-08,0.0
