year,puissent_VERB avoir_VERB,puissent_VERB savoir_VERB
1800,8.520685810253781e-07,6.288328968651058e-09
1801,8.310327075378154e-07,4.0480102825313224e-08
1802,1.1211578794245725e-06,8.951360541686881e-09
1803,9.517655144009041e-07,2.9255089017965474e-08
1804,9.986277973439428e-07,2.9662210465630778e-08
1805,9.978500656870892e-07,3.695740957709859e-08
1806,9.88412466540467e-07,5.76333825108577e-09
1807,9.394951803187723e-07,4.27043254092041e-08
1808,9.064295909411157e-07,1.8128591960930862e-08
1809,9.352386314276373e-07,1.8072244145628247e-08
1810,9.313704367741593e-07,9.360507036149102e-09
1811,8.674485343362903e-07,0.0
1812,8.34836157537211e-07,5.3344164641089264e-09
1813,8.282136150228325e-07,8.627225156487839e-09
1814,1.161123918791418e-06,6.293354282149721e-09
1815,1.0330365967092803e-06,1.3486118000116676e-08
1816,8.945950753513898e-07,3.9399267848239106e-08
1817,9.419084108230891e-07,6.227493631882908e-09
1818,9.811128620640375e-07,1.7881765401739358e-08
1819,9.56437020249723e-07,1.8631890696951814e-08
1820,1.1071426797570894e-06,2.4919611263385377e-08
1821,1.0798329412864405e-06,1.3806083387635226e-08
1822,1.0577024340818753e-06,4.6117833107928163e-08
1823,7.787557478877716e-07,1.8777104315859106e-08
1824,1.0265335959047661e-06,5.4737231636181605e-08
1825,1.0240730716759572e-06,3.6982861217893515e-08
1826,1.1283027561148629e-06,4.668231667892542e-08
1827,1.2157582887084573e-06,4.147772969531616e-08
1828,1.3263147593534086e-06,3.0268594741755805e-08
1829,1.0793628462124616e-06,1.971830521085849e-08
1830,1.0885619303735439e-06,2.5048406016026092e-08
1831,7.296684430002642e-07,1.2472964883158966e-08
1832,6.264375542741618e-07,2.570694235259907e-08
1833,5.849732360729831e-07,2.4325620628928846e-08
1834,9.185178555526363e-07,3.453776287187793e-08
1835,8.553852239856496e-07,4.310960122211327e-08
1836,8.743695616431069e-07,4.704525125021064e-08
1837,7.813711704329762e-07,1.8090515752078318e-08
1838,8.483545457238506e-07,3.471689069556305e-08
1839,9.774082627700409e-07,2.586845759822154e-08
1840,7.777389896546083e-07,2.4841785517537573e-08
1841,8.218302127716015e-07,1.9903700021473014e-08
1842,7.821836902621726e-07,3.890793820460203e-08
1843,8.594555538365967e-07,2.8943864194275193e-08
1844,7.705939992774802e-07,1.975882035765153e-08
1845,8.426144404438674e-07,2.1204865419122143e-08
1846,7.757214461889816e-07,2.517435504501009e-08
1847,8.47275430260197e-07,1.4561703842730367e-08
1848,7.707322424721497e-07,4.424871846708811e-08
1849,9.28439192193764e-07,3.016589289472904e-08
1850,8.852850896801101e-07,4.412847331991543e-08
1851,5.59811269340571e-07,2.0638204034639784e-08
1852,8.053544888753095e-07,3.190167419120371e-08
1853,8.408479743593489e-07,3.0456853039595444e-08
1854,7.377843758149538e-07,1.9223959313308114e-08
1855,6.575294833055523e-07,2.9188154115900034e-08
1856,7.066863076943264e-07,7.765783571755946e-09
1857,6.053071501810336e-07,3.270611159678083e-08
1858,5.872411179552728e-07,1.9085335978274998e-08
1859,7.235978500830242e-07,7.638259802433822e-09
1860,6.618607812924893e-07,1.4189270203246451e-08
1861,7.069229468470439e-07,7.545541969022906e-09
1862,7.513411333093245e-07,3.930648162508987e-08
1863,6.777700605198334e-07,3.146611149418277e-08
1864,7.086607638484566e-07,1.4384183621984903e-08
1865,6.518979489555932e-07,1.4120533187167439e-08
1866,6.466399327109684e-07,2.3841502994059738e-08
1867,6.211598702066112e-07,3.154327288257264e-08
1868,7.775361723361129e-07,3.803702952609456e-08
1869,6.397410174940887e-07,1.3185501579471293e-08
1870,6.708837076985219e-07,1.7202147262196377e-08
1871,6.914386290191032e-07,4.460894587055009e-08
1872,6.210617584656575e-07,2.660829245826335e-08
1873,6.225444622032228e-07,1.855661402316855e-08
1874,6.374908139150648e-07,1.7326366119618797e-08
1875,5.807349907627213e-07,1.8881038954532414e-08
1876,6.989193366280233e-07,2.1765654167893445e-08
1877,6.110598178565851e-07,1.855444864418132e-08
1878,5.555961593017855e-07,3.744235144154118e-08
1879,8.882959150469105e-07,2.1382637882538802e-08
1880,6.989034773141611e-07,1.9253539207397807e-08
1881,5.996356549076154e-07,2.2312024228199334e-08
1882,6.868357331768493e-07,2.5956001792337702e-08
1883,5.636850346490974e-07,1.8958017378167824e-08
1884,5.453001676869462e-07,2.3766109080725073e-08
1885,5.059824275122082e-07,1.8692343672910283e-08
1886,5.814570727125101e-07,2.452316216761119e-08
1887,6.169833568492322e-07,2.0239665943222462e-08
1888,6.676667112515133e-07,1.268122939990235e-08
1889,6.453090577451803e-07,3.195219733242993e-08
1890,5.381151026995212e-07,2.6872983838188702e-08
1891,5.928024506829388e-07,6.3742202627281586e-09
1892,5.848522164342285e-07,1.56712811616444e-08
1893,6.207683895809168e-07,1.4164357686752282e-08
1894,5.160960654393421e-07,2.079507943619774e-08
1895,6.078800538489304e-07,1.1435367319734269e-08
1896,5.389884449868987e-07,7.66613794667137e-09
1897,4.981840220352751e-07,1.631479840114025e-08
1898,5.499920803231362e-07,1.0185038590293516e-08
1899,5.792902015855361e-07,1.1055156790007459e-08
1900,6.063149839974358e-07,2.7512582434496835e-08
1901,5.024276106269099e-07,1.900171220370339e-08
1902,5.882520213162934e-07,2.0132164380015638e-08
1903,5.616229259430838e-07,1.7820726228023887e-08
1904,5.32087881310872e-07,1.827372564378038e-08
1905,5.042061843596457e-07,2.3223416079076742e-08
1906,5.380816787692311e-07,8.230695236477459e-09
1907,5.80112725856452e-07,1.7999951751335175e-08
1908,5.549869683818542e-07,1.7189861978295085e-08
1909,5.825541506965237e-07,2.9705311987981986e-08
1910,6.733629902555549e-07,2.5651923252212327e-08
1911,5.905615125811892e-07,1.3832972989291648e-08
1912,5.3136096767048e-07,1.510732161591477e-08
1913,5.265868594506173e-07,1.1666577037772186e-08
1914,5.042647899244912e-07,1.4732836284281348e-08
1915,6.125995923866867e-07,1.5314990164938536e-08
1916,5.405831302596198e-07,2.197492321442951e-08
1917,5.2419511575863e-07,1.4256351654751143e-08
1918,4.697927806773805e-07,2.6418664589300533e-08
1919,4.843328156312054e-07,1.3811772170413406e-08
1920,4.96738380206807e-07,1.2115570768855832e-08
1921,4.6193758862500545e-07,2.196096815509918e-08
1922,4.544808120954258e-07,2.6560567079059183e-08
1923,4.44808222255233e-07,1.2739137744688378e-08
1924,4.718334594144835e-07,1.5469948877466777e-08
1925,5.532083378056996e-07,8.798542339150117e-09
1926,4.514186002779752e-07,8.916910765321973e-09
1927,4.883360702478967e-07,1.1149224654616319e-08
1928,4.673250941777951e-07,5.713020723163709e-09
1929,4.834936362385633e-07,1.2254447234738564e-08
1930,4.48503868710759e-07,1.470504518152893e-08
1931,4.733223022412858e-07,2.167017854048936e-08
1932,5.052346523370943e-07,7.6716757391182e-09
1933,5.677977696905145e-07,1.4911860191091364e-08
1934,4.241479416577931e-07,1.5576054224197833e-08
1935,3.985438752351911e-07,3.7101681726881e-08
1936,4.4861442916044325e-07,1.2124714565686645e-08
1937,4.646122704343725e-07,1.0072894518486919e-08
1938,5.186086013964086e-07,1.1668692678767911e-08
1939,4.3588045173237333e-07,1.2235240376412548e-08
1940,5.401217890721455e-07,1.0143131667916805e-08
1941,4.929009378429328e-07,1.7709016475464523e-08
1942,3.823106737854687e-07,2.4273694165799498e-08
1943,4.616144053670723e-07,1.4516175816936538e-08
1944,4.498460555169004e-07,1.927911696952833e-08
1945,4.705568699137075e-07,1.9606536838523425e-08
1946,4.677490892390779e-07,1.6705325123211878e-08
1947,4.7445067252738227e-07,1.549713246618012e-08
1948,4.7292712679336546e-07,2.0656587551570738e-08
1949,4.810333962268487e-07,1.570721330779179e-08
1950,5.264503784019325e-07,1.808011518278363e-08
1951,4.808292146663007e-07,2.0256663901818683e-08
1952,4.51317617944369e-07,2.319856839960721e-08
1953,4.557329020826728e-07,7.54167928107563e-09
1954,4.4562764855982095e-07,1.2704297169818801e-08
1955,4.580176664603641e-07,9.385607846468247e-09
1956,4.4041763658242417e-07,1.657016923672927e-08
1957,4.2673232769629976e-07,8.835037590415595e-09
1958,4.541461748885922e-07,5.790570245522986e-09
1959,5.130995077706757e-07,1.5501495198577686e-08
1960,4.803058573088492e-07,1.038124963770315e-08
1961,4.835918616663548e-07,2.36237411854745e-08
1962,5.276507977214351e-07,1.8391673961559718e-08
1963,5.321562071003427e-07,1.0345685197421517e-08
1964,5.439067649604112e-07,1.2167936880302932e-08
1965,5.220329626354214e-07,1.4227312661319047e-08
1966,5.948966190771898e-07,1.273987226824147e-08
1967,5.936124125582865e-07,1.627010703941778e-08
1968,5.57384680632822e-07,1.6169096284102125e-08
1969,6.46746286747657e-07,1.8167030546578644e-08
1970,5.959947770861618e-07,2.115413444414571e-08
1971,5.508362050932192e-07,1.1304474689666222e-08
1972,5.340482971405436e-07,1.2825367434743384e-08
1973,5.281649464450311e-07,1.7642252103655665e-08
1974,5.074265914117859e-07,2.2502286256553816e-08
1975,5.106063554194407e-07,1.9990180177842376e-08
1976,4.930773798150767e-07,1.656922776760439e-08
1977,4.789577019437274e-07,2.1744092748576804e-08
1978,5.14455223310506e-07,1.3069301196821925e-08
1979,5.0795131301129e-07,1.6970723493159312e-08
1980,5.048413527219964e-07,1.7055452161685025e-08
1981,4.946579679199203e-07,1.2018544381930951e-08
1982,5.0715294719339e-07,2.4209258597807093e-08
1983,4.799640009878203e-07,1.894594880980094e-08
1984,5.172715304979647e-07,2.7255339318799088e-08
1985,4.998928488930687e-07,1.2031115659283387e-08
1986,5.568876986217219e-07,1.498621315931814e-08
1987,4.900875296698359e-07,2.261002229886344e-08
1988,4.6113498797240027e-07,1.5591039570495013e-08
1989,5.55946769509319e-07,2.3050112929468014e-08
1990,5.208910351939267e-07,1.4166492867673242e-08
1991,4.5367741563495656e-07,2.1101275393675678e-08
1992,5.284036319608276e-07,8.815910668147353e-09
1993,4.69724795948423e-07,1.606370148010683e-08
1994,5.354050358619133e-07,2.1099706870586488e-08
1995,5.026611802350089e-07,1.5182862966867106e-08
1996,5.076525440017576e-07,2.6690461396583487e-08
1997,5.681949915015139e-07,1.6302641014931396e-08
1998,5.688378337254107e-07,1.5258013519314773e-08
1999,6.133209922154492e-07,2.1936966021485205e-08
2000,6.211752179297036e-07,2.164835422036049e-08
2001,5.853298716829158e-07,2.9792239786274877e-08
2002,5.905886837354046e-07,2.6725450297249154e-08
2003,6.221216040103172e-07,2.6668306674082487e-08
2004,5.80991979859391e-07,1.9381081628466745e-08
2005,5.715258453165006e-07,1.7114247796712334e-08
2006,5.760928161180345e-07,2.635449547483404e-08
2007,5.7640340855869e-07,1.9572949483404045e-08
2008,5.479324727275525e-07,2.809910171208685e-08
2009,5.697989990949281e-07,2.4317781566196572e-08
2010,5.295372034197499e-07,1.7005655550406118e-08
2011,5.173833983462828e-07,2.4473420623394304e-08
2012,5.143825774212019e-07,2.2808492872172792e-08
2013,5.03158162246109e-07,2.5659950608769577e-08
2014,4.478140738228831e-07,2.295371892557796e-08
2015,4.6703243583579024e-07,2.46039864038039e-08
2016,4.6253023811004823e-07,1.905632807108759e-08
2017,4.533131630068965e-07,2.5407674186794793e-08
2018,4.886716737928509e-07,2.581466773676766e-08
2019,4.6300428380163794e-07,2.2958889900337454e-08
