year,reconnaissant_VERB en_ADP,reconnaissant_VERB sans_ADP
1800,6.288328968651058e-09,2.2009151834367913e-08
1801,5.000483582762172e-08,0.0
1802,4.475680270843441e-09,0.0
1803,2.5354410126965377e-08,0.0
1804,2.2246657849223084e-08,2.4718509461507665e-09
1805,2.2743021688143017e-08,0.0
1806,0.0,0.0
1807,4.555128274574827e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,6.09938268780752e-08,0.0
1810,3.978215445954447e-08,2.3401267590372754e-09
1811,4.512738271955641e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,4.315557644574142e-08,0.0
1816,9.965696534663948e-08,2.3176038865813098e-09
1817,5.7604317760251433e-08,9.341240669868967e-09
1818,3.337929754820834e-08,3.5763532135746345e-09
1819,2.070209959015301e-08,1.035105001712111e-09
1820,6.40789963313182e-08,4.746592452420373e-09
1821,4.832129363308013e-08,7.88919063410276e-09
1822,5.81485721795616e-08,1.2030739071633434e-08
1823,4.743689885344793e-08,5.929612356680991e-09
1824,1.280009129800419e-07,1.0105335235266466e-08
1825,1.1270966804310945e-07,2.0252519661312363e-08
1826,1.1186140369545683e-07,5.284790383086602e-09
1827,4.5164638917682964e-08,6.452091305675367e-09
1828,6.970949090190359e-08,8.255071293206129e-09
1829,7.030004667285539e-08,8.57317605795771e-10
1830,9.184415716845251e-08,1.1480519646056564e-08
1831,1.02901957177437e-07,2.3386808933878456e-08
1832,1.0147477091937418e-07,4.058990921151917e-09
1833,6.486831805041504e-08,2.3167256557599103e-08
1834,5.227337385171893e-08,1.9602515166639023e-08
1835,1.013453783116347e-07,2.2689263801112247e-09
1836,6.451920153693891e-08,1.0081125434435734e-08
1837,9.393152999859211e-08,9.74104708006962e-09
1838,9.720729599038691e-08,1.2624323808552163e-08
1839,1.6709626127209276e-07,1.7478688718597368e-08
1840,1.191131772659837e-07,7.64362617644565e-09
1841,9.309795734324666e-08,1.8619591202195807e-08
1842,1.2812786565064016e-07,1.0062397137744483e-08
