year,pouvait_VERB ôter_VERB,pouvait_VERB oter_VERB,pouvait_VERB sauter_VERB
1800,6.288328791015374e-08,0.0,0.0
1801,3.095537337571841e-08,0.0,0.0
1802,0.0,0.0,2.2378401354217203e-09
1803,1.1702034896643454e-08,0.0,0.0
1804,5.19088700912107e-08,0.0,0.0
1805,5.970043304159844e-08,0.0,0.0
1806,2.0171682990621775e-08,0.0,2.305335300434308e-08
1807,1.1387820464392462e-08,2.8469551160981155e-09,5.693910232196231e-09
1808,2.2660739062985158e-08,0.0,0.0
1809,1.8072244145628247e-08,0.0,0.0
1810,2.3401267590372754e-09,0.0,0.0
1811,2.5070768572277302e-08,2.5070767684098882e-09,5.0141535368197765e-09
1812,2.6672082320544632e-09,0.0,0.0
1813,3.4508900625951355e-08,0.0,0.0
1814,2.8320094713762956e-08,0.0,0.0
1815,2.966945977789237e-08,0.0,0.0
1816,1.8540831092650478e-08,0.0,0.0
1817,5.7604317760251433e-08,0.0,1.556873407970727e-09
1818,7.629553522292554e-08,1.1921177378582115e-09,0.0
1819,3.9333990287104825e-08,1.035105001712111e-09,3.1053151161586356e-09
1820,7.713212824000948e-08,0.0,7.119888678630559e-09
1821,6.804427243878308e-08,0.0,1.1833785507064931e-08
1822,5.714601059025881e-08,0.0,0.0
1823,4.743689885344793e-08,0.0,0.0
1824,7.494790565942822e-08,0.0,5.052667617633233e-09
1825,6.868245350233337e-08,0.0,6.163809906922779e-09
1826,4.492072136486058e-08,0.0,1.7615968683770689e-09
1827,7.005127855563842e-08,9.217273055917019e-10,9.217273166939322e-09
1828,6.879226077671774e-08,0.0,3.668920500743411e-09
1829,9.687688873327716e-08,0.0,2.0575622983187714e-08
1830,7.097048637660919e-08,0.0,0.0
1831,4.365537620287796e-08,3.1182412207897414e-09,0.0
1832,5.411987658021644e-08,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.9692167896323554e-08,1.1583628500844156e-09,0.0
1834,5.414027981487379e-08,9.334530925997342e-10,9.334530925997342e-10
1835,3.479020449503878e-08,0.0,1.5126175867408165e-08
1836,6.25029770162655e-08,0.0,1.4113575197427508e-08
1837,6.401259611266141e-08,0.0,1.1132625488130543e-08
1838,2.7142295522253335e-08,0.0,8.2058102535143e-09
1839,3.216078425793967e-08,0.0,1.0487212875887053e-08
1840,7.516232614079854e-08,6.369688665408546e-10,6.3696887764308485e-09
1841,3.0818632978935057e-08,1.2841097074556274e-09,1.1556987367100646e-08
1842,6.641182181965632e-08,6.708265054555795e-10,4.695785538189057e-09
1843,5.2571508035725856e-08,1.7720733769266417e-09,2.3627644285539873e-09
1844,3.787107161201675e-08,5.488561272137815e-10,1.0428266250528395e-08
1845,5.4686232431322424e-08,2.7901139176833567e-09,1.3950569588416784e-08
1846,3.688335681317767e-08,0.0,5.854501328173001e-09
1847,5.015698079091635e-08,5.393223645455691e-10,4.853901280910122e-09
1848,4.34441957963827e-08,8.045221711050488e-10,8.04522137798358e-09
