year,choisissant_VERB en_ADP
1800,0.0
1801,9.524730337773235e-09
1802,0.0
1803,5.851017448321727e-09
1804,0.0
1805,1.1371510844071508e-08
1806,0.0
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,1.5733386149463513e-08
1815,0.0
1816,4.6352077731626196e-09
1817,2.0239355080775567e-08
1818,1.0729059418679299e-08
1819,9.315945348475907e-09
1820,0.0
1821,8.875339574387908e-09
1822,2.0051231786055723e-09
1823,9.882686891060644e-10
1824,2.5263338088166165e-09
1825,9.68598712347557e-09
1826,1.4092774947016551e-08
1827,0.0
1828,2.7516904310687096e-09
1829,1.800366966620004e-08
1830,7.305785310052215e-09
1831,9.354723218280014e-09
1832,2.1647950987357945e-08
1833,0.0
1834,9.334530925997342e-10
1835,3.781543966852041e-09
1836,6.720750067579218e-10
1837,8.349468672008697e-09
1838,1.2624323808552163e-09
1839,6.29232765891885e-09
1840,6.369688665408546e-10
1841,1.2841097074556274e-09
1842,0.0
1843,1.3585895075607368e-08
1844,8.232841963717874e-09
1845,0.0
1846,6.439951460990301e-09
1847,3.775256551818984e-09
1848,8.045221711050488e-10
1849,2.513824481908955e-09
1850,6.788996032014438e-10
1851,6.449438760824933e-10
1852,7.161600201754936e-09
1853,1.1943863675867306e-09
1854,2.5978321716024766e-09
1855,3.1841622671890946e-09
1856,5.177189232874468e-10
1857,9.763018171682347e-10
1858,9.787352039936081e-10
1859,6.619825576592575e-09
1860,9.154367819341758e-10
1861,5.187560159214399e-09
1862,0.0
1863,4.495158911765884e-09
1864,0.0
1865,3.765475486972036e-09
1866,2.432806400776144e-09
1867,8.249779526181555e-09
1868,4.44588676984381e-09
1869,3.4184635122613827e-09
1870,6.880858549607183e-09
1871,2.1242354542039266e-09
1872,1.2094678591978436e-09
1873,5.986004469882289e-10
1874,5.377148060148329e-09
1875,2.8607636259891933e-09
1876,9.069021977836655e-09
1877,2.4739263970730008e-09
1878,1.3889904337816006e-08
1879,7.331190543524713e-09
1880,6.417846254436199e-09
1881,6.972507515801141e-09
1882,4.6587693702804245e-09
1883,6.951272890631799e-09
1884,8.582206056928499e-09
1885,6.445635691854079e-10
1886,5.162771044009418e-09
1887,1.3057849246322917e-09
1888,5.07249175996094e-09
1889,6.265136853755848e-09
1890,6.554386478008212e-10
1891,9.561330394092238e-09
1892,3.761107425503951e-09
1893,8.621783287310336e-09
1894,5.671385361338821e-09
1895,6.018614495673091e-10
1896,2.948514543632541e-09
1897,4.661370844871726e-09
1898,0.0
1899,4.9748205555033564e-09
1900,5.191053142894475e-10
1901,5.029864968975062e-09
1902,2.455141867585553e-09
1903,2.7001101354784396e-09
1904,4.299700151477737e-09
1905,6.708986699521802e-09
1906,1.5432553013283723e-09
1907,5.142843484406967e-09
1908,2.9468334439286537e-09
1909,9.901770070541716e-09
1910,7.481811059584231e-09
1911,6.384448969498635e-09
1912,3.125652625612929e-09
1913,1.590896969716482e-09
1914,1.3393487430235496e-09
1915,0.0
1916,1.0987461607214755e-08
