year,gagnant_VERB en_ADP,gagnant_VERB sans_ADP
1800,0.0,3.144164484325529e-09
1801,1.904946067554647e-08,0.0
1802,0.0,0.0
1803,0.0,1.1702034896643454e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,1.7081731584767113e-08
1808,4.5321479902327155e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,2.400487453257938e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,6.203614333344376e-08,0.0
1816,3.476405652236281e-08,2.3176038865813098e-09
1817,1.556873407970727e-09,1.556873407970727e-09
1818,9.536941902865692e-09,4.768470951432846e-09
1819,3.1053151161586356e-09,0.0
1820,5.933240565525466e-09,0.0
1821,1.0847637010868993e-08,1.97229765852569e-09
1822,2.4061478143266868e-08,9.023054303725075e-09
1823,7.906149512848515e-09,1.9765373782121287e-09
1824,2.105278085196005e-08,2.5263338088166165e-09
1825,2.6416328680056722e-08,8.805443041381977e-10
1826,8.80798456392995e-09,1.7615968683770689e-09
1827,2.949527377893446e-08,0.0
1828,4.586150570418113e-09,0.0
1829,1.714635211591542e-09,0.0
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,6.236482441579483e-09,0.0
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,1.7375443306377747e-08,0.0
1834,1.8669062740173104e-08,0.0
1835,3.781543966852041e-09,0.0
1836,2.688300027031687e-09,1.3441500135158435e-09
1837,7.653680356156656e-09,1.2524203896191466e-08
1838,1.4517972601879592e-08,4.418513555037862e-09
1839,1.2584655095793096e-08,4.194885327990505e-09
1840,2.165694112932215e-08,7.0066574764382494e-09
1841,3.659712533021775e-08,6.420548537278137e-09
1842,1.8112315203211438e-08,6.708265054555795e-10
1843,7.678984559333912e-09,3.5441467538532834e-09
1844,2.2503100771675832e-08,1.6465684371524958e-09
1845,1.1718478631905782e-08,1.674068439427856e-09
1846,1.4050803187615202e-08,1.0538101946622191e-08
1847,2.2112217834546755e-08,8.089835468183537e-09
1848,4.98803736093123e-08,0.0
1849,2.4300303991253713e-08,5.02764896381791e-09
1850,1.9009188889640427e-08,2.0366988096043315e-09
1851,2.257303499675345e-08,1.2898877521649865e-09
1852,1.3672145193766028e-08,7.812654523320361e-09
1853,1.6124216628554677e-08,5.3747388761848924e-09
1854,9.871762074453727e-09,8.313063126763609e-09
1855,1.751289246954002e-08,7.960405667972736e-09
1856,1.91556009943028e-08,1.4496129630003907e-08
1857,1.9526035899275485e-08,1.4644527812635033e-09
1858,2.202154192332273e-08,4.893676130990343e-09
1859,1.5785737161877478e-08,6.619825576592575e-09
1860,1.8766454251695208e-08,6.865775947773045e-09
1861,4.0085693264746425e-08,2.4051415081771665e-08
1862,1.2650361647104091e-08,5.421583626485926e-09
1863,2.6970952249349978e-08,3.995696662428827e-09
1864,2.589153069720851e-08,1.7740493518658695e-08
1865,2.118079933666195e-08,1.7415324293779122e-08
1866,2.968023871119385e-08,9.731225603104576e-09
1867,3.008743121313273e-08,5.82337378318698e-09
1868,2.8157282727647726e-08,9.87974857480367e-09
1869,2.783605879130846e-08,1.4650557211837167e-08
1870,1.4335121534259088e-08,2.2936195165357276e-09
1871,3.186353225714811e-08,1.5931766128574054e-08
1872,3.084143074261192e-08,1.9956219787786722e-08
1873,3.4718826924518e-08,8.979006871356887e-09
1874,2.0313670745508716e-08,1.3144139998644278e-08
1875,1.4875970677508121e-08,9.7265964171811e-09
1876,1.874264654588842e-08,5.441413541973361e-09
1877,3.154256233983688e-08,1.0514186854493346e-08
1878,2.5968081018845623e-08,5.435179861734696e-09
1879,2.504823370941267e-08,3.0546627449723474e-09
1880,2.6954953824542827e-08,3.2089231272180996e-09
1881,2.9284532132578533e-08,0.0
1882,2.7952617998039386e-08,6.655385131892899e-10
1883,2.8437025179073316e-08,1.2638677882037541e-09
1884,5.0172896948197376e-08,7.922036360241691e-09
1885,3.480643329112354e-08,1.2891271383708158e-09
1886,2.1296431285122708e-08,3.2267319372003556e-09
1887,2.415702127223085e-08,7.834709769838355e-09
1888,3.233713385952797e-08,5.07249175996094e-09
1889,3.00726554769426e-08,1.2530273485467092e-09
1890,2.6217545745499393e-08,4.5880703680722945e-09
1891,3.505821055682645e-08,4.461953917456185e-09
1892,3.3223116258085383e-08,6.268512375839919e-09
1893,3.448713337128595e-08,8.005941687372342e-09
1894,4.0329851458409394e-08,1.1972924873759894e-08
1895,2.347259631108045e-08,4.814891596538473e-09
1896,4.009979637231709e-08,8.845543852942228e-09
1897,2.6802883135168543e-08,6.992056267307589e-09
1898,2.772593887812036e-08,5.6583548957434004e-09
1899,1.8241008703512307e-08,5.527578395003729e-09
1900,4.3085742085224865e-08,1.038210584169974e-08
1901,3.297355993803208e-08,4.470991188387785e-09
1902,1.1293653123800595e-08,6.874397495693074e-09
1903,3.186129893251177e-08,6.480264325148255e-09
1904,3.278521276683932e-08,8.061937784020756e-09
1905,3.5093161820931584e-08,7.2250627702885595e-09
1906,2.6749759185484834e-08,8.7451136887573e-09
1907,2.828563783197069e-08,1.5428529565042481e-09
1908,3.192402764362612e-08,7.858222517143076e-09
1909,3.960708250261291e-08,9.901770070541716e-09
1910,4.275320542035388e-08,1.0153886620400954e-08
1911,2.0217422402879492e-08,7.448523575703803e-09
1912,2.7088990606216612e-08,6.251305251225858e-09
1913,1.6969567084856862e-08,3.181793939432964e-09
1914,2.8795997808472862e-08,3.3483718020477227e-09
1915,1.0602685840410686e-08,5.890381071793627e-09
1916,1.4283700666695154e-08,1.2086208478478966e-08
1917,2.1932848426331475e-08,9.869782324756216e-09
1918,1.9526840588923733e-08,4.594550517822427e-09
1919,3.314825391953491e-08,4.603924352863942e-09
1920,4.467616721015588e-08,1.514446346106979e-09
1921,2.4232791773215467e-08,1.438822039290244e-08
1922,1.696925089333945e-08,5.164555005876537e-09
1923,3.3971033985835675e-08,1.6985516992917837e-08
1924,3.0939897754933554e-08,9.02413699321869e-09
1925,2.5295808780967377e-08,7.698724324711748e-09
1926,2.4521504160546215e-08,1.2260752413340015e-08
1927,2.1183528042811872e-08,7.804457524684949e-09
1928,1.0283436768787624e-08,5.713020612141406e-09
1929,2.0052731031228177e-08,2.2280812750352652e-09
1930,3.991369368350206e-08,2.100720708497761e-09
1931,2.737285598186645e-08,3.4216069977333063e-09
1932,2.082311922890767e-08,9.863583283475919e-09
1933,2.6382522833046096e-08,6.882397540763918e-09
1934,3.354842448288764e-08,7.188948103475923e-09
1935,2.2739739868882225e-08,1.196828414151696e-08
1936,4.607391446143083e-08,1.2124714565686645e-09
