year,continuant_VERB en_ADP,continuant_VERB sans_ADP
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,6.191074675143682e-08,3.095537337571841e-08
1802,8.503792514602537e-08,6.713520406265161e-09
1803,6.046051481689574e-08,2.7304748684287006e-08
1804,9.887403784603066e-09,4.2021465418429216e-08
1805,5.685755510853596e-08,6.538618890772341e-08
1806,1.0374009207225754e-07,1.152667650217154e-08
1807,1.7081731584767113e-08,5.693910232196231e-09
1808,9.064295980465431e-09,1.8128591960930862e-08
1809,4.743964154840796e-08,4.743964154840796e-08
1810,6.31834211617388e-08,1.4040760554223652e-08
1811,3.008491944456182e-08,3.259199843341776e-08
1812,1.3336041604361526e-08,2.6672083208723052e-08
1813,1.4378708002027452e-08,2.3005932492381476e-08
1814,3.776012391654149e-08,2.8320094713762956e-08
1815,5.394447111228828e-09,5.3944472000466703e-08
1816,3.0128852301913867e-08,4.1716869958463576e-08
1817,5.1376822796100896e-08,1.401186100480345e-08
1818,4.768470773797162e-08,5.2453181353939726e-08
1819,5.796588098405664e-08,2.070210003424222e-09
1820,9.493184816022904e-08,2.610625848831205e-08
1821,8.678109963966563e-08,3.550135829755163e-08
1822,8.521773509073682e-08,3.0076847679083585e-08
1823,1.7492355652848346e-07,3.162459805139406e-08
1824,1.0105335235266466e-07,2.7789671008804362e-08
1825,8.629334047327575e-08,2.1133063299316746e-08
1826,1.409277530228792e-07,2.3781558056157337e-08
1827,1.087638210606201e-07,2.488663675137559e-08
1828,6.237164740241496e-08,2.4765213879618386e-08
1829,5.229637523029851e-08,3.0006116702452346e-08
1830,5.4271545479878114e-08,3.1310506187764986e-08
1831,4.5214498811674275e-08,2.9623292263636358e-08
1832,4.6001897402447867e-08,1.352996914505411e-08
1833,5.5601415582806624e-08,2.20088942626262e-08
1834,9.334530659543816e-08,2.8937046536725575e-08
1835,1.0437061348511634e-07,2.8739734148075513e-08
1836,1.357591514761225e-07,4.099657502365517e-08
1837,1.5237780537358248e-07,5.218418053232199e-08
1838,1.3949878052699205e-07,3.029837714052519e-08
1839,8.11011120482874e-08,2.23727205650448e-08
1840,6.369688909657611e-08,2.802663096046487e-08
1841,8.603535084361624e-08,4.173356682457552e-08
1842,6.77534757187459e-08,5.0311989241436095e-08
1843,1.0041748765843295e-07,4.252975926988256e-08
1844,8.342613000422716e-08,4.171306500211358e-08
1845,7.756516851031847e-08,6.082448322786149e-08
1846,8.723206690319785e-08,6.615586300995346e-08
1847,7.280851921365183e-08,3.7752563741833e-08
1848,6.194820656446609e-08,3.057184372323718e-08
1849,5.111443002192573e-08,5.1952373070207614e-08
1850,9.708264236962805e-08,4.0055078365242025e-08
1851,8.964720166204643e-08,5.8689894055774516e-08
1852,1.1784087217137085e-07,2.6042181744401205e-08
1853,1.283965378462426e-07,4.896984151514516e-08
1854,1.288524771325683e-07,4.676097953293379e-08
1855,8.384960636931282e-08,7.535851054285558e-08
1856,4.5041547158675144e-08,4.65947023187141e-08
1857,9.616572738124773e-08,4.539803555303479e-08
1858,1.1598011973035227e-07,2.495774786837046e-08
1859,1.3443337709695413e-07,4.0228168796119235e-08
1860,8.742421284124724e-08,4.2110093356750866e-08
1861,8.064298029353267e-08,3.914249901981748e-08
1862,1.0526908067465257e-07,5.1956842384015545e-08
1863,7.941446966697185e-08,6.742738012377458e-08
1864,1.304165988535999e-07,2.828889478223573e-08
1865,6.401308599857103e-08,4.2832282387550435e-08
1866,1.1677471312143695e-07,5.011581194480641e-08
1867,4.2462100147133697e-07,3.979305240875419e-08
1868,1.0867722588514539e-07,3.556709282648285e-08
1869,1.0939082528693689e-07,6.250904593940732e-08
1870,1.0952033147049178e-07,7.224901521496463e-08
1871,1.2108142599664973e-07,2.7615060460561835e-08
1872,1.0824737195491707e-07,5.382132073350476e-08
1873,1.1373408170811672e-07,5.147963832996538e-08
1874,1.3084394578921632e-07,8.244960270076263e-08
1875,1.2644574587383772e-07,4.806082642971887e-08
1876,1.2454790976335062e-07,6.106474614853141e-08
1877,1.3235506268749475e-07,6.617753456339415e-08
1878,1.1595049898005527e-07,5.7975250822295266e-08
1879,1.0813505701978698e-07,6.720257594849954e-08
1880,8.599914025353428e-08,4.8133846464182284e-08
1881,9.203709794292081e-08,5.159655547259945e-08
1882,1.1447262293629024e-07,4.592215585574877e-08
1883,1.1248423553711362e-07,4.1707636455612374e-08
1884,1.1288901902162252e-07,3.4328824227713994e-08
1885,1.4180398011376383e-07,5.285421167400273e-08
1886,1.1035423497229857e-07,6.195325141788999e-08
1887,1.2078510280844057e-07,6.463635160436354e-08
1888,1.5027256461408456e-07,5.1358979069604516e-08
1889,1.29688328964761e-07,5.7639258699282436e-08
1890,1.2125615561631164e-07,4.981333856513004e-08
1891,9.115134869119856e-08,5.8005401371019616e-08
1892,9.778879217492431e-08,4.2625884599800656e-08
1893,1.2008912642080816e-07,2.894455697344256e-08
1894,1.172086305789577e-07,4.726154601009114e-08
1895,1.257890465122813e-07,5.6574975149104034e-08
1896,1.0319800697322634e-07,6.073939790018912e-08
1897,1.153689276334191e-07,3.6708294071097214e-08
1898,1.4089303190800706e-07,4.187182700565728e-08
1899,1.0115468285221141e-07,6.411990760568642e-08
1900,1.0434016894933507e-07,6.229263915802363e-08
1901,1.246288727774214e-07,5.532851687917173e-08
1902,1.1784681108739647e-07,5.2049010434984666e-08
1903,9.666394173990511e-08,3.618147448314346e-08
1904,1.1877921579639406e-07,5.8045952933127865e-08
1905,1.4656556307501845e-07,4.7478984299687e-08
1906,7.973486021439768e-08,4.1153477070565714e-08
1907,9.925688004841504e-08,3.394276504309346e-08
1908,6.925058393392192e-08,6.532147733828708e-08
1909,1.3202361026642961e-07,4.125737562699072e-08
1910,7.588694161952958e-08,2.1376603487333057e-08
1911,6.650467909707913e-08,4.309503154331651e-08
1912,1.1669103727740548e-07,5.3657038590060324e-08
1913,7.901454668335361e-08,5.2499597558153255e-08
1914,1.0312985576632627e-07,4.151981158884155e-08
1915,5.419150617136381e-08,2.4739600590351074e-08
1916,9.559091784794305e-08,2.8567400889301098e-08
1917,4.7155623406069935e-08,2.3029491202919417e-08
1918,4.364822903113463e-08,2.756730310693456e-08
1919,6.99796469660896e-08,2.3940405213807026e-08
1920,7.269342239268894e-08,2.4231141093622455e-08
1921,1.2116395670114244e-07,4.619375776337975e-08
1922,7.968170656624807e-08,3.9103056792555435e-08
1923,9.448193738492705e-08,4.989495749896378e-08
1924,9.539802170444034e-08,3.738571052736006e-08
1925,8.468597201272132e-08,6.598907020816114e-08
1926,8.136681306503135e-08,2.8979959765251806e-08
1927,6.689535014814396e-08,6.689535014814396e-08
1928,6.512843508943433e-08,5.3702394531285336e-08
1929,8.578113042112534e-08,4.567566591617833e-08
1930,7.35252236871986e-08,2.2057568216382606e-08
1931,9.238338893879927e-08,3.9918749195066994e-08
1932,6.575722011348262e-08,3.1782654730250215e-08
1933,8.029463405279103e-08,2.982372127036115e-08
1934,8.866368972348937e-08,5.152079474157745e-08
1935,8.138433482685059e-08,4.4282652211791174e-08
1936,6.911087346850309e-08,2.7886843056990074e-08
1937,8.813782370609147e-08,1.6368453259474336e-08
1938,9.464606876008475e-08,3.241303758727554e-08
1939,7.647025235257843e-08,3.6705721129237645e-08
1940,7.353770170581697e-08,1.2678914806940611e-08
1941,8.854508060096578e-08,2.066051862925633e-08
1942,1.365395358998711e-07,2.4273694831933312e-08
1943,1.016132318287788e-07,6.387117412742782e-08
1944,6.747690939334916e-08,7.069009733129406e-08
1945,1.0456819232729231e-07,2.832055256973831e-08
1946,4.037120238109537e-08,3.7586981527226726e-08
1947,5.602809416416221e-08,2.3841742358143847e-08
1948,8.153916208897272e-08,3.696441908118686e-08
1949,5.1048444582590946e-08,2.748762362170254e-08
1950,6.912985295315366e-08,3.828730044119766e-08
1951,8.635735726514326e-08,2.7719645245838365e-08
1952,6.221433979103352e-08,2.1089608281954497e-08
1953,4.632745842503283e-08,2.908933460776808e-08
1954,6.156697907044872e-08,2.14995790059902e-08
1955,7.039206240122553e-08,1.970977647758332e-08
1956,5.319896456690287e-08,3.575668117150599e-08
1957,6.007825775755649e-08,1.1485549400447326e-08
1958,4.715178603120762e-08,1.2408365002158916e-08
1959,5.5805385201779245e-08,1.7826720211111535e-08
1960,5.3982499803595374e-08,2.837541629441276e-08
1961,5.0721560951316746e-08,1.8065213658324808e-08
1962,5.5175019664233105e-08,1.0781326054143392e-08
1963,5.172842576506298e-08,2.8450633626775357e-08
1964,4.806335057727651e-08,1.764350793242997e-08
1965,4.7059574459495934e-08,2.5171399631318536e-08
1966,4.9297764426192714e-08,1.7171132071780448e-08
1967,5.5219757877367215e-08,1.824224188373691e-08
1968,3.5482184745916356e-08,1.8863946849023705e-08
1969,5.677197312259352e-08,1.862120768691966e-08
1970,4.73668670952776e-08,1.3796174869185052e-08
1971,4.059333935657605e-08,1.7470551338938378e-08
1972,5.181448292645996e-08,1.7955513686995772e-08
1973,2.866866033457427e-08,1.3231689521830958e-08
1974,3.994155872710792e-08,1.743927147135338e-08
1975,1.7191555778950374e-07,1.5420996035686585e-08
1976,4.113739382471948e-08,1.7711933142372516e-08
1977,3.819908300783936e-08,1.1753563455840776e-08
1978,3.267325376921093e-08,1.7821774278559133e-08
