year,tout_DET savoir_NOUN
1800,9.118077182179718e-08
1801,1.2144030847593967e-07
1802,2.0364345232337655e-07
1803,1.852822322234715e-07
1804,2.0021992952479195e-07
1805,2.2174445746259153e-07
1806,1.152667650217154e-07
1807,1.1103124819555887e-07
1808,1.4729481279118772e-07
1809,2.0331275152329908e-07
1810,1.8487001796074765e-07
1811,7.52123057168319e-08
1812,1.7336853375127248e-07
1813,2.3005932803243923e-07
1814,2.0768068509369186e-07
1815,1.780167480092132e-07
1816,1.6223227916611904e-07
1817,1.074242625964672e-07
1818,2.205417761746986e-07
1819,1.656167967212241e-07
1820,1.696906792858499e-07
1821,1.5975611311613847e-07
1822,1.7244059336007922e-07
1823,1.6701740435109969e-07
1824,2.113699224537413e-07
1825,2.2541934185937862e-07
1826,1.7704048616007384e-07
1827,1.511632774509053e-07
1828,1.2566052964846364e-07
1829,2.177586731488823e-07
1830,1.544651753171422e-07
1831,1.4655733648893943e-07
1832,1.6641861710908756e-07
1833,2.432562045129316e-07
1834,2.1842802655491766e-07
1835,2.0571599179675104e-07
1836,1.901972310758282e-07
1837,1.3428729928044447e-07
1838,1.35711474058553e-07
1839,1.4542268411688042e-07
1840,1.7007068320307184e-07
1841,1.945426189031707e-07
1842,2.515599484276265e-07
1843,2.516344236314083e-07
1844,2.003324839905396e-07
1845,2.539003673973639e-07
1846,1.7797684037645922e-07
1847,3.3707648317005123e-07
1848,1.5607730574629386e-07
1849,1.8602301565806556e-07
1850,1.6768819932622137e-07
1851,1.9154832742174221e-07
1852,1.7773788685282454e-07
1853,1.833383009852696e-07
1854,1.901613169152938e-07
1855,1.963566731433275e-07
1856,2.2469001237368502e-07
1857,2.1771531066860916e-07
1858,1.903639912370636e-07
1859,2.072514602158293e-07
1860,2.1375449063554264e-07
1861,1.8156460890317305e-07
1862,1.8026764792011818e-07
1863,2.1227138224944042e-07
1864,1.9035070264461496e-07
1865,2.292233168832425e-07
1866,2.1749289413897088e-07
1867,1.8440682936216035e-07
1868,1.8228135578723936e-07
1869,2.4319926283933313e-07
1870,2.092927786634391e-07
1871,1.6462824548035826e-07
1872,1.9351485558427584e-07
1873,1.6341792274943145e-07
1874,1.9596717704128963e-07
1875,3.015244898207925e-07
1876,2.2309794855956966e-07
1877,2.1213918399709542e-07
1878,1.5882802983924194e-07
1879,2.480386029901638e-07
1880,2.015203790506348e-07
1881,1.4642265910858043e-07
1882,2.2228985896433073e-07
1883,1.6809441660825541e-07
1884,2.257780371550666e-07
1885,1.60496327783477e-07
1886,1.7359817316986437e-07
1887,2.396115298397561e-07
1888,1.483703799820546e-07
1889,1.804359323065441e-07
1890,1.5796071828333424e-07
1891,1.5808065390032766e-07
1892,2.2315903436265216e-07
1893,1.5888714721690178e-07
1894,2.205538720545519e-07
1895,2.0824406021802133e-07
1896,2.3765026657684984e-07
1897,1.6314798489958093e-07
1898,2.2293917822935327e-07
1899,1.8849042149327033e-07
1900,1.5988443635706062e-07
1901,1.643089193592573e-07
1902,1.3355972683370965e-07
1903,1.6794685153698197e-07
1904,1.6016383419525937e-07
1905,1.563709992602469e-07
1906,1.4249391444565163e-07
1907,1.6148528625414826e-07
1908,1.5470874981104998e-07
1909,1.727308767129898e-07
1910,1.571180292536667e-07
1911,1.532267823733946e-07
1912,1.302355281396217e-07
1913,1.818925521868131e-07
1914,1.968842706645546e-07
1915,1.6257451540546697e-07
1916,1.2525707404620334e-07
1917,2.4564790668257785e-07
1918,1.5506608530557742e-07
1919,1.4824635663490682e-07
1920,1.877913464731762e-07
1921,1.6508590011676816e-07
1922,1.409185701461979e-07
1923,1.942718523828546e-07
1924,2.3849505825790374e-07
1925,1.847693908985093e-07
1926,1.4712902629554492e-07
1927,2.4193818415341184e-07
1928,1.8624447317705517e-07
1929,1.9384306604308676e-07
1930,1.9326629940863427e-07
1931,2.018748181953356e-07
1932,1.7644854022336176e-07
1933,2.2367791707722517e-07
1934,1.8811080693126314e-07
1935,1.6994962948047032e-07
1936,2.0490767083103378e-07
1937,1.8508943799844246e-07
1938,1.9188518041168834e-07
1939,1.8199920148731508e-07
1940,1.8257637179885933e-07
1941,2.0660518096349278e-07
1942,2.397027336620283e-07
1943,1.1903264174328854e-07
1944,2.3134940541069682e-07
1945,2.3745694655019634e-07
1946,2.0742445805410625e-07
1947,2.3364906631684335e-07
1948,2.6744844916493093e-07
1949,2.0615717222227659e-07
1950,1.935635776106892e-07
1951,2.3561698547780452e-07
1952,1.6977134542628392e-07
1953,2.5210756504634446e-07
1954,2.491996804465657e-07
1955,1.7551087294620515e-07
1956,2.1279585205036256e-07
1957,2.0143885759438263e-07
1958,2.1756000201378356e-07
1959,2.6430048682968277e-07
1960,2.3392416714784758e-07
1961,2.3762705136931572e-07
1962,2.955351572353493e-07
1963,2.5346927845504297e-07
1964,2.5005109360876077e-07
1965,2.3475066157629954e-07
1966,2.6310606049406715e-07
1967,2.825082323631989e-07
1968,2.7532379220929215e-07
1969,2.243628305365064e-07
1970,2.66726047470911e-07
1971,2.59489063125784e-07
1972,2.590724159645674e-07
1973,2.800707452621509e-07
1974,2.5371329126500086e-07
1975,2.478782459292006e-07
1976,2.3082648947791995e-07
1977,2.732703485719412e-07
1978,3.178216481103391e-07
1979,2.697759793335308e-07
1980,2.876686284736252e-07
1981,2.8591484735329686e-07
1982,3.140996049921796e-07
1983,3.75761301185662e-07
1984,3.380822040099929e-07
1985,3.5311325063958066e-07
1986,3.3689008027693035e-07
1987,3.324284261196908e-07
1988,3.1302010761180554e-07
1989,3.4904457635320796e-07
1990,3.846747613778234e-07
1991,3.751337658286502e-07
1992,3.840431119783716e-07
1993,3.849749177220474e-07
1994,3.739922913581495e-07
1995,3.6221972621319765e-07
1996,3.9128214979200493e-07
1997,4.2195071081607693e-07
1998,4.038605503353665e-07
1999,4.049198167876966e-07
2000,4.638933113199073e-07
2001,4.205963364256604e-07
2002,4.2497848440348207e-07
2003,4.4627744877345776e-07
2004,4.0435982739950305e-07
2005,4.278562251158746e-07
2006,4.756162894636873e-07
2007,5.772022575456504e-07
2008,5.270710410343327e-07
2009,5.793353885508168e-07
2010,6.466872761734521e-07
2011,7.055228365970834e-07
2012,7.036590279341226e-07
2013,7.327031461556999e-07
2014,8.207037076601864e-07
2015,8.23679435768554e-07
2016,8.161079758650658e-07
2017,9.114059604797831e-07
2018,9.288117048811273e-07
2019,9.17845408565654e-07
