year,pourrait_VERB aider_VERB,pourrait_VERB céder_VERB
1800,4.7162465932615305e-08,3.144164484325529e-09
1801,1.6668277424969347e-08,0.0
1802,6.713520406265161e-09,1.7902721083373763e-08
1803,2.7304748684287006e-08,3.900678446910888e-09
1804,1.4831105232815389e-08,1.730295728918918e-08
1805,1.421438877713399e-08,2.842877711017877e-09
1806,8.645007376628655e-09,0.0
1807,4.839823830593559e-08,3.4163463169534225e-08
1808,4.305540457494317e-08,1.3596443970698147e-08
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,7.020380277111826e-09,3.042164919975221e-08
1811,7.521229861140455e-09,7.521229861140455e-09
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,2.8757416004054903e-08,2.5881675469463516e-08
1814,3.1466772298927026e-08,1.8880061958270744e-08
1815,5.394447111228828e-09,0.0
1816,1.1588019432906549e-08,1.3905623319487859e-08
1817,9.341240669868967e-09,3.269434145636296e-08
1818,2.2650237241350624e-08,2.026600220972341e-08
1819,7.24573512300708e-09,2.4842520929269085e-08
1820,3.085285271708926e-08,1.6613073583471305e-08
1821,1.1833785507064931e-08,1.8736827200882544e-08
1822,4.0102463572111446e-08,2.606660132187244e-08
1823,2.3718449426723964e-08,5.929612356680991e-09
1824,3.8737120178211626e-08,3.8737120178211626e-08
1825,4.402721387464226e-08,1.1447076175841175e-08
1826,1.0569580766173203e-08,2.3781558056157337e-08
1827,3.96342727526644e-08,2.7651818612639545e-08
1828,9.172301140836225e-09,4.1275356466030644e-08
1829,3.1720752247110795e-08,4.886710414098161e-08
1830,1.0436835395921662e-08,1.461157062010443e-08
1831,1.2472964883158966e-08,5.14509785887185e-08
1832,3.6530916958099624e-08,2.1647950987357945e-08
1833,3.938433579264711e-08,4.749287541017111e-08
1834,3.173740381612333e-08,1.213489042584115e-08
1835,2.647080776796429e-08,2.4201881387853064e-08
1836,4.099657502365517e-08,3.2259599436201825e-08
1837,3.896418832027848e-08,2.0177884252348122e-08
1838,4.102905393210676e-08,2.651107955387033e-08
1839,6.571986688186371e-08,5.103776956616457e-08
1840,5.095751021144679e-08,5.223144583510475e-08
1841,5.072233477676491e-08,3.338685417020315e-08
1842,5.2995293486901573e-08,4.762868144325694e-08
1843,6.615740488769006e-08,3.7804230856863796e-08
1844,2.7991662321369404e-08,3.787107161201675e-08
1845,2.4553003186156275e-08,3.459741293454499e-08
1846,5.093416177714971e-08,2.6930706553685013e-08
1847,1.5640349459999925e-08,2.6966118227278457e-08
1848,1.850401076808339e-08,3.137636639394259e-08
1849,1.5920887719289567e-08,6.033178578945808e-08
1850,2.2403686017469226e-08,2.9192683825840504e-08
1851,3.031236062156495e-08,2.4507867735223954e-08
1852,5.2735419586724674e-08,2.8646400807019745e-08
1853,6.449686651421871e-08,3.4637203327747557e-08
1854,2.909572138776184e-08,2.961528799971802e-08
1855,4.7231740296638236e-08,4.776243400783642e-08
1856,4.4523826403519706e-08,1.9155599773057475e-08
1857,3.221796163188628e-08,2.7336451324799782e-08
1858,2.0553439838977283e-08,2.8872689128434104e-08
1859,5.092173438470127e-08,2.036869339860914e-08
1860,5.7214798232507746e-08,2.8378540406492903e-08
1861,3.065376574795664e-08,1.226150558863992e-08
1862,6.596260249125407e-08,2.5752521892741242e-08
1863,5.743813957792554e-08,3.9457503930862003e-08
1864,4.075518589274907e-08,2.3973639073915365e-08
1865,3.812543880599151e-08,3.6242703060906933e-08
1866,3.503241430280468e-08,4.2330832172865485e-08
1867,5.28956434209249e-08,3.202855580752839e-08
1868,4.0506968446152314e-08,4.198892966655876e-08
1869,5.616047005219116e-08,3.2231227464762924e-08
1870,3.039045992636602e-08,2.5229814681893004e-08
1871,9.877695106297324e-08,4.460894587055009e-08
1872,6.168286148522384e-08,1.9956219787786722e-08
1873,5.147963832996538e-08,2.5141218884527916e-08
1874,5.556386639682387e-08,1.7326366119618797e-08
1875,5.3210200690045895e-08,1.8881038954532414e-08
