year,montrant_VERB en_ADP
1800,1.0375742931501009e-07
1801,1.166779455274991e-07
1802,1.0294064622939914e-07
1803,1.3457341196954076e-07
1804,7.415552971679062e-08
1805,6.822906328807221e-08
1806,1.0085842205853623e-07
1807,7.686778502602465e-08
1808,9.744118045773575e-08
1809,4.51806094758922e-08
1810,7.020380365929668e-08
1811,3.760615285841595e-08
1812,1.4936365744233626e-07
1813,9.489947672136623e-08
1814,9.44003133440674e-08
1815,1.1867783911156948e-07
1816,7.879853569647821e-08
1817,4.981994905506326e-08
1818,9.775365583664097e-08
1819,9.729986771844779e-08
1820,1.1035827185423841e-07
1821,9.467028405651945e-08
1822,1.0426640528748976e-07
1823,1.610877973234892e-07
1824,1.271587990459011e-07
1825,1.5937851571834472e-07
1826,4.051672775062798e-08
1827,1.5669364472614689e-07
1828,1.4859128327771032e-07
1829,8.144517238406479e-08
1830,1.4715938334575185e-07
1831,1.8709447147102765e-07
1832,1.352997003323253e-07
1833,1.0888610546544442e-07
1834,8.027696907220161e-08
1835,1.3916081798015512e-07
1836,1.4046368335129955e-07
1837,1.1132625843401911e-07
1838,1.117252637072852e-07
1839,1.3283802502428443e-07
1840,1.3758527472873538e-07
1841,1.2263247128885268e-07
1842,1.82464816589345e-07
1843,1.0396163219184018e-07
1844,1.2074835353814706e-07
1845,1.5568835465273878e-07
1846,1.1767547647423271e-07
1847,1.024712474873013e-07
1848,1.5849086310026905e-07
1849,1.5920888074560935e-07
1850,1.4460562169915647e-07
1851,1.7671462160251394e-07
1852,1.4258094438446278e-07
1853,1.0570319375347026e-07
1854,2.0626788455047063e-07
1855,1.427566047595974e-07
1856,1.8482565167232679e-07
1857,1.6353055798390415e-07
1858,1.6393815371884557e-07
1859,1.4665459957541316e-07
1860,1.684403656554423e-07
1861,1.9618408941823873e-07
1862,1.7755685632891982e-07
1863,9.889349428249261e-08
1864,1.769254680539234e-07
1865,1.2237795488090342e-07
1866,1.3769684414910444e-07
1867,1.2229085655235394e-07
1868,1.5116015106286795e-07
1869,1.5920272744551767e-07
1870,1.370437701098126e-07
1871,1.1470871186247678e-07
1872,1.5118348528631032e-07
1873,1.3109350049944624e-07
1874,1.9775956161538488e-07
1875,1.361723462878217e-07
1876,2.0435530245777045e-07
1877,1.5152798482631624e-07
1878,8.635896620035055e-08
1879,1.3745982130330958e-07
1880,1.630132970831255e-07
1881,1.4014740656875802e-07
1882,1.6172586470020178e-07
1883,1.4787252666792483e-07
1884,1.8352717745528935e-07
1885,1.443822412738882e-07
1886,1.5101105077519605e-07
1887,1.7693385245820537e-07
1888,1.6802628977075074e-07
1889,1.2780878932971973e-07
1890,1.9335439560563827e-07
1891,1.7082909664623003e-07
1892,1.5733965597064525e-07
1893,2.0384358379033074e-07
1894,2.199237201239157e-07
1895,1.564839777756788e-07
1896,1.8752551511624915e-07
1897,1.6081729370398534e-07
1898,1.8729154760421807e-07
1899,1.8849041794055665e-07
1900,1.7597669454971765e-07
1901,1.9225261382871395e-07
1902,7.576567782052734e-07
1903,1.3608554638722126e-07
1904,1.569390519762237e-07
1905,1.2850290431742906e-07
1906,1.3374879870298173e-07
1907,1.4862817465655098e-07
1908,1.4439483209116588e-07
1909,1.8978393256929849e-07
1910,1.6834074756388873e-07
1911,1.4631028477651853e-07
1912,1.4846850149297097e-07
1913,1.82422851935371e-07
1914,1.727759837422127e-07
1915,1.649306682338647e-07
1916,1.7579938571543607e-07
1917,1.7984936562243092e-07
1918,1.9297112885396928e-07
1919,1.9704795306552114e-07
1920,1.953635830886924e-07
1921,1.8326048234484915e-07
1922,1.4977209161770588e-07
1923,1.5499284700126736e-07
1924,1.7016944298120507e-07
1925,1.462757666104153e-07
1926,1.270659737429014e-07
1927,1.8730698059243878e-07
1928,1.9652790683721832e-07
1929,1.7156226306269673e-07
1930,1.5335261593918403e-07
1931,1.7336142832391488e-07
1932,1.6987281981073465e-07
1933,1.8926593270407466e-07
1934,1.9769606751651736e-07
1935,1.9388620842164528e-07
1936,2.000577836724915e-07
1937,1.561298716978854e-07
1938,1.5687909638018027e-07
1939,2.2176372738158534e-07
1940,1.927194972495272e-07
1941,1.9775067983118788e-07
1942,1.8812113466992741e-07
1943,2.2645234309948137e-07
1944,2.0243072640369064e-07
1945,1.8735134688085964e-07
1946,1.5034792966162058e-07
1947,1.5020297894352552e-07
1948,2.1743775846516655e-07
1949,1.531453364123081e-07
1950,1.5208567560875963e-07
1951,1.6738400177018775e-07
1952,2.0456919003208895e-07
1953,1.8315506622457178e-07
1954,1.3681550115052232e-07
1955,1.7551086273215333e-07
1956,1.93609338339229e-07
1957,2.164584174124684e-07
1958,1.6875377184533136e-07
1959,1.5889033022631338e-07
1960,1.7578916811089584e-07
1961,1.681454477875377e-07
1962,1.6933023516685353e-07
1963,1.7329023194179172e-07
1964,1.6852592921168252e-07
1965,1.4555635630131292e-07
1966,1.816816563859902e-07
1967,1.410076038155239e-07
1968,1.5854698176553939e-07
1969,1.344360356370089e-07
1970,1.278445580510379e-07
1971,1.3719521518851252e-07
1972,1.3389683317655e-07
1973,1.4885650045926013e-07
1974,1.3613883709240326e-07
1975,1.4221585331597453e-07
1976,1.4626628797032026e-07
1977,1.5455935908903484e-07
1978,1.2891082690202893e-07
1979,1.498105177688558e-07
1980,1.6828046511818684e-07
1981,1.644642821929665e-07
1982,1.6015356152365712e-07
1983,2.0903695485685603e-07
1984,1.4729481279118772e-07
1985,1.47381172155292e-07
1986,1.2648364133838186e-07
1987,1.3810445409490058e-07
1988,1.5471108838482905e-07
1989,1.6189960660994984e-07
1990,1.3185734815124306e-07
1991,1.5239810124967335e-07
1992,1.1791280485340394e-07
1993,1.495586019473194e-07
1994,1.3029068668402033e-07
1995,1.4586392182991403e-07
1996,1.7829228227128624e-07
1997,1.519981509545687e-07
1998,1.5782507034600712e-07
1999,1.4533239323100133e-07
2000,1.6611798514531984e-07
2001,1.476468440841927e-07
2002,1.6955327453160862e-07
2003,1.800110709382352e-07
2004,1.6826302839945129e-07
2005,1.8105073706919939e-07
2006,1.5565623812108242e-07
2007,1.633742101603275e-07
2008,1.519905907798602e-07
2009,1.6354900367332448e-07
2010,1.4785472046696668e-07
2011,1.3957497912997496e-07
2012,1.5217010229662264e-07
2013,1.238371538647698e-07
2014,1.3165906409540185e-07
2015,1.1437528968372135e-07
2016,1.3401570697624265e-07
2017,1.2578057351220195e-07
2018,1.5204838632598694e-07
2019,1.232127146977291e-07
