year,aimant_VERB en_ADP
1800,5.973912209356058e-08
1801,6.667310969987739e-08
1802,1.1189200677108602e-08
1803,2.7304748684287006e-08
1804,1.2359254952798437e-08
1805,3.1271653710973624e-08
1806,1.4408345627714425e-08
1807,4.27043254092041e-08
1808,4.305540635130001e-08
1809,1.129515236897305e-08
1810,3.2761775958789485e-08
1811,4.262030373070047e-08
1812,7.734904095002548e-08
1813,2.5881675469463516e-08
1814,0.0
1815,6.47333635583891e-08
1816,1.1588019432906549e-08
1817,3.89218364205135e-08
1818,3.9339884239097955e-08
1819,2.5877625375869684e-08
1820,2.610625848831205e-08
1821,1.2819934447350079e-08
1822,6.215881853677274e-08
1823,2.1741910716244206e-08
1824,4.54740085586991e-08
1825,3.434122675116669e-08
1826,2.554315514657901e-08
1827,1.6591091500650634e-08
1828,4.861319524707142e-08
1829,2.3147576133641934e-08
1830,1.6698937344017395e-08
1831,8.731075240575592e-08
1832,6.088486514954639e-08
1833,4.51761508202253e-08
1834,6.067445212920575e-08
1835,2.4958190181223472e-08
1836,4.032450107160912e-08
1837,4.0355768504696243e-08
1838,2.9667161172142187e-08
1839,4.61437359433603e-08
1840,4.331388153699933e-08
1841,3.723918240439161e-08
1842,2.2808102073668124e-08
1843,2.3036953678001737e-08
1844,1.4819115712327857e-08
1845,3.459741293454499e-08
1846,6.674131336481537e-08
1847,2.8044762956369595e-08
1848,5.873011943435813e-08
1849,3.9383248662261394e-08
1850,6.85688590351674e-08
1851,2.8377529659451284e-08
1852,5.4037528229855525e-08
1853,5.01642283268211e-08
1854,9.144369084168602e-08
1855,4.086341576226005e-08
1856,8.024642994541864e-08
1857,4.637433642651345e-08
1858,4.208561321661364e-08
1859,4.481112658716313e-08
1860,5.8587953821742644e-08
1861,4.810282866474225e-08
1862,3.7499287230957634e-08
1863,3.296449824219394e-08
1864,3.9796242301548546e-08
1865,3.765475553585418e-08
1866,3.2113046444237625e-08
1867,6.357182869010103e-08
1868,7.558007508734477e-08
1869,5.078860043639111e-08
1870,2.9243649279919737e-08
1871,2.761506068260644e-08
1872,6.41017957603296e-08
1873,6.764185345176088e-08
1874,6.392831863877291e-08
1875,6.293679888358383e-08
1876,1.1306047653647511e-07
1877,6.061119739442233e-08
1878,1.6365930832762388e-07
1879,1.0141480055736452e-07
1880,7.893951070592209e-08
1881,1.011013606166955e-07
1882,7.587139094766826e-08
1883,1.3333805637394391e-07
1884,1.2477207178562821e-07
1885,1.2311163655187585e-07
1886,6.388929157941092e-08
1887,1.0315700915697334e-07
1888,6.847863898151729e-08
1889,6.265136587302322e-08
1890,7.865263995654459e-08
1891,8.477712754029199e-08
1892,6.581938127858677e-08
1893,4.98831732587135e-08
1894,3.213785149114301e-08
1895,9.148293766969573e-08
1896,5.130415065002225e-08
1897,5.127508018176741e-08
1898,2.8291774256672397e-08
1899,5.527578572639413e-08
1900,5.8658900403685266e-08
1901,4.4151036826534096e-08
1902,1.1539167132923467e-07
1903,5.130209146386733e-08
1904,4.944654996563713e-08
1905,3.664138792380811e-08
1906,2.8293015652547382e-08
1907,1.9542804707839423e-08
1908,3.634427958587594e-08
1909,3.6306491479898284e-08
1910,4.542528220241593e-08
1911,3.830669470517023e-08
1912,2.7088990162127402e-08
1913,4.931780495098792e-08
1914,2.0090231978020512e-08
1915,2.591767689352764e-08
1916,4.394984842726046e-08
1917,2.6319418644504822e-08
1918,2.412139021856774e-08
1919,2.854433056587169e-08
1920,2.95317041931753e-08
1921,2.650461605746557e-08
1922,1.8444838545406128e-08
1923,2.0170301873179142e-08
1924,3.093989942026809e-08
1925,2.0896537833436923e-08
1926,2.7865347029809584e-08
1927,1.5608915049369898e-08
1928,1.9424270192303084e-08
1929,2.33948540540041e-08
1930,1.9956846175617216e-08
1931,1.8248570654577634e-08
1932,2.9590749406338546e-08
1933,2.7529588608743438e-08
1934,1.0783422155213884e-08
1935,1.795242710045386e-08
1936,2.3036957230715416e-08
1937,2.0145789036973838e-08
1938,3.8895642262559704e-08
1939,1.6823455517567254e-08
1940,1.7750480196809804e-08
1941,9.73995870623412e-08
1942,5.158160010232393e-08
1943,5.516146828199453e-08
1944,9.639558484764166e-09
1945,2.832055301382752e-08
1946,3.6194869323935563e-08
1947,3.33784391237657e-08
1948,3.587722829934137e-08
1949,2.846932467548413e-08
1950,2.552486688678357e-08
1951,2.5587365115598004e-08
1952,2.5307528517259925e-08
1953,2.5857186614075545e-08
1954,2.4431340062136542e-08
1955,1.595553333899602e-08
1956,2.267496879149178e-08
1957,3.3573144264664734e-08
1958,2.3162280982091943e-08
1959,2.1702094343822864e-08
1960,3.7372499539500836e-08
1961,1.3201502280235644e-08
1962,2.1562652552375994e-08
1963,1.7458344103715717e-08
1964,1.886030154274465e-08
1965,2.2435377999840966e-08
1966,1.550940920136412e-08
1967,1.7256173767687955e-08
1968,1.8414804736632817e-08
1969,1.2262745902047456e-08
1970,1.2416557337857625e-08
1971,1.0790634275004152e-08
1972,1.0260293947794707e-08
1973,1.9847533394568018e-08
1974,1.5189044022534404e-08
1975,1.028066431985053e-08
1976,7.998937512354587e-09
1977,1.4104276691018214e-08
1978,1.2475241728537867e-08
1979,7.022368020415115e-09
1980,1.1370301367108482e-08
1981,9.488323904349727e-09
1982,1.1794254461960918e-08
1983,1.2630632317822688e-08
1984,4.639206907519622e-09
1985,1.3835783851945394e-08
1986,1.9182352650748413e-08
1987,1.4054878594293996e-08
1988,1.1393452292729478e-08
1989,1.481792966107065e-08
1990,7.083246489347772e-09
1991,4.10302547493302e-09
1992,1.1570882918476855e-08
1993,1.1078414630105726e-08
1994,1.0549853435293244e-08
1995,7.049186012686448e-09
1996,1.3879040139386234e-08
1997,8.630809844589749e-09
1998,1.0013071261028017e-08
1999,1.2339542720951613e-08
2000,1.0603275146792157e-08
2001,8.762423842068046e-09
2002,1.3581786695304743e-08
2003,6.667076668520622e-09
2004,1.3654853081579432e-08
2005,9.457874483587148e-09
2006,1.0706514064207084e-08
2007,1.0385647009059085e-08
2008,1.5752526560941504e-08
2009,8.582746957586096e-09
2010,8.502827775203059e-09
2011,1.0324724186716594e-08
2012,1.5999987779125036e-08
2013,1.227215012944427e-08
2014,1.5158116373203967e-08
2015,1.2634479795714526e-08
2016,2.3199007714858055e-08
2017,1.6854595275006545e-08
2018,1.0067720546125258e-08
2019,1.6326321738979743e-08
