year,voulait_VERB aider_VERB,voulait_VERB céder_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,2.3811825400343878e-08,9.524730337773235e-09
1802,2.2378401354217203e-09,1.3427040812530322e-08
1803,9.751696339321825e-09,1.3652374342143503e-08
1804,1.4831105943358125e-07,1.9774807569206132e-08
1805,0.0,1.7057265822018053e-08
1806,0.0,0.0
1807,0.0,8.540865792383556e-09
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,6.551188391767937e-08
1810,4.680253518074551e-09,4.914266327205041e-08
1811,0.0,6.769107585569145e-08
1812,0.0,1.8670457180292033e-08
1813,1.1502966579257645e-08,4.888760685162197e-08
1814,3.1466772298927026e-08,1.8880061958270744e-08
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,9.270415546325239e-09,1.1588019432906549e-08
1817,0.0,2.6466848268569265e-08
1818,7.152706427149269e-09,1.4305412854298538e-08
1819,1.5526575580793178e-08,5.2790355198339967e-08
1820,5.933240565525466e-09,4.746592452420373e-08
1821,2.2681422962023134e-08,4.832129363308013e-08
1822,1.1028177482330648e-08,3.0076847679083585e-08
1823,5.336650943377208e-08,5.435477845594505e-08
1824,2.0210670470532932e-08,5.894779064874456e-08
1825,1.7610886970942374e-08,3.6982861217893515e-08
1826,2.6423952803611428e-08,5.2847905607222856e-08
1827,1.935627302884768e-08,9.8624823863247e-08
1828,1.8344602503717056e-09,2.109629271274116e-08
1829,2.6576845613135447e-08,3.3435387791769244e-08
1830,7.305785310052215e-09,4.0703660886265425e-08
1831,2.182768810143898e-08,3.1182413096075834e-08
1832,1.3529969367098715e-09,5.276687886635045e-08
1833,2.3167257001688313e-09,2.89590715851773e-08
1834,9.334531370086552e-09,2.8937046536725575e-08
1835,2.2689263801112247e-08,4.840376277570613e-08
1836,6.048674894287842e-09,3.36037508930076e-08
1837,2.2265250976261086e-08,9.810626266926192e-08
1838,2.398621568033832e-08,7.637716237240966e-08
1839,1.677954131196202e-08,6.222413162504381e-08
1840,2.356784811752277e-08,5.6690229399691816e-08
1841,1.733548060656176e-08,3.274479709602929e-08
1842,1.341653010911159e-08,8.251166150330391e-08
1843,9.451057714215949e-09,8.624090241937665e-08
1844,2.7442807137845193e-08,8.177956090094085e-08
1845,2.17628883802945e-08,9.095771247302764e-08
1846,2.517435504501009e-08,4.4494210982293225e-08
1847,4.314578916364553e-08,4.368511241636952e-08
1848,2.091757700384278e-08,3.137636639394259e-08
1849,1.5920887719289567e-08,5.781796375003978e-08
1850,1.968808760466345e-08,4.073397619208663e-08
1851,3.8696632564949596e-09,6.642921590582773e-08
1852,4.557382027314816e-09,3.320378283433456e-08
1853,1.970737528722566e-08,5.01642283268211e-08
1854,1.1430461910322265e-08,5.299577665596189e-08
1855,2.812676669350367e-08,4.192480318465641e-08
1856,2.5885945831305435e-08,6.471486813097727e-08
1857,1.3180074809326925e-08,5.564920257938866e-08
1858,3.131952652779546e-08,5.334106845111819e-08
1859,1.6804172275897145e-08,4.53203412575931e-08
1860,1.0985241161165504e-08,4.622955884769908e-08
1861,1.7920662287451705e-08,6.460870594082735e-08
1862,1.355395884417021e-08,5.511943257374696e-08
1863,1.39849385405455e-08,5.3442441583229083e-08
1864,2.6371003158942585e-08,3.16452037907311e-08
1865,2.3534221682552925e-08,4.000817810378976e-08
1866,2.1895258939252926e-08,3.16264845423575e-08
1867,1.844068364675877e-08,6.114542827617697e-08
1868,1.679557115608077e-08,4.4952855660085334e-08
1869,1.3673853160867111e-08,5.7137174991339634e-08
1870,2.6376625328339287e-08,5.390005952676802e-08
1871,1.4869648623516696e-08,3.3987767267262825e-08
1872,2.4189358072135292e-08,2.7817760539505798e-08
1873,2.9930022904522957e-09,4.19020302899753e-08
1874,1.6131444624534197e-08,3.2262889249068394e-08
1875,1.602027666081085e-08,4.63443683429432e-08
1876,2.418405919968336e-08,2.7811667635546655e-08
1877,1.4843558382438005e-08,3.277952487223956e-08
1878,1.0266450800600069e-08,4.650098262004576e-08
1879,1.0996785704264767e-08,4.215434401544371e-08
1880,1.7969970400599777e-08,3.5939940801199555e-08
1881,1.673401861523871e-08,3.765154232837631e-08
1882,9.317538740560849e-09,3.1945848633085916e-08
1883,5.687405213450347e-09,4.1707636455612374e-08
1884,2.442627788923346e-08,4.093052297093891e-08
1885,7.090199094506033e-09,4.254119545521462e-08
1886,3.226731948302586e-08,4.2592862570245416e-08
1887,1.4363633837888301e-08,4.0479331886444925e-08
1888,8.242799331981132e-09,2.282621380800265e-08
1889,1.50363277384713e-08,3.696430539434914e-08
1890,1.6385966361553983e-08,4.260351360585446e-08
1891,1.211101796627645e-08,3.1871099537283953e-08
1892,6.268512375839919e-09,4.0745330665004076e-08
1893,8.005941687372342e-09,3.633465794905533e-08
1894,8.192000855444803e-09,2.3945849747519787e-08
1895,1.5046536461227333e-08,2.9491211250842753e-08
1896,2.4767521367152767e-08,4.009979548413867e-08
1897,1.4566784223291052e-08,3.4960280004270317e-08
1898,1.584339415217073e-08,1.810673566637888e-08
1899,1.6029977345510815e-08,3.040167939616367e-08
1900,1.8168686111152965e-08,3.426094963288051e-08
1901,1.5648469187112823e-08,1.900171220370339e-08
1902,1.2275709337927765e-08,1.6203935970793282e-08
1903,2.2680925582108102e-08,3.726151831529023e-08
1904,1.666133897515465e-08,1.8811189050893518e-08
1905,2.4255568220610257e-08,2.580379465655369e-08
1906,1.7490227932626112e-08,2.6749759740596346e-08
1907,1.131425531042396e-08,2.0057088434555226e-08
1908,1.276961114626829e-08,1.5716445034286153e-08
1909,6.0510818578052294e-09,3.5206294768386215e-08
1910,1.2291546447329438e-08,2.778958396731923e-08
1911,1.1172785363555704e-08,4.62872549178428e-08
