year,marchant_VERB en_ADP,marchant_VERB sans_ADP
1800,0.0,4.7162465932615305e-08
1801,2.3811825844433088e-09,3.5717738988694236e-08
1802,0.0,3.3567602031325805e-08
1803,3.900678446910888e-09,6.436119548425268e-08
1804,2.4718509461507665e-09,3.707776485839531e-08
1805,2.842877711017877e-09,3.980028751016107e-08
1806,0.0,7.204172902675055e-08
1807,0.0,7.117387568200684e-08
1808,4.5321478125970316e-08,1.0650547643820119e-07
1809,0.0,2.710836710662079e-08
1810,0.0,5.148278958699848e-08
1811,2.5070767684098882e-09,4.763445815569867e-08
1812,0.0,6.13457871168066e-08
1813,0.0,9.489947672136623e-08
1814,6.293354282149721e-09,1.258670891957081e-07
1815,0.0,1.3486117778072071e-08
1816,2.3176038865813098e-09,7.879853569647821e-08
1817,3.113746815941454e-09,9.185553118129519e-08
1818,2.384235475716423e-09,6.556647491606782e-08
1819,8.280840013696888e-09,1.0247539705687814e-07
1820,2.966620282762733e-08,1.1629151597247755e-07
1821,0.0,7.297501269931672e-08
1822,9.023054303725075e-09,6.616906489398389e-08
1823,2.9648061783404955e-09,1.1167436364534211e-07
1824,7.57900142644985e-09,1.5494847982466808e-07
1825,2.201360693732113e-08,1.1447075820569808e-07
1826,1.0569581432307018e-08,8.367585024871005e-08
1827,1.566936447261469e-08,6.636436467033491e-08
1828,5.503380862137419e-09,6.787502560001712e-08
1829,0.0,7.544394908798324e-08
1830,8.349468672008697e-09,8.766942305449277e-08
1831,1.5591205659859497e-08,1.02901957177437e-07
1832,1.3529969367098715e-09,6.3590853471851e-08
1833,8.108539617524002e-09,1.0077756940063409e-07
1834,9.334531370086552e-09,7.000898261111388e-08
1835,1.5126175867408165e-09,8.773182003096736e-08
1836,5.376600220596828e-09,9.812294832212132e-08
1837,1.1132625044041333e-08,1.1897993879017577e-07
1838,1.0730675681358548e-08,7.511472688292997e-08
1839,1.0487212431797843e-08,8.669429452101696e-08
1840,2.229390982932955e-08,8.28059526503111e-08
1841,1.2841097518645483e-08,1.1621193074518033e-07
1842,8.049918065466954e-09,8.720744482104692e-08
1843,7.678984614845064e-09,5.611565612184677e-08
1844,2.360081374774836e-08,1.0098952518688975e-07
1845,6.696273757711424e-09,1.6015254100665288e-07
1846,2.2247105491146613e-08,9.308657200612913e-08
1847,8.089835468183537e-09,9.060615457912036e-08
1848,1.0458787835787575e-08,7.079795238951192e-08
1849,1.3407063903514427e-08,6.787325901314034e-08
1850,1.1541293254424545e-08,8.214685465190996e-08
1851,7.739326512989919e-09,6.384944128967618e-08
1852,3.3203782168200746e-08,1.0807505113064053e-07
1853,6.569125243771623e-09,1.2839654095486708e-07
1854,6.754363734984281e-09,6.806320129726373e-08
1855,5.306937111981824e-09,7.217434472295281e-08
1856,6.2126271904716646e-09,8.024643322057656e-08
1857,2.928905395993553e-09,1.2643108537879755e-07
1858,1.468102750479261e-09,5.872411179552728e-08
1859,9.675129142294736e-09,7.383651023928905e-08
1860,1.7393299023282793e-08,7.460809747783514e-08
1861,7.073945706981277e-09,5.3290390100713125e-08
1862,7.6805766469068e-09,8.132375486913368e-08
1863,1.048870412745373e-08,5.2942981110248866e-08
1864,5.274200853833122e-09,5.753673359976119e-08
1865,1.1296426238871504e-08,8.236977810938129e-08
1866,3.8924903300596725e-09,8.2715422067281e-08
1867,2.426405742994575e-09,4.658699204185268e-08
1868,3.457911734727759e-09,8.447184640658634e-08
1869,1.0255390314739543e-08,6.739256219745471e-08
1870,5.734048791339319e-09,6.651496553544689e-08
1871,2.1242354542039266e-09,7.009977309735405e-08
1872,3.628403577593531e-09,5.744972497723211e-08
1873,2.9930022904522957e-09,5.028243821314504e-08
1874,1.7923826867161097e-09,7.28902298519074e-08
1875,1.2015206607429718e-08,4.691652222277298e-08
1876,8.464420497844571e-09,7.376138144721267e-08
1877,1.7317484779511005e-08,6.246663986075873e-08
1878,3.6234530931267273e-09,4.40853482608361e-08
1879,3.054662633950045e-09,7.392283496443497e-08
1880,4.492492600149944e-09,5.968597105443507e-08
1881,4.880755244407453e-09,5.6477310439451145e-08
1882,1.9966155395678697e-09,3.6604619113589365e-08
1883,5.687404991405742e-09,6.066565411133595e-08
1884,3.9610181801208455e-09,4.357120086950772e-08
1885,8.379326343899152e-09,3.093905048823231e-08
1886,6.453463874400711e-10,6.647067607445933e-08
1887,3.917354718385724e-09,6.724792456225259e-08
1888,8.87686080197625e-09,5.32611650339021e-08
1889,5.638623234993645e-09,7.768769449967294e-08
1890,1.1142456735058204e-08,5.83340380444497e-08
1891,5.736798147637501e-09,7.521579714619975e-08
1892,1.0656470816883257e-08,6.331197499598318e-08
1893,4.310891643655168e-09,5.173069816954978e-08
1894,5.671385139294216e-09,7.750893438185358e-08
1895,9.629783415121551e-09,7.523268319431509e-08
1896,2.948514543632541e-09,5.95599916053402e-08
1897,2.9133566670225264e-09,4.311768009301886e-08
1898,2.8291773368493978e-09,3.9042650223919395e-08
1899,4.9748205555033564e-09,5.5275783950037294e-08
1900,6.229263549428765e-09,5.4506057889369686e-08
1901,2.7943695135590474e-09,5.7564012445610047e-08
1902,2.9461704187383475e-09,4.910283735171106e-08
1903,3.2401321625741275e-09,6.480264391761636e-08
1904,9.13686282189019e-09,7.094505161120424e-08
1905,6.708986921566407e-09,4.696290778483103e-08
1906,1.1317205617089598e-08,6.070137681390975e-08
1907,4.6285588695127444e-09,6.017126841229015e-08
1908,6.875944702500192e-09,5.2551861307037484e-08
