year,ont_VERB eu_VERB,ont_VERB su_VERB
1800,2.362210761930328e-05,3.1818944989936426e-06
1801,2.500003574823495e-05,2.1335395103960764e-06
1802,2.6243151296512224e-05,2.1281859972077655e-06
1803,2.211489663750399e-05,2.4652288175275316e-06
1804,2.432795736240223e-05,1.98984002963698e-06
1805,2.517652501410339e-05,2.0554005004669307e-06
1806,2.4070583094726317e-05,2.772165771602886e-06
1807,2.3202685042633675e-05,1.947317286976613e-06
1808,2.398865944996942e-05,2.234349040008965e-06
1809,2.3173135559773073e-05,1.8343328065384412e-06
1810,2.3927796064526774e-05,2.272263145641773e-06
1811,2.2247799279284663e-05,1.9580270418373402e-06
1812,2.2961996364756487e-05,1.557649625283375e-06
1813,2.6123236239072867e-05,2.5996705517172813e-06
1814,2.9440310754580423e-05,2.243580865979311e-06
1815,2.6891319066635333e-05,2.095742729579797e-06
1816,2.431166467431467e-05,1.8123662357538706e-06
1817,2.4855484298313968e-05,2.2948313471715664e-06
1818,2.360750841035042e-05,2.0301765744079603e-06
1819,2.4495759134879336e-05,2.384882009209832e-06
1820,2.6039806471089832e-05,2.444495066811214e-06
1821,2.464583121764008e-05,2.3332281671173405e-06
1822,2.455774665577337e-05,1.969031018234091e-06
1823,2.2165879272506572e-05,1.8480624248695676e-06
1824,2.2020367396180518e-05,2.1280152395775076e-06
1825,2.2145688490127213e-05,1.8148018625652185e-06
1826,2.1635052689816803e-05,1.8162063497584313e-06
1827,2.305147791048512e-05,1.8508284256313345e-06
1828,2.3053662516758777e-05,1.8949974673887482e-06
1829,2.5049963369383477e-05,2.185302491852781e-06
1830,2.4454549929942004e-05,1.9798676476057153e-06
1831,2.6826228349818848e-05,1.9301912743685534e-06
1832,2.500744267308619e-05,2.010553544096183e-06
1833,2.2680744223180227e-05,2.027134996751556e-06
1834,2.353701893298421e-05,1.8006310256168945e-06
1835,2.190799750678707e-05,1.479339971410809e-06
1836,2.2298105250229128e-05,1.6304539940392715e-06
1837,2.35128009080654e-05,1.6858970184330246e-06
1838,2.2556510884896852e-05,1.5830902384550427e-06
1839,2.3313772544497624e-05,1.588463192092604e-06
1840,2.3734097339911386e-05,1.8917975239673979e-06
1841,2.4334520276170224e-05,1.911397248477442e-06
1842,2.3593638616148382e-05,1.8306855054106563e-06
1843,2.5166984414681792e-05,2.176106136175804e-06
1844,2.2509688278660178e-05,1.8562313925940543e-06
1845,2.272268829983659e-05,1.8314308363187592e-06
1846,2.4550265152356587e-05,1.967697926374967e-06
1847,2.4737099010962993e-05,1.9717624581971904e-06
1848,2.691046211111825e-05,1.8463783817423973e-06
1849,2.5341863874928094e-05,1.8828545762517024e-06
1850,2.4255725293187425e-05,1.6307168380080839e-06
1851,2.3928063455969095e-05,1.9703036286955466e-06
1852,2.4230948838521726e-05,1.6764654446888017e-06
1853,2.3973125280463137e-05,1.779038484528428e-06
1854,2.37540589296259e-05,1.8933001229015645e-06
1855,2.324916022189427e-05,1.8940459085570183e-06
