year,volant_VERB en_ADP,volant_VERB sans_ADP
1800,6.288328791015374e-08,4.7162468153061354e-08
1801,2.1430642593855964e-08,3.095537337571841e-08
1802,4.2518962573012686e-08,5.147032311469957e-08
1803,2.7304748240197796e-08,2.3404069793286908e-08
1804,1.2359254508709228e-08,9.145848167690929e-08
1805,3.1271654599152043e-08,5.401467717547348e-08
1806,8.645007376628655e-09,0.0
1807,2.2775640928784924e-08,4.555128185756985e-08
1808,9.064295980465431e-09,4.5321479902327155e-09
1809,6.7770917766551975e-09,2.9367397402779716e-08
1810,2.3401266702194334e-08,2.106114038724627e-08
1811,1.2535384286138651e-08,4.011322829455821e-08
1812,0.0,0.0
1813,0.0,1.7254450312975678e-08
1814,3.1466771410748606e-09,3.776012391654149e-08
1815,5.394447111228828e-09,0.0
1816,9.270415546325239e-09,1.8540831092650478e-08
1817,8.251428984529241e-08,0.0
1818,4.2916237230627985e-08,1.0729059418679299e-08
1819,3.2088255608186955e-08,1.035105001712111e-09
1820,2.8479554714522237e-08,3.5599443393152796e-09
1821,1.97229765852569e-09,9.86148829262845e-10
1822,2.3058916553964082e-08,2.3058916553964082e-08
1823,1.581229902569703e-08,9.882687224127551e-09
1824,2.189489300974401e-08,2.6947560627377243e-08
1825,3.610231757988913e-08,1.4088708644166559e-08
1826,1.2331177745572575e-08,7.927186018719112e-09
1827,3.410390991831491e-08,7.373818444733615e-09
1828,1.834460228167245e-08,1.4675681558884435e-08
1829,4.286587973467704e-09,6.001223074036943e-09
1830,1.2524203008013046e-08,5.218417920005436e-09
1831,4.677361609140007e-09,3.1182412207897414e-09
1832,2.841293600397421e-08,9.470978667991403e-09
1833,2.7800708068959068e-08,8.108539617524002e-09
1834,2.98704991852361e-08,3.733812370398937e-09
1835,1.2100940693926532e-08,7.563087933704082e-09
1836,2.688299982622766e-08,1.344150035720304e-08
1837,1.2524203896191466e-08,1.3915781860163179e-09
1838,2.398621568033832e-08,6.312162126320686e-09
1839,2.7965899818127582e-08,2.7965900706306e-09
1840,1.0828470564661075e-08,7.0066574764382494e-09
1841,2.1829865470834875e-08,7.0626033910059505e-09
1842,1.9453968214122597e-08,2.0124795163667386e-09
1843,1.7720733547221812e-08,3.5441467538532834e-09
1844,1.3721403568922597e-08,4.390849073221403e-09
1845,2.0088820607000457e-08,1.4508592993678349e-08
1846,3.4541559612577544e-08,1.9319854382970902e-08
1847,1.4561703842730367e-08,1.6179670936367074e-09
1848,4.02261068899179e-09,2.4135665133151463e-09
1849,1.8434713311421547e-08,1.6758829879393033e-09
1850,4.0055077477063605e-08,1.0183494048021657e-08
1851,1.6768540334055615e-08,6.449438760824933e-10
1852,3.190167419120371e-08,1.4974254725075298e-08
1853,2.9859659633757474e-08,4.777545470346922e-09
1854,1.8184825922862302e-08,8.313063126763609e-09
1855,3.237231638308913e-08,2.653468555990912e-09
1856,2.588594649743925e-08,8.283502495043393e-09
1857,2.880090299584026e-08,3.4170564155999728e-09
1858,3.81706745655741e-08,1.9574704079872163e-09
1859,2.8516170758052795e-08,6.619825576592575e-09
1860,2.6089947979812678e-08,1.876645328025006e-08
1861,1.9807047113573617e-08,2.357981809808507e-09
1862,2.6656119145318513e-08,4.066187830886747e-09
1863,3.745965782009364e-08,0.0
1864,1.6781548595190543e-08,1.4384183844029508e-09
1865,2.588764314026548e-08,1.882737743486018e-09
1866,3.113992264047738e-08,1.4596839292835284e-09
1867,1.94112459439566e-08,1.94112459439566e-09
1868,1.877152122631287e-08,4.93987406535723e-09
1869,1.9045723886890187e-08,8.790334127262156e-09
1870,1.3761717099214366e-08,4.587239033071455e-09
1871,2.0180236148803488e-08,3.18635318130589e-09
1872,2.53988243770209e-08,1.2094678591978436e-09
1873,1.9155215191801744e-08,2.9930022904522957e-09
1874,2.8080663128093875e-08,2.3898436563030145e-09
1875,2.460256709468922e-08,8.010138330405425e-09
1876,2.1765654167893445e-08,6.04601479992084e-10
