year,puissent_VERB ôter_VERB,puissent_VERB sauter_VERB
1800,0.0,1.5720821977538435e-08
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,1.950339267864365e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,3.1271653710973624e-08
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,5.693910232196231e-09,8.540865792383556e-09
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,0.0,5.394447111228828e-09
1816,2.0858434979231788e-08,4.6352077731626196e-09
1817,1.556873407970727e-09,3.113746815941454e-09
1818,4.768470951432846e-09,0.0
1819,1.035105001712111e-09,0.0
1820,7.119888678630559e-09,2.3732962262101864e-09
1821,9.86148829262845e-10,0.0
1822,1.1028177482330648e-08,0.0
1823,2.9648061783404955e-09,0.0
1824,6.736890156844311e-09,0.0
1825,1.7610886082763955e-09,3.522177216552791e-09
1826,1.0569580766173203e-08,0.0
1827,2.7651818612639545e-09,0.0
1828,8.255071293206129e-09,0.0
1829,0.0,2.571952872898464e-09
1830,0.0,0.0
1831,4.677361609140007e-09,0.0
1832,5.411987746839486e-09,0.0
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,3.733812370398937e-09,3.733812370398937e-09
1835,9.832014313815307e-09,3.781543966852041e-09
1836,7.392825018825988e-09,1.3441500135158435e-09
1837,2.1569462660409044e-08,1.1828414692161004e-08
1838,1.8936485712828244e-09,6.312161904276081e-10
1839,8.38977065598101e-09,6.9914751765765e-10
1840,3.821813088222825e-09,6.369688665408546e-10
1841,6.420548537278137e-10,0.0
1842,1.341653010911159e-09,6.708265054555795e-10
1843,1.7720733769266417e-09,1.1813822142769936e-09
1844,3.841992946007622e-09,0.0
1845,7.812318791877715e-09,0.0
1846,4.0981511517657054e-09,0.0
1847,7.550513103637968e-09,2.6966118227278457e-09
1848,4.82713291560799e-09,0.0
1849,2.513824481908955e-09,0.0
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,0.0,0.0
1852,7.812654523320361e-09,6.510545436100301e-10
1853,3.5831591027601917e-09,1.1943863675867306e-09
1854,1.0391328908454511e-09,1.558699391779328e-09
1855,1.0613874223963649e-09,5.306937111981824e-10
1856,1.5531567143511893e-09,5.177189232874468e-10
1857,1.9526036343364694e-09,1.4644527812635033e-09
1858,6.361778659424999e-09,4.893676019968041e-10
1859,2.036869339860914e-09,0.0
1860,9.154367819341758e-10,0.0
1861,1.4147891747029462e-09,0.0
1862,0.0,0.0
1863,3.496234635136375e-09,0.0
1864,0.0,3.835782358407869e-09
1865,3.765475486972036e-09,0.0
1866,4.865612912574591e-10,4.865612912574591e-10
1867,0.0,9.220341823379385e-09
1868,1.975949626142892e-09,4.93987406535723e-10
1869,2.441759683335931e-09,9.767038289254515e-10
1870,5.734048791339319e-10,5.734048791339319e-10
1871,0.0,1.0621177271019633e-09
1872,3.0236697590169115e-09,0.0
1873,3.591602570907071e-09,0.0
1874,0.0,0.0
1875,0.0,1.1443054281912168e-09
1876,0.0,2.418405919968336e-09
1877,0.0,1.8554447978047506e-09
1878,1.2078177347163432e-09,5.435179861734696e-09
1879,6.10932526790009e-10,0.0
1880,4.492492600149944e-09,6.417846254436199e-10
1881,2.7890030285249168e-09,4.183504653809678e-09
1882,3.9932310791357395e-09,2.6621540527571597e-09
1883,0.0,0.0
1884,6.601696966868076e-10,0.0
1885,0.0,0.0
1886,3.2267319927115068e-09,1.2906927748801422e-09
1887,1.3057849246322917e-09,3.264462256069578e-09
1888,3.1703073499755874e-09,1.268122939990235e-09
1889,1.2530273485467092e-09,1.8795409673089125e-09
1890,0.0,3.9326319978272295e-09
1891,3.1871101313640793e-09,6.3742202627281586e-09
1892,1.8805537127519756e-09,6.268512375839919e-10
1893,0.0,0.0
1894,2.520615716150587e-09,2.520615716150587e-09
1895,0.0,1.2037228991346183e-09
1896,0.0,1.179405795248556e-09
1897,0.0,5.826713556089658e-10
1898,2.26334195829736e-09,0.0
1899,5.527578395003729e-10,5.527578395003729e-10
1900,5.191053142894475e-10,5.191053142894475e-10
1901,0.0,5.588738916095792e-10
1902,3.437198747846537e-09,2.455141867585553e-09
1903,2.7001101354784396e-09,0.0
1904,1.0749250378694342e-09,0.0
1905,0.0,0.0
1906,5.144184522798412e-10,5.144184522798412e-10
1907,1.028568674676933e-09,5.142843373384665e-10
1908,0.0,4.911389073214423e-10
1909,1.6502950117569526e-09,0.0
