year,petit_ADJ cellier_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,1.3554183553310395e-08
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,8.627225156487839e-09
1814,1.8880061958270744e-08
1815,1.3486118000116676e-08
1816,2.3176038865813098e-09
1817,9.341240669868967e-09
1818,9.536941902865692e-09
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,3.94459531705138e-09
1822,0.0
1823,9.882686891060644e-10
1824,8.421112696055388e-10
1825,2.1133063299316746e-08
1826,5.284790383086602e-09
1827,3.6869092223668076e-09
1828,5.503380862137419e-09
1829,3.429270423183084e-09
1830,9.39315203396518e-09
1831,7.795603274018958e-09
1832,0.0
1833,0.0
1834,3.733812370398937e-09
1835,7.563087933704082e-10
1836,1.4785650037651976e-08
1837,6.957890930081589e-10
1838,8.2058102535143e-09
1839,2.0974426639952526e-09
1840,2.5478754661634184e-09
1841,2.5682194149112547e-09
1842,0.0
1843,0.0
1844,7.683985892015244e-09
1845,1.674068439427856e-09
1846,4.6836010625384006e-09
1847,2.1572894581822766e-09
1848,0.0
1849,6.703531951757213e-09
1850,8.146795238417326e-09
1851,6.449438760824933e-09
1852,1.3021090872200602e-09
1853,2.388772735173461e-09
1854,3.117398783558656e-09
1855,4.776243400783642e-09
1856,9.836659486950339e-09
1857,1.9037885934380938e-08
1858,3.4255731584664773e-09
1859,3.5645213447565993e-09
1860,1.327383358784573e-08
1861,9.903524222920623e-09
1862,3.162590411776023e-09
1863,3.496234635136375e-09
1864,4.794728170054441e-09
1865,6.589582213223366e-09
1866,9.244664589402873e-09
1867,6.79393608038481e-09
1868,8.89177353968762e-09
1869,2.441759683335931e-09
1870,7.454262984651905e-09
1871,4.248470908407853e-09
1872,6.047339518033823e-09
1873,2.9930022904522957e-09
1874,5.974609251779839e-09
1875,6.293679799540541e-09
1876,7.255217759905008e-09
1877,1.2369631985365004e-09
1878,2.4156354694326865e-09
1879,5.498392852132383e-09
1880,1.9253538763308597e-09
1881,2.7890030285249168e-09
1882,4.6587693702804245e-09
1883,1.2638677882037541e-09
1884,2.6406787867472303e-09
1885,9.66845359329227e-09
1886,1.2906927748801422e-09
1887,3.9173548849191775e-09
1888,0.0
1889,6.265136853755848e-09
1890,2.6217545912032847e-09
1891,6.3742202627281586e-09
1892,5.641661360300532e-09
1893,6.158416554491453e-10
1894,9.452309157609307e-09
1895,8.426059849853118e-09
1896,9.435246361988447e-09
1897,7.574727511894253e-09
1898,6.224190496340043e-09
1899,1.3818945987509323e-08
1900,7.26747462209687e-09
1901,4.470991132876634e-09
1902,5.4013122863239005e-09
1903,4.320176216765503e-09
1904,5.912087708281888e-09
1905,2.6835946798087207e-08
1906,2.0576738091193647e-09
1907,1.337139288182243e-08
1908,1.620758460774141e-08
