year,suivant_VERB en_ADP,suivant_VERB sans_ADP
1800,1.7921737693882278e-07,2.829747991484055e-08
1801,1.3572740620304558e-07,1.6668278313147766e-08
1802,1.6336232988578558e-07,2.9091921760482364e-08
1803,1.579774737692219e-07,9.751696339321825e-09
1804,1.1370514263475684e-07,4.449331569844617e-08
1805,2.842877715458769e-07,2.55858996212055e-08
1806,7.780506905419315e-08,5.187004603612877e-08
1807,1.195721210933698e-07,5.693910054560547e-08
1808,2.334056148356467e-07,4.305540457494317e-08
1809,1.287647413139581e-07,6.325285539787728e-08
1810,1.6380887757350138e-07,6.318342293809565e-08
1811,2.4820059252306237e-07,1.7549536934780008e-08
1812,3.173977916048898e-07,2.6672082320544632e-09
1813,2.8757416181690587e-07,3.738464116054274e-08
1814,2.3914746005715415e-07,3.4613449884091096e-08
1815,2.211723373335417e-07,0.0
1816,1.7382029682266875e-07,4.8669683394564345e-08
1817,1.6814232139950036e-07,1.401186100480345e-08
1818,2.6226590854605547e-07,2.5034472272977837e-08
1819,2.1944225903069992e-07,2.2772310259711048e-08
1820,2.800489582455157e-07,4.9839222526770754e-08
1821,1.9821592012192468e-07,1.2819934447350079e-08
1822,2.747018612581087e-07,1.2030739071633434e-08
1823,2.589263836672018e-07,1.581229902569703e-08
1824,2.5852815266347307e-07,4.8000341479337294e-08
1825,2.597605766041511e-07,3.78634048558979e-08
1826,3.1092186070225125e-07,2.7304752237000685e-08
1827,2.3964910828011554e-07,4.516463913972757e-08
1828,2.559071958785353e-07,1.2841221419535032e-08
1829,2.6491115168170154e-07,2.2290258527846163e-08
1830,2.2752301731543412e-07,4.0703660886265425e-08
1831,1.7462150481151184e-07,7.171954763407484e-08
1832,1.921255625703111e-07,1.7588959622116818e-08
1833,2.1198039945602432e-07,7.761030984543282e-08
1834,3.285754903714633e-07,4.107193540825449e-08
1835,2.3143049077134492e-07,4.689114518896531e-08
1836,2.93024708497569e-07,2.8899226123257904e-08
1837,2.9362298725743585e-07,3.5485243188304594e-08
1838,2.7773513711082387e-07,2.019891853777267e-08
1839,2.852521920893025e-07,2.586845759822154e-08
1840,3.407783530917641e-07,3.503328827036967e-08
1841,3.3194235316003073e-07,1.8619591646285016e-08
1842,2.770513543026709e-07,3.152884531232303e-08
1843,3.431915187590562e-07,2.7762481424886687e-08
1844,4.1383751536727686e-07,2.5796237201891614e-08
1845,3.392778555877385e-07,3.1807299016861634e-08
1846,4.045460393342637e-07,2.8101606375230404e-08
1847,3.726717547891667e-07,2.6966119115456877e-08
1848,3.5318523039507e-07,2.735375304041554e-08
1849,3.6534248337716235e-07,3.016589289472904e-08
1850,3.340186154332514e-07,4.95596710337054e-08
1851,3.321460901872797e-07,2.3217978650791338e-08
1852,3.2162095564558513e-07,2.018269107395554e-08
1853,2.9561061509753017e-07,5.2552998397459305e-08
1854,3.6057912211617804e-07,3.0134853945540385e-08
1855,3.86875715463475e-07,3.131092896069276e-08
1856,3.9191323608633866e-07,3.675804194358534e-08
1857,4.2713204528865845e-07,3.41705628237321e-08
1858,3.6311075390926817e-07,4.4532451948242624e-08
1859,3.839498639024441e-07,3.208069188076479e-08
1860,4.316284556438177e-07,3.0667132028261435e-08
