year,regardant_VERB en_ADP,regardant_VERB sans_ADP
1800,1.5406406106421855e-07,2.829748035892976e-08
1801,1.6668278135512082e-07,3.333655484993869e-08
1802,1.5888664961494214e-07,4.4756802708434407e-08
1803,1.560271414291492e-07,2.3404069793286908e-08
1804,2.7190359297435407e-07,6.921182915675672e-08
1805,2.388017321663938e-07,1.7057265822018053e-08
1806,1.210301041609796e-07,1.152667650217154e-08
1807,1.4234775846944103e-07,2.2775640928784924e-08
1808,1.4502872947019796e-07,3.6257183921861724e-08
1809,5.1957703028904234e-08,2.25903047379461e-08
1810,1.497681063611367e-07,5.3822915901946544e-08
1811,2.0307322312618226e-07,2.0056614147279106e-08
1812,1.360276229434021e-07,1.8670457180292033e-08
1813,3.105801056335622e-07,1.7254450312975678e-08
1814,7.237357380063258e-08,4.090680150170556e-08
1815,1.9420009778059466e-07,5.1247248222807684e-08
1816,1.6918508372043561e-07,3.476405652236281e-08
1817,1.479029760886874e-07,2.0239354636686357e-08
1818,2.837240344888414e-07,2.2650237241350624e-08
1819,1.3145833577254962e-07,1.0351050350188018e-08
1820,1.5189096291834403e-07,1.6613073583471305e-08
1821,1.6863144702838895e-07,3.254291058851777e-08
1822,1.5339192316332628e-07,3.0076847679083585e-08
1823,1.5416991061556473e-07,2.9648060895226536e-08
1824,1.6589592011229115e-07,3.3684450784221553e-08
1825,1.6554232318277684e-07,5.195211283393064e-08
1826,1.6206691100251192e-07,2.2019961409824873e-08
1827,1.2443317964905276e-07,2.673009252829317e-08
1828,1.5042574352808202e-07,3.026859413113314e-08
1829,2.134720876734164e-07,2.4862209901943544e-08
1830,1.9412515128713892e-07,3.7572607469726904e-08
1831,3.414474010199342e-07,5.456922025359745e-08
1832,2.421864562229814e-07,5.276687931043966e-08
1833,2.316725726814184e-07,9.035229897591535e-08
1834,3.6684706206102646e-07,2.333632664885954e-08
1835,3.3050694980829576e-07,4.5378527602224494e-08
1836,2.587488725502851e-07,5.1749776464049546e-08
1837,2.790114344008998e-07,4.383471363667013e-08
1838,1.7421566500530616e-07,3.913540558286854e-08
1839,2.307186806049799e-07,3.2859933440931854e-08
1840,2.751705507897384e-07,5.095751109962521e-08
1841,3.4285729810790144e-07,4.4301785795397564e-08
1842,1.8514811150893706e-07,6.104521155236853e-08
1843,3.012524745216183e-07,3.7804230412774587e-08
1844,2.563158192359083e-07,5.104361827656945e-08
1845,2.8738173796227784e-07,6.807877772629922e-08
1846,1.8734404494402668e-07,3.512700730290419e-08
1847,2.1303232955460771e-07,2.9123407685460734e-08
1848,2.059576788560058e-07,4.103063083737979e-08
1849,3.159039403399788e-07,4.608678239037545e-08
1850,2.9056904260471583e-07,3.733947906425783e-08
1851,1.9799777195572688e-07,4.5791015423901626e-08
1852,2.3242646651766563e-07,2.79953455972759e-08
1853,2.5201550979403464e-07,2.7470886010405593e-08
1854,2.234135717538166e-07,4.1045750798218705e-08
1855,3.555647900554959e-07,6.421393905498007e-08
1856,2.6817840009796257e-07,2.8992260148186233e-08
1857,2.8263936968642156e-07,3.7099467942169895e-08
1858,3.5870646275526497e-07,4.5021820715973604e-08
1859,4.6491542882165504e-07,3.6663649671808685e-08
1860,4.137774283208273e-07,3.799062592291236e-08
1861,3.796350780405078e-07,4.338686676597092e-08
1862,3.343309773473635e-07,4.156547464551075e-08
1863,2.682111488461203e-07,4.545105003472827e-08
1864,3.092599420995157e-07,4.554991406280351e-08
1865,2.852347797954735e-07,4.6127073327628665e-08
1866,3.478913286336649e-07,3.259960479340407e-08
1867,3.168886024695894e-07,5.435148864307848e-08
1868,3.3591143999700535e-07,4.643481688049178e-08
1869,4.0533207901205515e-07,6.299739663262471e-08
1870,2.6605986969130413e-07,3.669791359683927e-08
1871,3.9510779492601955e-07,6.797553298021342e-08
1872,3.2595159282777786e-07,4.9588180672799353e-08
1873,3.220470540798992e-07,4.788803398270147e-08
1874,4.265870887643075e-07,4.8394334928314464e-08
1875,3.9592966594170775e-07,4.9205133079155416e-08
1876,4.619155347107551e-07,3.567148842975598e-08
1877,4.125272283772574e-07,4.638611983409646e-08
1878,3.88313402321927e-07,3.623453181944569e-08
1879,3.1401932520935816e-07,3.9710614241350584e-08
1880,3.1190732308061797e-07,5.904418642899145e-08
1881,2.761113062632603e-07,3.6257040536558094e-08
1882,3.880089485264193e-07,5.191200469489843e-08
1883,3.2670983429738953e-07,5.497824728806222e-08
1884,3.749763832772146e-07,6.073561120700788e-08
1885,3.6224473420887193e-07,5.414333881237354e-08
1886,2.5942924164468195e-07,4.969167072266245e-08
1887,3.0359499048060457e-07,4.113222473733913e-08
1888,2.942045176368424e-07,4.692054855759409e-08
1889,2.838106900604487e-07,4.322944491264025e-08
1890,2.897038928750817e-07,3.539368825800082e-08
1891,2.740914606391698e-07,5.354344878583106e-08
1892,3.403802140145018e-07,5.7670312747504227e-08
1893,2.6850696643876404e-07,3.87980243488073e-08
1894,3.075151120413011e-07,4.600123659770361e-08
1895,2.407445816032805e-07,4.4537749044337716e-08
1896,2.771603626050556e-07,4.599682457140375e-08
1897,2.639501248680176e-07,2.2141510735984582e-08
1898,2.817860755843782e-07,2.8291775144850817e-08
1899,2.636654894416779e-07,5.085372123403431e-08
1900,2.1646691639176652e-07,4.56812685456498e-08
1901,2.822313123207465e-07,3.017919070202879e-08
1902,2.4796932951431927e-07,2.897067474805226e-08
1903,2.106085861264262e-07,1.83607493653426e-08
1904,2.348711269917203e-07,2.8485513503540005e-08
1905,2.3481454336504726e-07,2.5287720029076866e-08
1906,2.746994596236618e-07,2.7264178470431943e-08
1907,1.7382810035826424e-07,2.15999426123048e-08
1908,2.411492010523375e-07,3.830883432698329e-08
1909,2.4699416822926423e-07,4.620826032919467e-08
1910,2.7201726116032887e-07,4.6494111449746356e-08
1911,2.4633331507928347e-07,1.968538376750928e-08
1912,2.2452604997447168e-07,4.011254506330886e-08
1913,2.7522515644307077e-07,4.507541206955068e-08
1914,3.201043385914204e-07,2.477795241206948e-08
1915,2.085194910073085e-07,5.536958247454038e-08
1916,1.856881133299737e-07,1.977743147030253e-08
1917,1.9849228571899857e-07,4.276905452016422e-08
1918,2.814162307629431e-07,1.1486376294556067e-08
1919,2.1454287124633709e-07,2.6702760502761436e-08
1920,2.0445025272763928e-07,2.1959472018551196e-08
1921,2.3021151651647642e-07,2.9533714362983687e-08
1922,2.633922924211163e-07,2.8036154453570106e-08
1923,2.0913417264623035e-07,6.157250043159479e-08
1924,2.5912165879660165e-07,3.609654786185246e-08
1925,1.8256974665398218e-07,3.189471442510694e-08
1926,2.0063049444019043e-07,2.11776637337735e-08
1927,2.4639787143954095e-07,5.017151061270653e-08
