year,devraient_VERB avoir_VERB,devraient_VERB savoir_VERB
1800,2.703981465401739e-07,1.2576657937302116e-08
1801,2.6669243879950955e-07,1.1905912700171939e-08
1802,2.4616241489638924e-07,6.713520406265161e-09
1803,2.9060055339868995e-07,5.655983770225248e-08
1804,2.5212878540514794e-07,1.2359254952798437e-08
1805,2.3595885068061762e-07,5.685755422035754e-09
1806,3.4580028795971884e-07,1.729001475325731e-08
1807,1.6227643584443285e-07,3.131650672116848e-08
1808,1.9714843801921234e-07,5.6651849433819734e-08
1809,2.710836497499258e-07,2.4849335034105025e-08
1810,2.2699229873524018e-07,1.6380887757350138e-08
1811,1.6797415014480066e-07,1.0028307073639553e-08
1812,4.1608447531871207e-07,3.467370746079723e-08
1813,3.0195286626621964e-07,2.8757416448144113e-09
1814,2.926409763404081e-07,4.72001566720337e-08
1815,3.3445573421886365e-07,4.045835311217161e-08
1816,3.314173682156252e-07,4.1716869958463576e-08
1817,2.4442911694677605e-07,3.7364962679475866e-08
1818,4.673101443586347e-07,1.7881765401739358e-08
1819,2.2875821059642476e-07,2.898294049202832e-08
1820,3.607410121730936e-07,6.882559233645225e-08
1821,4.1418249452362943e-07,6.114122896860863e-08
1822,4.6719370061509835e-07,3.208197085768916e-08
1823,2.5596159503038507e-07,4.941343334508019e-08
1824,3.006337294664263e-07,3.8737120178211626e-08
1825,4.455554289961583e-07,3.3460683113162304e-08
1826,2.9242508503557474e-07,4.7563116112314674e-08
1827,3.935775509944506e-07,4.147772969531616e-08
1828,4.10919085425121e-07,6.237164740241496e-08
1829,3.3178190506077954e-07,6.001223340490469e-08
1830,4.5087131184118334e-07,2.817945699007396e-08
1831,5.051550715506892e-07,8.575163690238696e-08
1832,4.3025303853028163e-07,5.682587200794842e-08
1833,3.973184448113898e-07,2.89590715851773e-08
1834,3.883164936269168e-07,4.0138484536100805e-08
1835,4.3563386498135515e-07,4.61348363955949e-08
1836,3.2528430438105715e-07,2.352262562510532e-08
1837,4.557418549211434e-07,3.2006298056330706e-08
1838,3.2633877822263457e-07,2.2723781967215473e-08
1839,4.6283565779958735e-07,4.4046291947097416e-08
1840,4.223103644562798e-07,3.3122379505812205e-08
1841,5.014448447582254e-07,3.852328944731198e-08
1842,5.359903525459231e-07,3.3541326160957396e-08
1843,5.333940862328745e-07,4.784597962270709e-08
1844,4.77504841001064e-07,4.8848196598783034e-08
1845,4.832477316085715e-07,3.794555070157912e-08
1846,5.362722959034727e-07,4.0981507964943376e-08
1847,4.557273882710433e-07,6.094342808182773e-08
1848,5.438569701254892e-07,5.63165514222419e-08
1849,5.86559053772362e-07,9.636327291673297e-08
1850,4.6029393274693575e-07,6.653215933738466e-08
1851,3.689079051127919e-07,6.06247212431299e-08
1852,4.492276275414042e-07,7.0313888045348e-08
1853,4.526724239894975e-07,3.523439673358553e-08
1854,3.683726106373797e-07,3.896748168585873e-08
1855,3.863450217522768e-07,5.253867740862006e-08
1856,3.722398957961559e-07,3.6240326295455816e-08
1857,3.7001839814365667e-07,4.78387889302212e-08
1858,4.237923292293999e-07,7.242640265303635e-08
1859,3.931157834813348e-07,4.786642904264227e-08
1860,3.8173715211087256e-07,4.8060432078500526e-08
1861,4.0132852063834434e-07,4.527325359049428e-08
1862,3.9261300344151095e-07,5.557123117228002e-08
1863,3.985707337506028e-07,6.1433837572622e-08
1864,4.1474396539342706e-07,7.192092255081661e-08
1865,4.678603318097885e-07,4.9421867487353666e-08
