year,avaient_VERB ôté_VERB,avaient_VERB oté_VERB,avaient_VERB sauté_VERB
1800,4.4018303668735825e-08,0.0,2.5153315874604232e-08
1801,1.3572740442668874e-07,0.0,0.0
1802,1.7902721083373763e-08,0.0,0.0
1803,4.095712213825209e-08,1.950339223455444e-09,1.755305234496518e-08
1804,1.1864884186252311e-07,2.4718509461507665e-09,0.0
1805,6.822906328807221e-08,0.0,3.980028751016107e-08
1806,5.4751712497136396e-08,0.0,2.305335300434308e-08
1807,5.693910054560547e-08,0.0,0.0
1808,6.118399653587403e-08,0.0,1.3596443970698147e-08
1809,6.551188391767937e-08,0.0,2.25903047379461e-08
1810,7.254392642153107e-08,0.0,0.0
1811,5.264861258069686e-08,0.0,1.2535384286138651e-08
1812,4.000812481308458e-08,2.6672082320544632e-09,2.6672082320544632e-09
1813,4.3136125782439194e-08,2.8757416448144113e-09,4.601186631703058e-08
1814,2.5173417128598885e-08,0.0,2.8320094713762956e-08
1815,8.631115377966125e-08,0.0,1.8880564667256294e-08
1816,6.025770460382773e-08,0.0,0.0
1817,5.1376822796100896e-08,0.0,2.1796227045456362e-08
1818,9.417730240102173e-08,0.0,1.4305412854298538e-08
1819,9.315944993204539e-08,2.070210003424222e-09,1.035105001712111e-09
1820,1.4002448267547152e-07,2.3732962262101864e-09,4.865257352548724e-08
1821,1.1735171057125626e-07,0.0,5.9168927535324656e-09
1822,8.120748873352568e-08,0.0,2.90742860897808e-08
1823,1.2452186126665765e-07,9.882686891060644e-10,4.941343334508019e-08
1824,7.831634718513669e-08,1.6842225392110777e-09,1.9368560089105813e-08
1825,1.1535130539641614e-07,1.7610886082763955e-09,2.905796137042671e-08
1826,1.0657660709512129e-07,0.0,1.7615968683770689e-09
1827,1.0968555130830282e-07,1.8434546111834038e-09,2.2121454890111636e-08
1828,7.429564163885516e-08,0.0,3.0268594741755805e-08
1829,1.2516836989107105e-07,0.0,2.6576845613135447e-08
1830,9.393152566872232e-08,1.0436835840010872e-09,2.1917355041978226e-08
1831,7.795603096383275e-08,0.0,4.8332740476553226e-08
1832,5.682587200794842e-08,4.058990921151917e-09,1.8941957335982806e-08
1833,8.571885246055899e-08,0.0,1.9692167896323554e-08
1834,1.4375177670444828e-07,9.334530925997342e-10,1.6802156110884425e-08
1835,1.2705987728622858e-07,0.0,1.8151411040889798e-08
1836,1.2567802798457706e-07,1.3441500135158435e-09,8.736974699274924e-09
1837,1.14805203565993e-07,1.3915781860163179e-09,2.852735292435682e-08
1838,1.04781889831429e-07,6.312161904276081e-10,1.64116205070286e-08
1839,7.061390050466798e-08,0.0,2.027527834513876e-08
1840,1.0828470919932442e-07,0.0,2.6115722917552375e-08
1841,1.0208672307499e-07,0.0,1.6693427085101575e-08
1842,7.647422251011449e-08,6.708265054555795e-10,2.95163662400455e-08
