year,pouvant_VERB aider_VERB,pouvant_VERB céder_VERB
1800,0.0,7.545995117652637e-08
1801,3.333655484993869e-08,2.3811825400343878e-08
1802,0.0,2.2378401354217203e-08
1803,0.0,9.751696339321825e-09
1804,9.887403784603066e-09,1.2359254952798437e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,0.0,1.5862518409903714e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,2.574139479349924e-08
1811,1.0028307073639553e-08,2.0056614147279106e-08
1812,0.0,2.9339290108509886e-08
1813,1.1502966579257645e-08,2.300593315851529e-08
1814,1.5733386149463513e-08,6.608021863030444e-08
1815,0.0,5.394447111228828e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,3.113746815941454e-09
1818,5.960588467246453e-09,1.1921176934492905e-08
1819,2.070209959015301e-08,2.6912729822470283e-08
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,9.86148829262845e-10,3.94459531705138e-09
1822,0.0,2.0051231786055723e-09
1823,3.9530747564242574e-09,1.1859224713361982e-08
1824,1.6842225392110777e-08,1.2631669044083083e-08
1825,7.924898959288385e-09,1.7610886082763955e-09
1826,7.0463874735082754e-09,3.082794464148719e-08
1827,0.0,1.8434546333878643e-08
1828,2.0179061976932644e-08,5.77854990524429e-08
1829,2.571952872898464e-09,1.3717081692732336e-08
1830,1.1480519646056564e-08,3.1310507520032616e-09
1831,1.5591206103948707e-09,1.4032085715598441e-08
1832,3.5177919244233635e-08,2.705993829010822e-08
1833,1.853380560135065e-08,2.3167256557599103e-08
1834,3.733812370398937e-09,5.600718555598405e-09
1835,3.2521278114927554e-08,7.563087933704082e-10
1836,1.68018754465038e-08,1.2769425516978572e-08
1837,2.7135774516295896e-08,3.478945576063097e-09
1838,1.3255539776935166e-08,1.5149188570262595e-08
1839,1.4682098203877558e-08,1.4682098203877558e-08
1840,2.8663599493938818e-08,7.0066574764382494e-09
1841,2.953452238330101e-08,1.1556987367100646e-08
1842,8.720745015011744e-09,8.049918065466954e-09
1843,2.126487963494128e-08,1.9492807368237663e-08
1844,9.330554107123135e-09,1.2623690537338916e-08
1845,3.1807299905040054e-08,5.580227835366713e-09
1846,1.9319854160926297e-08,1.2879903366069811e-08
1847,1.5640349459999925e-08,1.833696039454935e-08
1848,1.609044275596716e-08,1.850401076808339e-08
1849,1.256912263158938e-08,1.8434713311421547e-08
1850,3.530277936647508e-08,6.788996032014438e-09
1851,1.6123596680017727e-08,6.449438760824933e-09
1852,2.669323606596663e-08,1.2370036550635177e-08
1853,2.20961471342207e-08,5.3747388761848924e-09
1854,1.610655964157104e-08,1.7665259477439577e-08
1855,1.5920811335945473e-08,1.6982198758341838e-08
1856,2.5368226630462232e-08,4.141751386299575e-09
1857,3.124165814938351e-08,2.147863931156735e-08
1858,1.761723389392955e-08,2.0553439838977283e-08
1859,2.6988518087023294e-08,8.656694916453489e-09
1860,3.8906062371779626e-08,2.334363813361051e-08
1861,1.650587222457034e-08,8.960331143725853e-09
1862,2.3041730301542884e-08,1.445755604123633e-08
1863,2.8469338886338846e-08,2.447364266799923e-08
1864,1.582260189536555e-08,2.4932585773740357e-08
1865,2.729969672543575e-08,1.694463946932956e-08
1866,4.184427027098536e-08,1.3137154475373336e-08
1867,3.6396087921275466e-08,1.6014277903764196e-08
1868,2.865126980111654e-08,6.421836395986702e-09
1869,3.2231227464762924e-08,1.6115613732381462e-08
1870,2.5803219116937726e-08,1.3761717099214366e-08
1871,2.8677177965619194e-08,2.973929724703339e-08
1872,3.749350341308855e-08,6.047339518033823e-09
1873,3.1725821969530443e-08,2.3944018323618366e-08
1874,4.779687401423871e-08,1.7923827755339516e-08
1875,2.2886109007913547e-08,1.3731664694205392e-08
1876,3.506688628363008e-08,3.808989390563511e-08
1877,3.030559980743419e-08,2.535774612510977e-08
1878,3.01954443671093e-08,1.872117572077059e-08
1879,3.237942536316041e-08,8.55305515301552e-09
1880,2.6954953824542827e-08,6.417846254436199e-09
1881,2.9284532132578533e-08,9.761510710859511e-09
1882,3.7270154962243396e-08,1.0648616211028639e-08
1883,4.2971503688704615e-08,7.58320695126713e-09
1884,2.9047466654219534e-08,1.3203393933736152e-08
1885,3.867381437316908e-08,9.66845359329227e-09
1886,4.5174246565693466e-08,1.5488312854472497e-08
1887,4.8966935395355904e-08,3.133883907935342e-08
1888,4.311618084784641e-08,6.340614699951175e-09
1889,4.0723389105323804e-08,9.397704836544563e-09
1890,2.8839300725280737e-08,7.865263995654459e-09
1891,3.824532157636895e-08,8.92390783491237e-09
1892,4.952124754709075e-08,5.641661360300532e-09
1893,8.313862309705655e-08,1.6011883374744684e-08
1894,5.293292915098391e-08,1.1972924873759894e-08
1895,2.467631965430428e-08,9.027921521465032e-09
1896,3.951009475144929e-08,2.299841384001411e-08
1897,3.26295968022805e-08,6.992056267307589e-09
1898,3.621347133275776e-08,1.3580051749784161e-08
1899,3.814029270188257e-08,1.4371703827009696e-08
1900,3.9971109089265155e-08,1.349673794948103e-08
1901,2.9061443029831935e-08,4.470991132876634e-09
1902,4.615666782115113e-08,5.4995179965544594e-08
