year,gardant_VERB en_ADP
1800,2.829747991484055e-08
1801,1.4287095950749062e-08
1802,3.1329761895904085e-08
1803,3.90067853572873e-08
1804,7.4155526164076946e-09
1805,2.55858996212055e-08
1806,6.339671898558663e-08
1807,4.839823830593559e-08
1808,2.039466551195801e-08
1809,2.25903047379461e-08
1810,1.6380887757350138e-08
1811,7.521229861140455e-09
1812,1.8670457180292033e-08
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,2.1577788444915313e-08
1816,3.476405652236281e-08
1817,1.2454987263765815e-08
1818,7.152706427149269e-09
1819,2.173720581311045e-08
1820,4.6279275522920216e-08
1821,2.761216755242657e-08
1822,1.7043547018147365e-08
1823,9.882686669016039e-09
1824,1.6842225392110777e-08
1825,7.044354433105582e-09
1826,2.4662355713189754e-08
1827,2.5808365222701468e-08
1828,2.2013523448549677e-08
1829,7.715858174606183e-09
1830,1.1480519646056564e-08
1831,2.8064171431196883e-08
1832,1.0823975493678972e-08
1833,2.6642345218874652e-08
1834,4.480574844478724e-08
1835,2.647080776796429e-08
1836,3.49478987970997e-08
1837,3.061472142462662e-08
1838,3.787297231383491e-08
1839,2.4470162784950844e-08
1840,3.758116307039927e-08
1841,2.8250413564023802e-08
1842,2.4149754196400863e-08
1843,2.7171790151214736e-08
1844,2.9638231424655714e-08
1845,2.3436957263811564e-08
1846,2.2832555623963913e-08
1847,3.020205241455187e-08
1848,7.24069959545659e-09
1849,4.357295679824347e-08
1850,3.055048214406497e-08
1851,1.9993260380601896e-08
1852,1.8880582430824688e-08
1853,3.822036376277538e-08
1854,2.338049043260071e-08
1855,4.192480318465641e-08
1856,4.245295259774906e-08
1857,5.125584578991038e-08
1858,4.1106879677954566e-08
1859,3.920973412618878e-08
1860,9.245911769539816e-08
1861,2.9238975685075275e-08
1862,2.530072332196376e-08
1863,4.844782353075061e-08
1864,2.8768367577036713e-08
1865,4.189091562523117e-08
1866,4.719644702833037e-08
1867,4.658699204185268e-08
1868,5.87844994903719e-08
1869,4.0533208789383934e-08
1870,3.039045992636602e-08
1871,3.504988654867702e-08
1872,3.4469834986339265e-08
