year,commandant_VERB en_ADP
1800,1.9493820069271806e-07
1801,1.3096504503096185e-07
1802,1.656001700212073e-07
1803,1.1116933329446965e-07
1804,1.952762218593307e-07
1805,1.8194416906425204e-07
1806,3.1122027266405894e-07
1807,1.5658252827677188e-07
1808,2.0847881421204306e-07
1809,1.5587310198128534e-07
1810,5.3822916346035754e-08
1811,1.8803076429207977e-07
1812,9.868670769463961e-08
1813,1.6391726820330632e-07
1814,2.3600078158381166e-07
1815,3.1287793333945046e-07
1816,2.804300667236248e-07
1817,2.8802158702490033e-07
1818,2.4676836929415913e-07
1819,1.8735400697522664e-07
1820,2.112233694617771e-07
1821,1.3214394201099822e-07
1822,3.679400890632678e-07
1823,3.6862422803096706e-07
1824,4.016870747136636e-07
1825,2.1837498209720252e-07
1826,1.770404889356314e-07
1827,2.47022923005602e-07
1828,1.8252879385727283e-07
1829,1.6803424429667757e-07
1830,2.0769303743506384e-07
1831,2.556957809929372e-07
1832,1.7724260548135362e-07
1833,1.9692167896323554e-07
1834,2.1656111215406781e-07
1835,1.6865685381617368e-07
1836,1.5390517660307523e-07
1837,1.941251550618972e-07
1838,1.7674053154337344e-07
1839,1.8807068080661793e-07
1840,1.9746034141121527e-07
1841,1.6500809341124523e-07
1842,2.401558845122054e-07
1843,1.2050098252558428e-07
1844,1.564239973106396e-07
1845,1.6796486335124428e-07
1846,1.1065007221588985e-07
1847,2.006279231636654e-07
1848,1.4964112793336426e-07
1849,1.3909828666669455e-07
1850,1.7922949879789485e-07
1851,2.9667419454426636e-07
1852,1.6471680019947144e-07
1853,1.8035234461422078e-07
1854,2.1977660225047657e-07
1855,1.9635666603790014e-07
1856,1.9414459018207708e-07
1857,1.8354473851900366e-07
1858,2.353858121750818e-07
1859,2.255832782793732e-07
1860,3.2177603515037845e-07
1861,2.0184325322247787e-07
1862,1.3960577582849965e-07
1863,3.076686532210715e-07
1864,1.706923171695962e-07
1865,1.5108970430333102e-07
1866,2.452268930142054e-07
1867,1.4849603502398168e-07
1868,2.1093262603244511e-07
1869,1.596910710333077e-07
1870,2.2420130108002922e-07
1871,3.982941336744261e-07
1872,2.6910660011481013e-07
1873,2.2387656173350479e-07
1874,2.198656190444126e-07
1875,1.899547008576974e-07
1876,1.9589088395832732e-07
1877,1.7812270058925606e-07
1878,2.017055606984286e-07
1879,1.4112541180111293e-07
1880,2.8623594516830053e-07
1881,2.0638622544311147e-07
1882,2.535701710826288e-07
1883,1.7883728631318263e-07
1884,2.620873686964842e-07
1885,2.1335054611881787e-07
1886,2.7233617316824166e-07
1887,1.834627845198611e-07
1888,2.1811714390196357e-07
1889,2.0737602568488e-07
1890,2.071186173679962e-07
1891,2.0461246208469674e-07
1892,2.2378588937499444e-07
1893,2.2909309294050217e-07
1894,4.795471397756046e-07
1895,3.0514376447854374e-07
1896,2.5062373509854297e-07
1897,2.8609164282045185e-07
1898,2.2972921698283244e-07
1899,2.6255996488089295e-07
1900,2.284063338464648e-07
1901,2.4311014001909825e-07
1902,3.7121746743196127e-07
1903,2.0466834982357796e-07
1904,2.155224727573568e-07
1905,1.9198024148181503e-07
1906,1.6564273508379301e-07
1907,1.7485666958805268e-07
1908,1.9989354171912055e-07
1909,1.7823186482246456e-07
1910,2.308673110462678e-07
1911,3.6497765520948633e-07
1912,2.6724330837168964e-07
1913,1.5643819750721377e-07
1914,2.1898352287053058e-07
1915,5.47805434791826e-07
1916,3.450062990850711e-07
1917,4.419469057381775e-07
1918,3.2276718542334493e-07
1919,4.2264024102678377e-07
1920,2.3625362643997505e-07
1921,1.4236765366604232e-07
1922,2.1396012783725382e-07
1923,1.5923922802585366e-07
1924,1.5727782098906573e-07
1925,3.0354971158885746e-07
1926,1.6496284160893993e-07
1927,2.2632926999222036e-07
1928,1.3025687017886867e-07
1929,1.648780134644312e-07
1930,1.722591029817977e-07
1931,1.7222088288804116e-07
1932,2.871398692150251e-07
1933,2.649722929959353e-07
1934,9.920748169633953e-07
1935,1.3883209959431042e-07
1936,1.5519634999350274e-07
1937,1.989396647417152e-07
1938,1.1668693034039279e-07
1939,1.9423443475830027e-07
1940,2.4089937866733635e-07
1941,3.276167959143095e-07
1942,1.5777900941316148e-07
1943,2.3225882017641197e-07
1944,2.538417049890995e-07
1945,2.65777487129526e-07
1946,1.9071912404911018e-07
1947,2.7060377050247553e-07
1948,1.5003205433572475e-07
1949,2.4248010532801345e-07
1950,1.4783152124664412e-07
1951,1.428627847133157e-07
1952,1.4551829252695825e-07
1953,2.0147057711028538e-07
1954,1.1531592747360264e-07
1955,1.2295146234464482e-07
1956,1.2471232224697815e-07
1957,1.3782658925265423e-07
1958,1.6461764928976663e-07
1959,1.6509092404248804e-07
1960,1.7302082966352827e-07
1961,1.6189211038408757e-07
1962,1.5981730072667233e-07
1963,1.8428251280511176e-07
1964,1.4540684389885428e-07
1965,1.4993398878004882e-07
1966,1.8445118499244018e-07
1967,1.7798511464661715e-07
1968,2.60502119431294e-07
1969,2.956684284072253e-07
1970,2.055630083930282e-07
1971,1.3668137022193605e-07
1972,1.6878183117796652e-07
1973,1.4940782122607743e-07
1974,1.8451874694846992e-07
1975,1.5649455775701426e-07
1976,1.554079318566437e-07
1977,1.4398115766312003e-07
1978,1.6455437901186087e-07
1979,1.480549300936218e-07
1980,1.2905291768561256e-07
1981,1.638317321805971e-07
1982,3.457578756638213e-07
1983,1.5030451905317932e-07
1984,1.3801640363908518e-07
1985,1.6061540009104647e-07
1986,1.156935702795181e-07
1987,1.6193664720276502e-07
1988,1.2952556360801282e-07
1989,2.008652728591187e-07
1990,2.2284982037490408e-07
1991,1.5650112317189269e-07
1992,1.344426365790241e-07
1993,1.7282327036127754e-07
1994,1.5772030792504665e-07
1995,1.2742759381012547e-07
1996,1.644132368028295e-07
1997,1.8028803339120714e-07
1998,1.802352826985043e-07
1999,1.5767193772830979e-07
2000,1.833483054269891e-07
2001,1.5772362615962265e-07
2002,3.1588606930199603e-07
2003,1.675103007414691e-07
2004,1.7266781782154794e-07
2005,1.5582973134087297e-07
2006,2.058944943428287e-07
2007,1.537874538826145e-07
2008,1.4901038980497106e-07
2009,1.5496625849209522e-07
2010,1.2376337465980214e-07
2011,1.3689819766682376e-07
2012,1.1846799097270377e-07
2013,1.1435412616833673e-07
2014,1.2624545320250036e-07
2015,1.0262744254418976e-07
2016,1.0087426360883e-07
2017,8.779483451348824e-08
2018,6.324593471163098e-08
2019,6.811137431839143e-08
