year,refusant_VERB en_ADP
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,6.713520406265161e-09
1803,1.950339223455444e-09
1804,6.179627121127851e-08
1805,0.0
1806,2.881669125542885e-09
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,0.0
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,3.113746815941454e-09
1818,1.0729059418679299e-08
1819,1.449147024601416e-08
1820,1.779972080839798e-08
1821,0.0
1822,7.017931125119503e-09
1823,2.075364236020505e-08
1824,0.0
1825,9.68598712347557e-09
1826,3.5231937367541377e-09
1827,7.373818444733615e-09
1828,1.1923991571904935e-08
1829,1.1145129263923081e-08
1830,9.39315203396518e-09
1831,1.870944643656003e-08
1832,1.7588959622116818e-08
1833,8.108539617524002e-09
1834,8.401078055442213e-09
1835,3.554651328840919e-08
1836,2.419469957715137e-08
1837,8.349468672008697e-09
1838,2.019891809368346e-08
1839,1.2584655095793096e-08
1840,1.1465439264668476e-08
1841,4.494383976094696e-09
1842,4.024959032733477e-09
1843,1.2404512972352677e-08
1844,5.488561161115513e-09
1845,1.562463758375543e-08
1846,1.3465353276842507e-08
1847,1.4561703842730367e-08
1848,3.218088551193432e-08
1849,1.256912263158938e-08
1850,5.431196825611551e-09
1851,1.6123596680017727e-08
1852,6.510545436100301e-09
1853,1.19438634538227e-08
1854,2.286092382064453e-08
1855,2.0697054736729115e-08
1856,2.329735160344626e-08
1857,2.39193944651106e-08
1858,5.872411001917044e-09
1859,1.1202780925145817e-08
1860,1.5104706818647173e-08
1861,1.131831339762357e-08
1862,4.9697850279528666e-09
1863,1.548332440037825e-08
1864,5.753673426589501e-09
1865,8.001635798393636e-09
1866,6.811858188626729e-09
1867,1.1161466417775046e-08
1868,7.409810987013543e-09
1869,2.197583626184496e-08
1870,5.160643912205387e-09
1871,1.4869648623516696e-08
1872,8.4662747923403e-09
1873,2.7535620006347017e-08
1874,8.364453130127458e-09
1875,1.0870901290260804e-08
1876,1.874264654588842e-08
1877,1.4225077116236662e-08
1878,2.2344627481629686e-08
1879,1.1607718342077078e-08
1880,6.417846254436199e-09
1881,4.183504653809678e-09
1882,1.5307385581309063e-08
1883,1.64302811356265e-08
1884,1.1222884843675729e-08
1885,1.160214413431504e-08
1886,3.872078213618124e-09
1887,1.5016526688782506e-08
1888,1.3315291091942072e-08
1889,1.9421923624918236e-08
1890,1.5730527991308918e-08
1891,6.3742202627281586e-09
1892,1.002961980134387e-08
1893,4.926733243593162e-09
1894,1.2603078580752936e-08
1895,2.8889349357186234e-08
1896,1.4152869098893461e-08
1897,1.1653426668090106e-08
1898,1.4145887128336199e-08
