year,brillant_VERB en_ADP,brillant_VERB sans_ADP
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,2.3404069793286908e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,6.798221985349073e-09
1809,0.0,3.840352036377226e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,0.0,5.394447111228828e-09
1816,2.3176038865813098e-09,0.0
1817,0.0,4.670620334934483e-09
1818,0.0,4.053200441944682e-08
1819,0.0,1.0351049795076506e-08
1820,8.306536791735653e-09,1.542642635854463e-08
1821,2.9584463767662328e-09,4.930744257336528e-09
1822,0.0,7.017931125119503e-09
1823,0.0,3.9530747564242574e-09
1824,0.0,1.2631669044083083e-08
1825,0.0,3.522177216552791e-09
1826,4.403992281964975e-09,1.0569580766173203e-08
1827,0.0,3.6869092223668076e-09
1828,5.503380862137419e-09,1.1006761724274838e-08
1829,8.57317605795771e-10,1.971830521085849e-08
1830,1.0436835395921662e-08,1.2524203008013046e-08
1831,1.091384405071949e-08,6.236482441579483e-09
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,2.3167257001688313e-09,1.1583628278799551e-08
1834,4.667265685043276e-09,6.534171426153534e-09
1835,0.0,7.563087933704082e-09
1836,0.0,8.736974699274924e-09
1837,5.5663127440652715e-09,4.174734336004349e-09
1838,3.787297142565649e-09,1.009945904684173e-08
1839,6.9914751765765e-10,2.7965900706306e-09
1840,6.369688665408546e-10,1.1465439264668476e-08
1841,0.0,6.420548537278137e-10
1842,2.683306021822318e-09,7.379091560011375e-09
1843,5.906911071384968e-10,4.134837805480629e-09
1844,1.2074834465636286e-08,5.488561161115513e-09
1845,3.348136878855712e-09,5.580227946389016e-10
1846,1.7563503984519002e-09,4.6836010625384006e-09
1847,2.6966118227278457e-09,1.0786447290911383e-09
1848,0.0,1.6090443422100975e-09
1849,8.379414939696517e-10,8.379414939696517e-10
1850,1.3577992064028876e-09,8.82569484161877e-09
1851,3.2247193804124663e-09,6.449438760824933e-10
1852,2.6042181744401205e-09,3.906327261660181e-09
1853,7.166318205520383e-09,1.1943863675867306e-09
1854,2.0782657816909023e-09,4.1565315633818045e-09
1855,0.0,2.653468555990912e-09
1856,3.6240324075009767e-09,5.177189232874468e-10
1857,2.4407544874094356e-09,5.857811125054013e-09
1858,2.936205500958522e-09,4.404308473482388e-09
1859,5.601390462572908e-09,1.5276520048956854e-09
1860,1.373155145145688e-09,7.323494255473406e-09
1861,0.0,4.2443675241088386e-09
1862,3.162590411776023e-09,7.680577063240435e-09
1863,2.9967726078439227e-09,2.9967726078439227e-09
1864,4.794727948009836e-10,5.753673537611803e-09
1865,0.0,8.47231973466478e-09
