year,craignant_VERB en_ADP
1800,4.7162467708972144e-08
1801,4.7623651688866175e-09
1802,4.699464284385613e-08
1803,3.900678446910888e-09
1804,9.887403784603066e-09
1805,5.685755422035754e-09
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,3.852325791697808e-08
1809,2.4849335922283444e-08
1810,2.574139390532082e-08
1811,0.0
1812,2.9339290108509886e-08
1813,8.627225156487839e-09
1814,9.440030979135372e-09
1815,5.394447111228828e-09
1816,9.270415546325239e-09
1817,4.826307709038247e-08
1818,3.5763532135746345e-09
1819,1.7596785362172795e-08
1820,3.9159388620646496e-08
1821,3.8459806006585495e-08
1822,1.604098542884458e-08
1823,4.15072847204101e-08
1824,4.968456313036995e-08
1825,7.9248987816527e-08
1826,3.787433300317389e-08
1827,2.5808364778612258e-08
1828,3.6689203342099574e-08
1829,4.458051672262542e-08
1830,2.400472176589119e-08
1831,1.2472964883158966e-08
1832,5.0060886991332154e-08
1833,2.89590715851773e-08
1834,1.4001796166951408e-08
1835,3.025235173481633e-08
1836,3.629205203026231e-08
1837,3.2006298833486824e-08
1838,1.2624324030596767e-08
1839,2.307186797168015e-08
1840,1.9109066329292546e-08
1841,3.467096298948036e-08
1842,2.95163662400455e-08
1843,3.6622847421341476e-08
1844,2.6893951121653714e-08
1845,3.459741454436838e-08
1846,2.7516156908546918e-08
1847,3.182001950818858e-08
1848,1.528592141752938e-08
1849,3.100383505483251e-08
1850,2.1724788190624622e-08
1851,3.031236150974337e-08
1852,9.765818598239662e-09
1853,2.149895461656115e-08
1854,2.2341357874822165e-08
1855,1.751289246954002e-08
1856,3.209857357688861e-08
1857,5.0767694048658996e-08
1858,3.9149408159744326e-08
1859,1.8331824058748225e-08
1860,3.1582568338350825e-08
1861,1.9807048001752037e-08
1862,9.939570055905733e-09
1863,2.7470414054597825e-08
1864,1.7261019946701595e-08
1865,1.976874625109204e-08
1866,1.1190909532388105e-08
1867,1.455843445796745e-08
1868,1.92655089659155e-08
1869,5.860223195597314e-09
1870,2.4656409358669862e-08
1871,7.434824311758348e-09
1872,4.354084381930079e-08
1873,9.577607151811662e-09
1874,2.2106054209380943e-08
1875,1.4875970122396609e-08
1876,1.0882826195768303e-08
1877,2.2265338017746217e-08
1878,2.3552445771457542e-08
1879,1.8327975581655664e-08
1880,2.1820676820993867e-08
1881,1.8825771164188154e-08
1882,1.9966154729544883e-08
1883,1.8958016934078614e-08
1884,2.508644758592027e-08
