year,tournant_VERB en_ADP
1800,1.0375742798274246e-07
1801,2.1192524446433936e-07
1802,3.177732992298843e-07
1803,1.794312112224361e-07
1804,1.359518080334965e-07
1805,2.3311596919484145e-07
1806,1.5849180456939393e-07
1807,1.4519470425966574e-07
1808,1.3369836437959748e-07
1809,1.6942729530455836e-07
1810,1.7082924674838296e-07
1811,2.2312983105621242e-07
1812,1.9470620316042186e-07
1813,3.0770434489291176e-07
1814,1.8880061958270744e-07
1815,1.9689731800554e-07
1816,1.1819779643928996e-07
1817,1.6658545654024692e-07
1818,1.3828565670337412e-07
1819,2.090912039065529e-07
1820,1.3646453567162098e-07
1821,1.203101569480225e-07
1822,2.1254305693219067e-07
1823,1.6108779599122158e-07
1824,2.4926493846777475e-07
1825,2.8881851776851875e-07
1826,2.0170284376064274e-07
1827,1.9724964417378033e-07
1828,1.6693588611449428e-07
1829,1.2259642351297728e-07
1830,1.5446516954398248e-07
1831,2.0580392590119345e-07
1832,2.1242051240211168e-07
1833,1.9228822623063024e-07
1834,2.7443522188086433e-07
1835,1.331103547386192e-07
1836,1.7809987795658344e-07
1837,1.9412516127914614e-07
1838,1.4454851182676975e-07
1839,1.670962537225762e-07
1840,1.6370099720219855e-07
1841,1.6179782846847957e-07
1842,1.9923547212030712e-07
1843,2.0910464604284584e-07
1844,1.5752170989813408e-07
1845,1.8024135650662743e-07
1846,1.5338793701857867e-07
1847,1.8768418552639332e-07
1848,1.4642303369782894e-07
1849,1.508294644736452e-07
1850,1.8533959611488626e-07
1851,1.9025844100184486e-07
1852,2.1419694307134307e-07
1853,2.7709764371941503e-07
1854,1.834069603967592e-07
1855,1.9211112345374204e-07
1856,1.791307543963505e-07
1857,2.4212286153790785e-07
1858,2.3293897821741183e-07
1859,1.9146571528239065e-07
1860,1.840027892274776e-07
1861,2.2825264017756197e-07
1862,2.17315140133012e-07
1863,1.9329182876504092e-07
1864,2.1576275055501526e-07
1865,1.6568092281454838e-07
1866,2.2138538763316618e-07
1867,2.4458170244656685e-07
1868,2.1093261570737099e-07
1869,2.3099045343144553e-07
1870,2.018385112378951e-07
1871,1.805600204907165e-07
1872,1.8323438366607547e-07
1873,2.2627096996075124e-07
1874,2.46153900818058e-07
1875,2.1455726084695925e-07
1876,2.1161051844131862e-07
1877,2.2883818662222666e-07
1878,2.3552445904684305e-07
1879,2.0588426252743375e-07
1880,1.989532389945481e-07
1881,2.063862183376841e-07
1882,1.6372247557683295e-07
1883,2.274961952153376e-07
1884,2.30399222367339e-07
1885,2.4042220503339706e-07
1886,2.626559836294007e-07
1887,1.9260328087966627e-07
1888,2.231896445437087e-07
1889,2.662682994092336e-07
1890,3.454161797700195e-07
1891,3.2189809839877626e-07
1892,3.1781358611482347e-07
1893,2.931406299921946e-07
1894,2.8041850841376004e-07
1895,2.202812936502596e-07
1896,2.677251118576862e-07
1897,2.557927132329496e-07
1898,2.387825815963751e-07
1899,2.0562592162320925e-07
1900,2.5332340003458853e-07
1901,2.5819973048513134e-07
1902,1.026249280056124e-06
1903,2.5111025570012657e-07
1904,2.49382622108385e-07
1905,2.1726795618182138e-07
1906,2.3097388002213393e-07
1907,3.013706191268284e-07
1908,3.0450612076293737e-07
1909,3.9882130309365493e-07
1910,3.660743139732858e-07
1911,2.7346723086019153e-07
1912,2.6568048561159685e-07
1913,3.181793704065683e-07
1914,2.6452136536736504e-07
1915,2.1323178556187372e-07
1916,2.1315676690392138e-07
1917,2.8841696109171977e-07
1918,1.7918746930689622e-07
1919,3.7568020161415916e-07
1920,2.635136531203841e-07
1921,2.8322076150999465e-07
1922,2.9290403080750593e-07
1923,3.0467769951414425e-07
1924,2.668566131402983e-07
1925,2.1116502169071794e-07
1926,2.741950027029816e-07
1927,2.2632926954813115e-07
1928,3.0850312693342374e-07
1929,2.484310641648335e-07
1930,2.142735073817903e-07
1931,2.5091785094133456e-07
1932,2.180947782370879e-07
1933,2.397368357165419e-07
1934,2.2046108050233215e-07
1935,2.7766420362951294e-07
