year,prétendant_VERB en_ADP,prétendant_VERB sans_ADP
1800,4.4018303668735825e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,0.0
1802,2.6854081625060644e-08,0.0
1803,1.755305234496518e-08,0.0
1804,1.730295728918918e-08,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,8.645007376628655e-09
1807,1.1387820464392462e-08,5.693910232196231e-09
1808,2.4926814390369145e-08,4.5321479902327155e-09
1809,4.9698672066611493e-08,2.259030518203531e-09
1810,1.8721014072298203e-08,4.680253518074551e-09
1811,2.5070768572277302e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,2.8757416004054903e-08,0.0
1814,1.2586708564299443e-08,9.440030979135372e-09
1815,2.966945888971395e-08,2.6972236000233352e-08
1816,4.6352077731626196e-09,0.0
1817,3.892183608744659e-08,0.0
1818,4.172412215730503e-08,0.0
1819,1.449147024601416e-08,0.0
1820,4.153268395867826e-08,1.1866481131050932e-09
1821,2.070912508145284e-08,0.0
1822,4.210758675071702e-08,3.0076847679083585e-09
1823,2.470671811583003e-08,0.0
1824,2.4421225930382207e-08,2.5263338088166165e-09
1825,2.99385054525203e-08,1.6730341556581152e-08
1826,4.932471142637951e-08,8.807984341885344e-10
1827,3.0417001140037314e-08,4.608636583469661e-09
1828,1.6510142586412258e-08,5.5033806956039655e-09
1829,3.3435387791769244e-08,2.6576845446601993e-08
1830,1.0436835395921662e-08,0.0
1831,2.494592976631793e-08,1.5591206103948707e-09
1832,1.623596290745155e-08,1.352996914505411e-08
1833,2.895907214028881e-08,6.950177322551099e-09
1834,9.334531370086552e-09,1.4001796166951408e-08
1835,1.3613558280667348e-08,3.781543966852041e-09
1836,3.427582484505365e-08,6.720750067579218e-10
1837,1.7394727436226276e-08,4.174734336004349e-09
1838,1.64116205070286e-08,1.0730675015224733e-08
1839,1.6080392128969834e-08,6.9914751765765e-10
1840,2.4841785517537573e-08,1.1465439264668476e-08
1841,1.7977535904378783e-08,1.2841097074556274e-09
1842,4.293289634915709e-08,1.8112315203211438e-08
1843,3.366939194116014e-08,2.953455480181333e-09
1844,2.195424508855126e-08,2.195424508855126e-09
1845,1.6740683339566687e-08,6.696273757711424e-09
1846,4.273786124997514e-08,5.854501328173001e-10
1847,2.3190861675459473e-08,1.6179670936367074e-09
1848,6.114368744647436e-08,5.63165514222419e-09
1849,5.027649052635752e-08,6.703531951757213e-09
1850,1.6972489191857676e-08,6.788996032014438e-10
1851,1.4188765717904062e-08,1.1608990213574089e-08
1852,3.385483737794459e-08,1.3021090872200602e-09
1853,7.763511611358354e-09,5.3747388761848924e-09
1854,2.6497887994914038e-08,4.1565315633818045e-09
1855,1.4328730202350926e-08,4.776243400783642e-09
1856,2.847454005916461e-08,4.141751386299575e-09
1857,2.4895697114946103e-08,3.417056471111124e-09
1858,2.300027723833864e-08,9.787352039936081e-10
1859,1.98594756195547e-08,1.018434669930457e-09
1860,2.1970483293776155e-08,3.661747127736703e-09
1861,1.3204698667834691e-08,1.4147891747029462e-09
1862,3.4336697041226216e-08,2.710791813242963e-09
1863,3.3963420520422005e-08,4.495158911765884e-09
1864,3.835782536043553e-08,2.8768367688059016e-09
1865,2.118079933666195e-08,7.0602665935837194e-09
1866,3.7951781550749075e-08,2.432806400776144e-09
1867,2.135237053835226e-08,0.0
1868,1.877152122631287e-08,9.87974813071446e-10
1869,1.269714977603087e-08,6.348574999037737e-09
1870,1.1468097582678638e-08,2.2936195165357276e-09
1871,2.442870794538976e-08,1.6993883633631413e-08
1872,1.7537283625301825e-08,6.047339295989218e-10
1873,2.6937019725892242e-08,2.3944017879529156e-09
1874,1.1949218503559678e-08,7.169530746864439e-09
1875,1.602027666081085e-08,8.58229043387837e-09
1876,4.6554312405078235e-08,0.0
1877,1.3606595627990714e-08,1.8554447978047506e-09
1878,3.6838439410047386e-08,4.22736201599605e-09
1879,1.588424503040642e-08,4.27652757650776e-09
1880,2.5671385017744797e-08,7.059631101924424e-09
1881,4.2532294630692746e-08,2.022027167924989e-08
1882,3.6604619557678575e-08,1.1979693681496428e-08
1883,2.211768546089843e-08,6.951272890631799e-09
1884,2.9047466654219534e-08,9.902545450302114e-09
1885,2.7716232864349877e-08,1.6114089618213256e-08
1886,2.0651084398082276e-08,3.2267319927115068e-09
1887,1.2404957061562527e-08,5.223139698529167e-09
1888,3.4239320712003973e-08,3.804368819970705e-09
1889,1.8168895721260014e-08,5.6386229019267375e-09
1890,2.7528423096612187e-08,3.9326319978272295e-09
1891,1.7847816335958555e-08,8.92390827900158e-09
1892,1.8805536683430546e-08,1.002961980134387e-08
1893,2.3401983018089823e-08,6.15841644346915e-09
1894,3.780923596430341e-08,2.520615716150587e-09
1895,2.5278181325916194e-08,8.426059849853118e-09
1896,3.243365953586874e-08,2.358811590497112e-09
1897,2.4472196713531957e-08,5.826713334045053e-09
1898,1.4145887128336199e-08,3.960848538042683e-09
1899,2.819064981451902e-08,9.39688327150634e-09
1900,3.0627212765921286e-08,5.19105292084987e-09
1901,1.9001712425747996e-08,2.235495566438317e-09
1902,2.553347577816112e-08,3.928227076954727e-09
1903,2.2680925582108102e-08,1.6200660812870638e-09
1904,3.0635363579278874e-08,6.987012746151322e-09
1905,1.4450125207510212e-08,4.644683138099737e-09
1906,2.6749759740596346e-08,7.716276506641861e-09
1907,2.777135382769913e-08,2.5714217422034835e-09
1908,2.897719530992049e-08,7.858222517143076e-09
1909,2.3654228797909127e-08,2.2003934230241384e-09
1910,2.4583092894658876e-08,4.275320542035388e-09
1911,1.4365010514438836e-08,1.0640748282497725e-09
1912,3.229841283314272e-08,4.688478938419394e-09
1913,1.96210621083992e-08,2.121195941118259e-09
1914,1.0714789944188396e-08,1.3393487430235496e-09
1915,8.246533234057551e-09,0.0
1916,7.69122365795738e-09,0.0
1917,4.386569774084137e-09,8.773139548168274e-09
1918,1.6080926812378493e-08,9.189101035644853e-09
1919,7.366278698128781e-09,1.5653341733923298e-08
1920,2.2716694303426266e-08,1.514446346106979e-09
1921,1.2116395886607734e-08,8.330022005509363e-09
1922,1.0329109734197317e-08,8.853522359686394e-09
1923,1.6985516992917837e-08,1.2739137744688378e-08
1924,2.4494086647841584e-08,7.734974771800296e-09
1925,2.0896537833436923e-08,1.0998177923937646e-09
1926,2.452150482668003e-08,3.3438415369957397e-09
1927,1.8953683067479687e-08,2.2298449753321847e-09
1928,1.0283437212876834e-08,1.1426041224282812e-09
1929,1.7824650200282122e-08,5.570202965543558e-09
1930,1.1553964007759987e-08,7.352522701786768e-09
1931,2.8513390759599133e-08,7.983749661377715e-09
1932,2.191907289006423e-08,2.1919073223131136e-09
1933,1.605892663292252e-08,1.3764795081527836e-08
1934,1.3179738189705859e-08,1.1981580172459871e-09
1935,9.574627313213568e-09,9.574627313213568e-09
1936,1.2124715009775855e-08,1.2124714565686645e-09
1937,2.895957251780601e-08,6.295559074054324e-09
1938,1.2965214679638848e-08,2.463390735840676e-08
1939,1.3764645423464117e-08,1.5294050470515685e-09
1940,1.2678914806940611e-08,1.2678914806940611e-08
1941,2.3612020783048138e-08,8.854508237732261e-09
1942,2.1239483061208375e-08,3.034211770724937e-09
1943,8.709705845433291e-09,5.806470415592457e-09
1944,1.2852744646352221e-08,1.6065930807940276e-08
1945,1.5249527862692958e-08,4.357008087652048e-09
1946,1.2528993842408909e-08,2.7842208538686464e-09
1947,1.6689218895749036e-08,8.344609447874518e-09
1948,1.3046265179283978e-08,6.523132700664291e-09
1949,1.47255123650325e-08,1.9634016634739737e-09
1950,2.9779012811204097e-08,4.2541445921528975e-09
1951,1.0661401650402524e-08,5.330700769690111e-09
1952,1.0544804140977249e-08,6.326882129314981e-09
1953,1.1851209791302608e-08,4.3095309543161875e-09
1954,6.840775057526116e-09,4.886268278880834e-09
1955,5.631364707880948e-09,4.6928039232341234e-09
1956,1.5698054411927842e-08,1.744228317335228e-09
1957,2.2971098467827744e-08,7.068030161150318e-09
1958,1.8198935691771112e-08,0.0
1959,2.0927018340444192e-08,9.30089749662244e-09
1960,1.5225833038812198e-08,2.7683333403416555e-09
1961,1.598076693198891e-08,1.0422239238305764e-08
1962,1.0147130247162295e-08,1.2683912808952869e-09
1963,2.3277792138287623e-08,1.2932106496776896e-09
1964,1.8251904876365188e-08,2.4335873316516654e-09
1965,2.0246559984116175e-08,4.924839203113152e-09
1966,1.38476865529924e-08,4.431259803538978e-09
1967,1.8735275053582967e-08,4.930335695263466e-09
1968,1.167768146070891e-08,4.491415683816058e-09
1969,1.9529558414888015e-08,4.995933444718048e-09
1970,1.5175793066646293e-08,4.138852510715552e-09
1971,1.4901352374252497e-08,3.083038491169532e-09
1972,1.7955514408640738e-08,6.156176013405457e-09
1973,1.598829157956061e-08,4.410563136936219e-09
1974,1.0688586071783135e-08,1.1251143350321513e-09
1975,9.138368284311582e-09,2.2845920710778955e-09
