year,profond_ADJ avant_NOUN,profond_ADJ savant_NOUN
1800,0.0,0.0
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,1.950339223455444e-09
1804,2.2246657849223084e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,4.262030373070047e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,3.244645441213834e-08,0.0
1817,0.0,6.227493631882908e-09
1818,1.4305412854298538e-08,7.152706427149269e-09
1819,0.0,3.1053151161586356e-09
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,1.2819934447350079e-08,1.2819934447350079e-08
1822,1.0025615893027862e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,7.57900142644985e-09,6.736890156844311e-09
1825,0.0,8.805443041381977e-10
1826,0.0,0.0
1827,0.0,9.217273055917019e-10
1828,9.172301251858528e-10,2.7516904310687096e-09
1829,4.286587973467704e-09,1.714635211591542e-09
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,4.677361609140007e-09,4.677361609140007e-09
1832,0.0,1.7588959622116818e-08
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,0.0,9.334530925997342e-10
1835,4.5378527602224494e-09,1.0588323107185715e-08
1836,0.0,1.3441500135158435e-09
1837,0.0,1.3915781860163179e-09
1838,1.2624323808552163e-09,6.312161904276081e-10
1839,4.194885327990505e-09,8.38977065598101e-09
1840,4.458782232319436e-09,1.9109065441114126e-09
1841,3.852329122366882e-09,1.2841097074556274e-08
1842,5.366612043644636e-09,2.683306021822318e-09
1843,1.063243981747064e-08,2.953455480181333e-09
1844,1.4270259640625227e-08,2.195424508855126e-09
1845,5.580227835366713e-09,5.580227946389016e-10
1846,1.1709002656346001e-09,6.439951683034906e-09
1847,1.0786447290911383e-09,3.775256551818984e-09
1848,0.0,8.045221711050488e-10
1849,5.02764896381791e-09,3.3517659758786067e-09
1850,6.788996032014438e-09,1.3577992064028876e-09
1851,5.159551008659946e-09,0.0
1852,5.859490670445666e-09,2.6042181744401205e-09
1853,7.763511611358354e-09,5.971931837933653e-10
1854,0.0,0.0
1855,3.1841622671890946e-09,4.2455496895854594e-09
1856,2.5885946719483854e-09,1.3978411317339123e-08
1857,3.4170564155999728e-09,8.78671624349181e-09
1858,4.404308473482388e-09,4.893676130990343e-09
1859,5.092173349652285e-10,5.092173349652285e-10
1860,0.0,1.0527522853465143e-08
1861,1.4147891747029462e-09,4.715963619617014e-09
1862,3.162590411776023e-09,7.228778020618165e-09
1863,6.493007020935693e-09,1.9978483312144135e-09
1864,9.589455896019672e-10,4.794727948009836e-10
1865,3.765475486972036e-09,1.3179164426446732e-08
1866,4.865612912574591e-10,5.352174259343201e-09
1867,4.85281148598915e-10,2.91168689159349e-09
1868,3.457911734727759e-09,4.939874287401835e-09
1869,1.953407657850903e-09,6.8369265804335555e-09
1870,5.734048791339319e-10,8.027668307875047e-09
1871,2.1242354542039266e-09,1.0621177271019633e-09
1872,0.0,0.0
1873,1.1972008939764578e-09,1.1972008939764578e-09
1874,2.9873046258899194e-09,5.974609140757536e-10
1875,1.1443054281912168e-09,2.2886108563824337e-09
1876,6.04601479992084e-10,3.627608879952504e-09
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,0.0,6.039088673581716e-10
1879,3.0546627449723474e-09,7.331190321480108e-09
1880,1.9253538763308597e-09,3.8507077526617195e-09
1881,0.0,7.669758161910067e-09
1882,1.3310770263785798e-09,7.320923423037584e-09
1883,3.791603475633565e-09,3.159669414998234e-09
1884,1.9805090900604227e-09,1.3203393933736152e-09
1885,3.86738152613475e-09,1.2891271383708158e-09
1886,3.2267319927115068e-09,2.5813855497602844e-09
1887,6.528924623161458e-10,5.876032105334161e-09
1888,6.340614699951175e-10,1.268122939990235e-09
1889,1.8795409673089125e-09,0.0
1890,9.176140736144589e-09,1.9663159989136147e-09
1891,2.5496880162734215e-09,0.0
1892,0.0,1.8805537127519756e-09
1893,6.158416554491453e-10,2.463366621796581e-09
1894,3.780923574225881e-09,7.561847148451761e-09
1895,1.8055843487019274e-09,3.611168697403855e-09
1896,0.0,5.307326134129653e-09
1897,0.0,5.826713556089658e-10
1898,7.355861253444118e-09,5.6583548957434e-10
1899,9.39688327150634e-09,2.2110313580014918e-09
1900,1.038210628578895e-09,1.038210628578895e-09
1901,0.0,0.0
1902,4.910283846193408e-10,1.4730852093691738e-09
1903,0.0,1.0800440541913758e-09
1904,3.2247751136083025e-09,4.299700151477737e-09
1905,4.64468330463319e-09,3.096455536422127e-09
1906,4.629765903985117e-09,0.0
1907,1.5428529565042481e-09,2.057137349353866e-09
1908,1.4734167219643268e-09,2.9468334439286537e-09
1909,4.950885035270858e-09,4.400786846048277e-09
1910,3.740905363258662e-09,3.740905363258662e-09
1911,1.0640748282497725e-09,4.788336838146279e-09
1912,2.6047106693738442e-09,5.209421227725386e-10
1913,3.71209285532359e-09,9.545381374209683e-09
1914,2.0090231700464756e-09,0.0
1915,3.534228465440492e-09,0.0
1916,8.789969641043172e-09,0.0
1917,4.386569774084137e-09,6.57985488317081e-09
1918,8.040463406189247e-09,5.743188147278033e-09
1919,6.4454939163738345e-09,9.207848372660976e-10
1920,5.300562211374427e-09,3.786115865267448e-09
1921,1.5145494858259667e-09,1.5145494858259667e-09
1922,7.377935484775833e-10,5.902348387820666e-09
1923,0.0,4.246379248229459e-09
1924,0.0,2.578324886925998e-09
1925,8.798542339150117e-09,0.0
1926,2.229227691330493e-09,3.343841648018042e-09
1927,4.4596899506643695e-09,2.2298449753321847e-09
1928,2.2852082448565625e-09,1.1426041224282812e-09
1929,2.2280812750352652e-09,2.2280812750352652e-09
1930,1.0503603542488804e-09,0.0
1931,2.2810713318222042e-09,1.1405356659111021e-09
1932,2.1919073223131136e-09,0.0
1933,0.0,1.1470662197865522e-09
1934,1.1981580172459871e-09,0.0
1935,2.393656828303392e-09,0.0
1936,2.424942913137329e-09,0.0
1937,2.5182236296217297e-09,2.5182236296217297e-09
1938,1.2965214457594243e-09,0.0
1939,1.5294050470515685e-09,0.0
1940,2.5357829169792012e-09,0.0
1941,1.1806010391524069e-08,5.9030051957620344e-09
1942,0.0,0.0
1943,0.0,0.0
1944,3.2131861615880553e-09,0.0
1945,0.0,0.0
1946,2.7842208538686464e-09,0.0
1947,1.1920870957027319e-09,0.0
1948,3.2615663503321457e-09,2.174377566888097e-09
1949,3.9268033269479474e-09,9.817008317369869e-10
1950,3.190608444114673e-09,3.190608444114673e-09
1951,0.0,0.0
1952,1.0544803918932644e-09,1.0544803918932644e-09
1953,0.0,3.232148326759443e-09
1954,9.772536113672459e-10,9.772536113672459e-10
1955,2.815682353940474e-09,4.6928039232341234e-09
1956,2.616342476002842e-09,0.0
1957,3.534015080575159e-09,8.835037701437898e-10
1958,3.3088973783179654e-09,0.0
