year,prétendant_VERB en_ADP
1800,4.4018303668735825e-08
1801,2.3811825844433088e-09
1802,2.6854081625060644e-08
1803,1.755305234496518e-08
1804,1.730295728918918e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,1.1387820464392462e-08
1808,2.4926814390369145e-08
1809,4.9698672066611493e-08
1810,1.8721014072298203e-08
1811,2.5070768572277302e-08
1812,5.3344164641089264e-09
1813,2.8757416004054903e-08
1814,1.2586708564299443e-08
1815,2.966945888971395e-08
1816,4.6352077731626196e-09
1817,3.892183608744659e-08
1818,4.172412215730503e-08
1819,1.449147024601416e-08
1820,4.153268395867826e-08
1821,2.070912508145284e-08
1822,4.210758675071702e-08
1823,2.470671811583003e-08
1824,2.4421225930382207e-08
1825,2.99385054525203e-08
1826,4.932471142637951e-08
1827,3.0417001140037314e-08
1828,1.6510142586412258e-08
1829,3.3435387791769244e-08
1830,1.0436835395921662e-08
1831,2.494592976631793e-08
1832,1.623596290745155e-08
1833,2.895907214028881e-08
1834,9.334531370086552e-09
1835,1.3613558280667348e-08
1836,3.427582484505365e-08
1837,1.7394727436226276e-08
1838,1.64116205070286e-08
1839,1.6080392128969834e-08
1840,2.4841785517537573e-08
1841,1.7977535904378783e-08
1842,4.293289634915709e-08
1843,3.366939194116014e-08
1844,2.195424508855126e-08
1845,1.6740683339566687e-08
1846,4.273786124997514e-08
1847,2.3190861675459473e-08
1848,6.114368744647436e-08
1849,5.027649052635752e-08
1850,1.6972489191857676e-08
1851,1.4188765717904062e-08
1852,3.385483737794459e-08
1853,7.763511611358354e-09
1854,2.6497887994914038e-08
1855,1.4328730202350926e-08
1856,2.847454005916461e-08
1857,2.4895697114946103e-08
1858,2.300027723833864e-08
1859,1.98594756195547e-08
1860,2.1970483293776155e-08
1861,1.3204698667834691e-08
1862,3.4336697041226216e-08
1863,3.3963420520422005e-08
1864,3.835782536043553e-08
1865,2.118079933666195e-08
1866,3.7951781550749075e-08
1867,2.135237053835226e-08
1868,1.877152122631287e-08
1869,1.269714977603087e-08
1870,1.1468097582678638e-08
1871,2.442870794538976e-08
1872,1.7537283625301825e-08
1873,2.6937019725892242e-08
1874,1.1949218503559678e-08
1875,1.602027666081085e-08
1876,4.6554312405078235e-08
1877,1.3606595627990714e-08
1878,3.6838439410047386e-08
1879,1.588424503040642e-08
1880,2.5671385017744797e-08
1881,4.2532294630692746e-08
1882,3.6604619557678575e-08
1883,2.211768546089843e-08
1884,2.9047466654219534e-08
1885,2.7716232864349877e-08
1886,2.0651084398082276e-08
1887,1.2404957061562527e-08
1888,3.4239320712003973e-08
1889,1.8168895721260014e-08
1890,2.7528423096612187e-08
1891,1.7847816335958555e-08
1892,1.8805536683430546e-08
1893,2.3401983018089823e-08
1894,3.780923596430341e-08
1895,2.5278181325916194e-08
1896,3.243365953586874e-08
1897,2.4472196713531957e-08
1898,1.4145887128336199e-08
1899,2.819064981451902e-08
1900,3.0627212765921286e-08
1901,1.9001712425747996e-08
1902,2.553347577816112e-08
1903,2.2680925582108102e-08
1904,3.0635363579278874e-08
1905,1.4450125207510212e-08
1906,2.6749759740596346e-08
1907,2.777135382769913e-08
1908,2.897719530992049e-08
1909,2.3654228797909127e-08
1910,2.4583092894658876e-08
1911,1.4365010514438836e-08
1912,3.229841283314272e-08
1913,1.96210621083992e-08
1914,1.0714789944188396e-08
1915,8.246533234057551e-09
1916,7.69122365795738e-09
1917,4.386569774084137e-09
1918,1.6080926812378493e-08
1919,7.366278698128781e-09
1920,2.2716694303426266e-08
1921,1.2116395886607734e-08
1922,1.0329109734197317e-08
1923,1.6985516992917837e-08
1924,2.4494086647841584e-08
1925,2.0896537833436923e-08
1926,2.452150482668003e-08
1927,1.8953683067479687e-08
1928,1.0283437212876834e-08
1929,1.7824650200282122e-08
1930,1.1553964007759987e-08
1931,2.8513390759599133e-08
1932,2.191907289006423e-08
1933,1.605892663292252e-08
1934,1.3179738189705859e-08
1935,9.574627313213568e-09
1936,1.2124715009775855e-08
1937,2.895957251780601e-08
1938,1.2965214679638848e-08
1939,1.3764645423464117e-08
1940,1.2678914806940611e-08
1941,2.3612020783048138e-08
1942,2.1239483061208375e-08
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,1.5249527862692958e-08
1946,1.2528993842408909e-08
1947,1.6689218895749036e-08
1948,1.3046265179283978e-08
1949,1.47255123650325e-08
1950,2.9779012811204097e-08
